layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Mixed,2017-04-04T13:23:35Z,"ENVELOPE(-86.628906, -86.443596, 39.254476, 39.069512)","{""http://schema.org/url"":""https://data.bloomington.in.gov/dataset/7a2ba4e7-9479-45ef-8661-08b1d7904d47"",""http://schema.org/downloadUrl"":""http://bloomington.in.gov/geoserver/publicgis/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=publicgis:ParkingAreas&outputFormat=shape-zip"",""http://www.opengis.net/def/serviceType/ogc/wms"":""https://bloomington.in.gov/geoserver/wms"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/ce/75/c7/4441284897986874f95e134802/iso19139.xml""}",Public,ce75c744-4128-4897-9868-74f95e134802,Indiana,"[u'Transportation', u'Parking', u'Parking lot', u'Parking garage']","Bloomington Parking Lot areas GIS Data exported from the CIty's GIS. See summary description (txt) file for information about intended use, projection, currency, attributes, etc.This map data layer represents the parking lot areas for the City of Bloomington. It includes paved parking areas, gravel parking areas, and non-parking island features created from surrounding parking areas, roadway pavement, or building features.",2016-10-19,2016,"[u'City of Bloomington, Indiana']",ce75c744-4128-4897-9868-74f95e134802,,39.069512 -86.628906 39.254476 -86.628906 39.254476 -86.443596 39.069512 -86.443596 39.069512 -86.628906,2016,,publicgis:ParkingAreas,39.069512 -86.628906 39.254476 -86.443596,"Parking Areas: Bloomington, Indiana 2016",Shapefile,"[u'Bloomington, Indiana, United States', u'Indiana, United States']",City of Bloomington Data Portal,ce75c744-4128-4897-9868-74f95e134802,Dataset,
Mixed,2017-04-04T13:22:55Z,"ENVELOPE(-86.592162, -86.47052, 39.22152, 39.121044)","{""http://schema.org/url"":""https://data.bloomington.in.gov/dataset/83eddc0e-713f-4d2e-b0af-ac02958f3bf0"",""http://schema.org/downloadUrl"":""http://bloomington.in.gov/geoserver/publicgis/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=publicgis:Zoning&outputFormat=shape-zip"",""http://www.opengis.net/def/serviceType/ogc/wms"":""https://bloomington.in.gov/geoserver/wms"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/24/87/7e/08d6c0411ba79cd9d1cc297b47/iso19139.xml""}",Public,24877e08-d6c0-411b-a79c-d9d1cc297b47,Indiana,"[u'Planning cadastre', u'Zoning', u'Planning']","Bloomington Zoning District boundaries exported from the CIty's GIS. See summary description (txt) file for information about intended use, projection, currency, attributes, etc.This map data layer represents the zoning district boundaries for the City of Bloomington, Indiana as defined through the City's zoning ordinance. The latest version of this is the 2007 Unified Development Ordinance (UDO). This layer serves as the official zoning map for the City of Bloomington.",2016-10-19,2016,"[u'City of Bloomington, Indiana']",24877e08-d6c0-411b-a79c-d9d1cc297b47,,39.121044 -86.592162 39.22152 -86.592162 39.22152 -86.47052 39.121044 -86.47052 39.121044 -86.592162,2016,,publicgis:Zoning,39.121044 -86.592162 39.22152 -86.47052,"Zoning Districts: Bloomington, Indiana, 2016",Shapefile,"[u'Bloomington, Indiana, United States', u'Indiana, United States']",City of Bloomington Data Portal,24877e08-d6c0-411b-a79c-d9d1cc297b47,Dataset,
Mixed,2017-04-04T13:23:02Z,"ENVELOPE(-86.602003, -86.477982, 39.208449, 39.107075)","{""http://schema.org/url"":""https://data.bloomington.in.gov/dataset/7cb9e773-bfe3-4e3b-bda6-6b13fc2fcfcf"",""http://schema.org/downloadUrl"":""http://bloomington.in.gov/geoserver/publicgis/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=publicgis:TrailsAndPaths&outputFormat=shape-zip"",""http://www.opengis.net/def/serviceType/ogc/wms"":""https://bloomington.in.gov/geoserver/wms"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/4a/9b/46/7da34445579f14db166636d4b2/iso19139.xml""}",Public,4a9b467d-a344-4557-9f14-db166636d4b2,Indiana,"[u'Transportation', u'Bicycle', u'Bike', u'Pedestrian', u'Paths', u'Trails']","Bicycle and pedestrian facilities, trails and path features exported from the CIty's GIS. See summary description (txt) file for information about intended use, projection, currency, attributes, etc.This map layer contains constructed bicycle and pedestrian facilities within the City of Bloomington including multi-use trails, side paths, connector trails, park hiking and fitness trails, mountain bike trails, and some pedestrian paths on private property not maintained by the City of Bloomington.",2016-10-19,2016,"[u'City of Bloomington, Indiana']",4a9b467d-a344-4557-9f14-db166636d4b2,,39.107075 -86.602003 39.208449 -86.602003 39.208449 -86.477982 39.107075 -86.477982 39.107075 -86.602003,2016,,publicgis:TrailsAndPaths,39.107075 -86.602003 39.208449 -86.477982,"Bicycle and Pedestrian Trails and Paths: Bloomington, Indiana, 2016",Shapefile,"[u'Bloomington, Indiana, United States', u'Indiana, United States']",City of Bloomington Data Portal,4a9b467d-a344-4557-9f14-db166636d4b2,Dataset,
Mixed,2017-04-04T13:22:31Z,"ENVELOPE(-86.642189, -86.439739, 39.255997, 39.068371)","{""http://schema.org/url"":""https://data.bloomington.in.gov/dataset/9eafa188-3bfe-41b8-a518-d942df0503ca"",""http://schema.org/downloadUrl"":""http://bloomington.in.gov/geoserver/publicgis/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=publicgis:CreeksAndStreams&outputFormat=shape-zip"",""http://www.opengis.net/def/serviceType/ogc/wms"":""https://bloomington.in.gov/geoserver/wms"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/53/e2/ba/d4efab4dada4dc2a6d03658617/iso19139.xml""}",Public,53e2bad4-efab-4dad-a4dc-2a6d03658617,Indiana,"[u'Inland Waters', u'Hydrology', u'Shorelines', u'Creeks', u'Streams', u'Rivers', u'Water']","Hydrology (Creeks Stream, Shoreline) features exported from the CIty's GIS. See summary description (txt) file for information about intended use, projection, currency, attributes, etc. This map data layer represents the hydrology for the City of Bloomington, Indiana. This includes creeks, streams, lake shorelines, open channels, and detention pond boundary line features.",2016-10-19,2016,"[u'City of Bloomington, Indiana']",53e2bad4-efab-4dad-a4dc-2a6d03658617,,39.068371 -86.642189 39.255997 -86.642189 39.255997 -86.439739 39.068371 -86.439739 39.068371 -86.642189,2016,,publicgis:CreeksAndStreams,39.068371 -86.642189 39.255997 -86.439739,"Creeks and Streams: Bloomington, Indiana, 2016",Shapefile,"[u'Bloomington, Indiana, United States', u'Indiana, United States']",City of Bloomington Data Portal,53e2bad4-efab-4dad-a4dc-2a6d03658617,Dataset,
Mixed,2017-04-04T13:23:21Z,"ENVELOPE(-86.592162, -86.470519, 39.221556, 39.121028)","{""http://schema.org/url"":""https://data.bloomington.in.gov/dataset/522d7f69-8951-46f6-8cb4-30cad69878ca"",""http://schema.org/downloadUrl"":""http://bloomington.in.gov/geoserver/publicgis/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=publicgis:BloomingtonMunicipalBoundary&outputFormat=shape-zip"",""http://www.opengis.net/def/serviceType/ogc/wms"":""https://bloomington.in.gov/geoserver/wms"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/bf/7e/ba/f280624d93a8c257e923c39d68/iso19139.xml""}",Public,bf7ebaf2-8062-4d93-a8c2-57e923c39d68,Indiana,"[u'Boundaries', u'City limits', u'Political boundary', u'Government']","Bloomington municipal boundary exported from the CIty's GIS. See summary description (txt) file for information about intended use, projection, currency, attributes, etc. This map data layer represents the municipal boundary for the City of Bloomington, Indiana. The mapped geographic area includes over 23 square miles in central Monroe County Indiana.",2016-10-19,2016,"[u'City of Bloomington, Indiana']",bf7ebaf2-8062-4d93-a8c2-57e923c39d68,,39.121028 -86.592162 39.221556 -86.592162 39.221556 -86.470519 39.121028 -86.470519 39.121028 -86.592162,2016,,publicgis:BloomingtonMunicipalBoundary,39.121028 -86.592162 39.221556 -86.470519,"Municipal Boundary: Bloomington, Indiana, 2016",Shapefile,"[u'Bloomington, Indiana, United States', u'Indiana, United States']",City of Bloomington Data Portal,bf7ebaf2-8062-4d93-a8c2-57e923c39d68,Dataset,
Mixed,2017-04-04T13:22:41Z,"ENVELOPE(-86.642189, -86.439739, 39.255997, 39.068371)","{""http://schema.org/url"":""https://data.bloomington.in.gov/dataset/457b77d4-0c10-43a0-bd59-aef2923ff26f"",""http://schema.org/downloadUrl"":""http://bloomington.in.gov/geoserver/publicgis/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=publicgis:ContourElevations&outputFormat=shape-zip"",""http://www.opengis.net/def/serviceType/ogc/wms"":""https://bloomington.in.gov/geoserver/wms"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/9e/9e/84/c0e66842dc85759bab5e504f1f/iso19139.xml""}",Public,9e9e84c0-e668-42dc-8575-9bab5e504f1f,Indiana,"[u'Elevation', u'Elevation', u'Contour', u'Topography']","Contour Elevation lines exported from the CIty's GIS. See summary description (txt) file for information about intended use, projection, currency, attributes, etc. This data set contains over 100,000 features. This map data layer represents the land contour elevations for the City of Bloomington, Indiana. The majority of contour elevations are at intervals of two feet change in elevation, yet there are other areas of four or ten foot intervals. This data set was created in 2005 and receives only minor maintenance.",2016-10-19,2016,"[u'City of Bloomington, Indiana']",9e9e84c0-e668-42dc-8575-9bab5e504f1f,,39.068371 -86.642189 39.255997 -86.642189 39.255997 -86.439739 39.068371 -86.439739 39.068371 -86.642189,2016,,publicgis:ContourElevations,39.068371 -86.642189 39.255997 -86.439739,"Contour Elevations: Bloomington, Indiana, 2016",Shapefile,"[u'Bloomington, Indiana, United States', u'Indiana, United States']",City of Bloomington Data Portal,9e9e84c0-e668-42dc-8575-9bab5e504f1f,Dataset,
Mixed,2017-04-04T13:23:44Z,"ENVELOPE(-86.592162, -86.470519, 39.221556, 39.121028)","{""http://schema.org/url"":""https://data.bloomington.in.gov/dataset/ed1d8d6e-de40-4c02-8118-3f9e6cc6c3c7"",""http://schema.org/downloadUrl"":""http://bloomington.in.gov/geoserver/publicgis/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=publicgis:CityCouncilDistricts&outputFormat=shape-zip"",""http://www.opengis.net/def/serviceType/ogc/wms"":""https://bloomington.in.gov/geoserver/wms"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/93/48/81/afb0a44f5583329339ade908be/iso19139.xml""}",Public,934881af-b0a4-4f55-8332-9339ade908be,Indiana,"[u'Boundaries', u'Political boundaries', u'City council', u'Local government']","Bloomington City Council district boundaries exported from the CIty's GIS. See summary description (txt) file for information about intended use, projection, currency, attributes, etc.This map layer represents the City Council Districts for the City of Bloomington, Indiana. Bloomington contains six representative council districts, numbered one (1) through six (6). Boundaries are set by City ordinance. Districts are based on voting precincts and the municipal boundary. Any additional area annexed by the city are placed in council districts defined by the annexation ordinance. District boundaries may be altered by council action but done rarely other than the redistricting process that follows the Decennial US Census. For existing static maps in pdf format See the [City Council GIS Maps](https://bloomington.in.gov/data/dataset/city-council-district-maps/ NCity Council GIS MapsN) Map Gallery",2016-10-17,2016,"[u'City of Bloomington, Indiana']",934881af-b0a4-4f55-8332-9339ade908be,,39.121028 -86.592162 39.221556 -86.592162 39.221556 -86.470519 39.121028 -86.470519 39.121028 -86.592162,2016,,publicgis:CityCouncilDistricts,39.121028 -86.592162 39.221556 -86.470519,"City Council Districts: Bloomington, Indiana, 2016",Shapefile,"[u'Bloomington, Indiana, United States', u'Indiana, United States']",City of Bloomington Data Portal,934881af-b0a4-4f55-8332-9339ade908be,Dataset,
Mixed,2017-04-04T13:23:12Z,"ENVELOPE(-86.59515, -86.471561, 39.211981, 39.112377)","{""http://schema.org/url"":""https://data.bloomington.in.gov/dataset/f24c96a3-3dd6-48b1-afdb-cb1cfd2fa944"",""http://schema.org/downloadUrl"":""http://bloomington.in.gov/geoserver/publicgis/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=publicgis:Parks&outputFormat=shape-zip"",""http://www.opengis.net/def/serviceType/ogc/wms"":""https://bloomington.in.gov/geoserver/wms"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/db/1c/a8/743413452ca08ca7da5ee251fc/iso19139.xml""}",Public,db1ca874-3413-452c-a08c-a7da5ee251fc,Indiana,"[u'Society', u'Parks', u'Cemeteries', u'Pools', u'Recreations facilities', u'Sports', u'Nature preserves']","Bloomington Parks and Recreation Facility areas exported from the CIty's GIS. See summary description (txt) file for information about intended use, projection, currency, attributes, etc.This map data layer represents the parks and recreations facility areas owned or maintained by the City of Bloomington, Indiana. It contains features such as city community parks, nature preserves, recreational sports facilities, recreation centers, cemeteries, pools, and more.",2016-10-19,2016,"[u'City of Bloomington, Indiana']",db1ca874-3413-452c-a08c-a7da5ee251fc,,39.112377 -86.59515 39.211981 -86.59515 39.211981 -86.471561 39.112377 -86.471561 39.112377 -86.59515,2016,,publicgis:Parks,39.112377 -86.59515 39.211981 -86.471561,"Parks and Recreation Areas: Bloomington, Indiana, 2016",Shapefile,"[u'Bloomington, Indiana, United States', u'Indiana, United States']",City of Bloomington Data Portal,db1ca874-3413-452c-a08c-a7da5ee251fc,Dataset,
Mixed,2017-04-04T13:22:46Z,"ENVELOPE(-86.642189, -86.439739, 39.255997, 39.068371)","{""http://schema.org/url"":""https://data.bloomington.in.gov/dataset/8b78b751-cb7e-4b3a-8645-33006da64ad4"",""http://schema.org/downloadUrl"":""http://bloomington.in.gov/geoserver/publicgis/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=publicgis:EdgeOfPavement&outputFormat=shape-zip"",""http://www.opengis.net/def/serviceType/ogc/wms"":""https://bloomington.in.gov/geoserver/wms"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/31/d5/08/bdcd1949aea22d718babd4e115/iso19139.xml""}",Public,31d508bd-cd19-49ae-a22d-718babd4e115,Indiana,"[u'Transportation', u'Curb', u'Pavement', u'Sidewalk']","Roadway edge of pavement features exported from the CIty's GIS. See summary description (txt) file for information about intended use, projection, currency, attributes, etc.This map data layer represents the edge of pavement of roadways for the City of Bloomington, Indiana. It was created and updated from aerial photography. Continual updates are made as needed. It includes paved roads, gravel roads, and bridges. It includes some improved alleys, access drives, travel lanes, and other miscellaneous road features. Features may be identified as coincident to building and parking structures.",2016-10-19,2016,"[u'City of Bloomington, Indiana']",31d508bd-cd19-49ae-a22d-718babd4e115,,39.068371 -86.642189 39.255997 -86.642189 39.255997 -86.439739 39.068371 -86.439739 39.068371 -86.642189,2016,,publicgis:EdgeOfPavement,39.068371 -86.642189 39.255997 -86.439739,"Edge of Pavement: Bloomington, Indiana, 2016",Shapefile,"[u'Bloomington, Indiana, United States', u'Indiana, United States']",City of Bloomington Data Portal,31d508bd-cd19-49ae-a22d-718babd4e115,Dataset,
Point,2017-04-04T13:23:26Z,"ENVELOPE(-86.641993, -86.439748, 39.255943, 39.068595)","{""http://schema.org/url"":""https://data.bloomington.in.gov/dataset/52529276-d1cb-40a9-a3a9-b45bbe0f9ca3"",""http://schema.org/downloadUrl"":""http://bloomington.in.gov/geoserver/publicgis/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=publicgis:SpotElevations&outputFormat=shape-zip"",""http://www.opengis.net/def/serviceType/ogc/wms"":""https://bloomington.in.gov/geoserver/wms"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/43/35/bd/fe572b4a80ace7839117c2953a/iso19139.xml""}",Public,4335bdfe-572b-4a80-ace7-839117c2953a,Indiana,"[u'Elevation', u'Elevation', u'Contour', u'Topography']","Spot Elevation points exported from the CIty's GIS. See summary description (txt) file for information about intended use, projection, currency, attributes, etc.This map data layer represents the spot elevation locations for the City of Bloomington, Indiana. This data set was created in 2005 and is not maintained.",2017-01-30,2005,"[u'City of Bloomington, Indiana']",4335bdfe-572b-4a80-ace7-839117c2953a,,39.068595 -86.641993 39.255943 -86.641993 39.255943 -86.439748 39.068595 -86.439748 39.068595 -86.641993,2005,,publicgis:SpotElevations,39.068595 -86.641993 39.255943 -86.439748,"Spot Elevation Points: Bloomington, Indiana, 2005",Shapefile,"[u'Bloomington, Indiana, United States', u'Indiana, United States']",City of Bloomington Data Portal,4335bdfe-572b-4a80-ace7-839117c2953a,Dataset,
