layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Mixed,2017-07-26T20:36:54Z,"ENVELOPE(-90.317, -88.685, 42.2, 41.928)","{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/carroll/carroll_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/21/74/12/be4a55468cb9d1c6b6aee75411/iso19139.xml""}",Public,217412be-4a55-468c-b9d1-c6b6aee75411,Illinois,"[u'Elevation', u'Imagery and Base Maps']","This LiDAR data is within Illinois Department of Transportation District 2 and includes Carroll County, Illinois. The data is updated from its original format to LAS version 1.2. The LiDAR data was collected in March 2009 as NCarroll County, Illinois LiDAR AcquisitionN - ILDOT Project No. P-30-007-08, PTB 146, Item41. Data was acquired by Quantum Spatial as project 1090716 with an Optech ALTM Gemini sensor equipped with an inertial measuring unit (IMU) and GPS receiver. The acquisition was to produce first return ASCII, bare earth ASCII, DAT and TIN files.",6/12/14,2009-2014,"[u'Quantum Spatial, Inc (formerly AeroMetric, Inc.)']",217412be-4a55-468c-b9d1-c6b6aee75411,,41.928 -90.317 42.2 -90.317 42.2 -88.685 41.928 -88.685 41.928 -90.317,2009,,carroll_2009_metadata_arc,41.928 -90.317 42.2 -88.685,"Height Modernization (ILHMP) LiDAR Data: Carroll County, Illinois: 2009",Shapefile,"[u'Carroll County, Illinois, United States', u'Illinois, United States']",Illinois Geospatial Data Clearinghouse,217412be-4a55-468c-b9d1-c6b6aee75411,Dataset,
Mixed,2017-07-26T20:36:51Z,"ENVELOPE(-88.232284, -87.041088, 39.790729, 37.640155)","{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/saline/saline_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/1b/a7/35/ac78504ff5b8d657c35ea66563/iso19139.xml""}",Public,1ba735ac-7850-4ff5-b8d6-57c35ea66563,Illinois,"[u'Elevation', u'Imagery and Base Maps']","QA/QC checkpoints were collected by field survey throughout the AOI. These points were used for an independent (blind) quality check of the processed LiDAR data. LiDAR acquisition and processing to the Point Cloud product took place during the 2010 fall flight season. See MIP Case 11-05-2219S for further information and documentation. Processing to the fully classified dataset took place under the FY11 tasking. The deliverable consists of tiles of fully classified LAS 1.2 points. A narrative accompanies this deliverable, as well as the independent QC report, and a QA report.",4/30/12,2012,[u'Federal Emergency Management Agency'],1ba735ac-7850-4ff5-b8d6-57c35ea66563,,37.640155 -88.232284 39.790729 -88.232284 39.790729 -87.041088 37.640155 -87.041088 37.640155 -88.232284,2012,[u'Federal Emergency Management Agency'],saline_2011_metadata_arc,37.640155 -88.232284 39.790729 -87.041088,"Height Modernization (ILHMP) LiDAR Data: Saline County, Illinois: 2011",Shapefile,"[u'Saline County, Illinois, United States', u'Illinois, United States']",Illinois Geospatial Data Clearinghouse,1ba735ac-7850-4ff5-b8d6-57c35ea66563,Dataset,
Point,2017-07-26T20:36:57Z,"ENVELOPE(-88.155, -87.512, 41.744, 41.204)","{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/will/will_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/fd/73/62/c217fa46d5a356bd4fd5eb564d/iso19139.xml""}",Public,fd7362c2-17fa-46d5-a356-bd4fd5eb564d,Illinois,"[u'Elevation', u'Imagery and Base Maps']","This dataset is 1 ppsm LiDAR point cloud data and derivative models of Will County, Illinois, However after processing the dataset satisfies 2 ppsm and Quality Level 2 data. Will County is approximately 840 square miles (2175 square kilometers) in north eastern Illinois. Data was collected at a nominal pulse spacing (NPS) of 0.7 meter. Data acquisition, processing and assessment is compliant with procedures and methods stated in U.S. Geological Survey National Geospatial Program LiDAR Base Specification Version 1.0 and Federal Emergency Management Agency Procedure Memorandum 61. This dataset consists of LiDAR LAS swath files and tiled LAS files. Tiled LAS files contain LiDAR point information which has been calibrated, controlled, and classified. Quantum Spatial Project No: 1140310.02",11/26/14,2014,"[u'Quantum Spatial, Inc.']",fd7362c2-17fa-46d5-a356-bd4fd5eb564d,,41.204 -88.155 41.744 -88.155 41.744 -87.512 41.204 -87.512 41.204 -88.155,2014,,will_2014_metadata_arc,41.204 -88.155 41.744 -87.512,"Height Modernization (ILHMP) LiDAR Data: Will County, Illinois: 2014",Shapefile,"[u'Will County, Illinois, United States', u'Illinois, United States']",Illinois Geospatial Data Clearinghouse,fd7362c2-17fa-46d5-a356-bd4fd5eb564d,Dataset,
Mixed,2017-07-26T20:36:51Z,"ENVELOPE(-91.58050943, -87.38825182, 42.49669441, 36.9521143)","{""http://schema.org/url"":""https://clearinghouse.isgs.illinois.edu/data/geology/bedrock-topography"",""http://schema.org/downloadUrl"":""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Geology/zips/IL_Bedrock_Topography_1994_Ln.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Geology/Bedrock_Topography_1994_Ln/MapServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/d2/83/9e/706f3f4dfda1b6e6f2679691c5/iso19139.xml""}",Public,d2839e70-6f3f-4dfd-a1b6-e6f2679691c5,Illinois,"[u'Geoscientific Information', u'Geology']","The Buried Bedrock Surface of Illinois map represents the first revision of the bedrock topography map since the second edition was published by the Illinois State Geological Survey (Horberg, 1957). The map is useful for the regional and statewide studies such as groundwater resource planning and geologic mapping. The data included on this map were compiled by many downhole logging and surface studies. This information was combined to revise the bedrock topography map for the entire state. Since some of the most extensive and productive aquifers in the state are located in thick glacial sediments of major buried bedrock valleys, special attention was given to data for known bedrock valleys. The revised map was published by the ISGS (Herzog et al, 1994) and much of the following text appears on the published map. The bedrock topography is shown as 50-foot (15-meter) contours of bedrock elevation above mean sea level (msl). Bedrock elevations range from less then 250 feet (76 meters) in southern Illinois to more than a 1000 feet (300 meters) in the northwestern part of the state. Several major bedrock valleys are found across the state. The greatest control for the present bedrock surface configuration was probably the preglacial surface configuration. The interpretations of bedrock topography have been modified since the 1950's. Horberg contoured his map with the philosophy that the bedrock surface map represented the preglacial topography modified by glacial erosion, which formed U-shaped valleys. The current map, showing narrow valley channels and bedrock knobs in wide channels, indicates complex preglacial and glacial erosion primarily from running water. The major valleys were formed before the minor valleys that appear as tributaries. Streams that formed during successive glaciations probably eroded to bedrock and produced the small tributary valleys to the main channels. The bedrock surface was less likely to be eroded as sediments accumulated during each successive glaciation.",1/1/94,1994,"[u'Herzog, B.L.. B.J. Stiff, C.A. Chenoweth, K.L. Warner, J.B. Sievering, C. Avery']",d2839e70-6f3f-4dfd-a1b6-e6f2679691c5,,36.9521143 -91.58050943 42.49669441 -91.58050943 42.49669441 -87.38825182 36.9521143 -87.38825182 36.9521143 -91.58050943,1994,[u'Illinois State Geological Survey'],IL_Bedrock_Topography_1994_Ln_arc,36.9521143 -91.58050943 42.49669441 -87.38825182,"Buried Bedrock Surface: Illinois, 2004",Shapefile,"[u'Illinois, United States']",Illinois Geospatial Data Clearinghouse,d2839e70-6f3f-4dfd-a1b6-e6f2679691c5,Dataset,
Mixed,2017-07-26T20:36:50Z,"ENVELOPE(-88.463, -87.929, 40.401, 39.879)","{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/champaign/champaign_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/1d/e0/86/2c5c2d4c9f8c0095187d3b9476/iso19139.xml""}",Public,1de0862c-5c2d-4c9f-8c00-95187d3b9476,Illinois,"[u'Elevation', u'Imagery and Base Maps']","This LiDAR data is within Illinois Department of Transportation District 5 and includes Champaign County, Illinois. The data is updated from its original format to LAS version 1.2. The LiDAR data was collected in April 2008 as NChampaign Co., IL LiDARN and was Task Order Number: 3. Data was acquired by Quantum Spatial as project 1080208 with an Optech ALTM 3100 sensor equipped with an inertial measuring unit (IMU) GPS receiver. The acquisition was to produce bare earth ASCII, LAS data and 2 foot contour Shapefiles.",6/12/14,2008-2014,"[u'Quantum Spatial, Inc. (formerly AeroMetric, Inc.)']",1de0862c-5c2d-4c9f-8c00-95187d3b9476,,39.879 -88.463 40.401 -88.463 40.401 -87.929 39.879 -87.929 39.879 -88.463,2008,,champaign_2008_metadata_arc,39.879 -88.463 40.401 -87.929,"Height Modernization (ILHMP) LiDAR Data: Champaign County, Illinois: 2008",Shapefile,"[u'Illinois, United States', u'Champaign County, Illinois, United States']",Illinois Geospatial Data Clearinghouse,1de0862c-5c2d-4c9f-8c00-95187d3b9476,Dataset,
Mixed,2017-07-26T20:37:01Z,"ENVELOPE(-88.943101, -88.704352, 42.496074, 42.152352)","{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/boone/boone_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/2d/14/c9/f5d5694ada9e0d3f9f331268e5/iso19139.xml""}",Public,2d14c9f5-d569-4ada-9e0d-3f9f331268e5,Illinois,"[u'Elevation', u'Imagery and Base Maps']","Provide FEMA compliant elevation, topography and contour map of Boone County, Illinois. Provide Bare Earth DEM (vegetation removal) of Boone County, Illinois.",1/2/07,2007,[u'This data set was developed for the United States Geological Survey. by Sanborn Mapping.'],2d14c9f5-d569-4ada-9e0d-3f9f331268e5,,42.152352 -88.943101 42.496074 -88.943101 42.496074 -88.704352 42.152352 -88.704352 42.152352 -88.943101,2007,,boone_2007_metadata_arc,42.152352 -88.943101 42.496074 -88.704352,"Height Modernization (ILHMP) LiDAR Data: Boone County, Illinois: 2007",Shapefile,"[u'Boone County, Illinois, United States', u'Illinois, United States']",Illinois Geospatial Data Clearinghouse,2d14c9f5-d569-4ada-9e0d-3f9f331268e5,Dataset,
Mixed,2017-07-26T20:36:55Z,"ENVELOPE(-88.152, -87.639, 38.573, 38.227)","{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/wabash/wabash_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/56/bc/ab/dc60fe48e9ad5b3d3e6386bba6/iso19139.xml""}",Public,56bcabdc-60fe-48e9-ad5b-3d3e6386bba6,Illinois,"[u'Imagery and Base Maps', u'Elevation']","This task order is for planning, acquisition, processing, and derivative products of LiDAR data to be collected for areas of Illinois. LiDAR data, and derivative products produced in compliance with this task order are part of the data to be obtained under Job Number P-99-005-10. Specifications listed below are based on the U.S. Geological Survey National Geospatial Program Base LiDAR Specification, Version 13.",6/25/12,2011,"[u'AeroMetric, Inc.']",56bcabdc-60fe-48e9-ad5b-3d3e6386bba6,,38.227 -88.152 38.573 -88.152 38.573 -87.639 38.227 -87.639 38.227 -88.152,2011,"[u'AeroMetric, Inc.']",wabash_2011_metadata_arc,38.227 -88.152 38.573 -87.639,"Height Modernization (ILHMP) LiDAR Data: Wabash County, Illinois: 2011",Shapefile,"[u'Wabash County, Illinois, United States', u'Illinois, United States']",Illinois Geospatial Data Clearinghouse,56bcabdc-60fe-48e9-ad5b-3d3e6386bba6,Dataset,
Mixed,2017-07-26T20:36:54Z,"ENVELOPE(-91.5336, -87.249, 42.6108, 36.8568)","{""http://schema.org/url"":""https://clearinghouse.isgs.illinois.edu/data/elevation/surface-elevation-30-meter-shaded-relief-map"",""http://schema.org/downloadUrl"":""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Elevation/zips/IL_Dem_Shaded_Relief_30m.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_DEM_SHADED_RELIEF_30M/MapServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/e1/b2/2b/fea5fc45198516b86408635bb2/iso19139.xml""}",Public,e1b22bfe-a5fc-4519-8516-b86408635bb2,Illinois,"[u'Elevation', u'Imagery and Base Maps']","This is a shaded relief image of Illinois in ArcSDE raster format. The data are stored in UTM coordinates, using a Transverse Mercator projection with the parameters of UTM Zone 16, NAD27. The data have a 30-meter ground resolution. The source DEM is a mosaicked model of USGS 30x30 meter DEMs, showing 1:24,000-SCALE quadrangle map boundaries that extend in an irregular buffer outside the state boundary. The source DEM is stored in the ISGS GIS database as GISDB.IL_DEM_30M_RAS.",1/1/03,2003,"[u'Lisa Smith', u'Chris Goldsmith', u'Donald Luman']",e1b22bfe-a5fc-4519-8516-b86408635bb2,,36.8568 -91.5336 42.6108 -91.5336 42.6108 -87.249 36.8568 -87.249 36.8568 -91.5336,2003,[u'Illinois State Geological Survey'],IL_Dem_Shaded_Relief_30m_arc,36.8568 -91.5336 42.6108 -87.249,"Statewide 30-Meter Shaded Relief Image: Illinois, 2006",GeoTIFF,"[u'Illinois, United States']",Illinois Geospatial Data Clearinghouse,e1b22bfe-a5fc-4519-8516-b86408635bb2,Dataset,
Mixed,2017-07-26T20:28:31Z,"ENVELOPE(-91.513518, -87.495214, 42.508002, 36.987594)","{""http://schema.org/url"":""https://clearinghouse.isgs.illinois.edu/data/hydrology/flood-zones-unincorporated-areas-one-hundred-and-five-hundred-year"",""http://schema.org/downloadUrl"":""https://clearinghouse.isgs.illinois.edu/sites/clearinghouse.isgs/files/Clearinghouse/data/ISGS/Hydrology/zips/IL_Flood_Zones_1986_Py.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/1d/e8/d3/daba9a497c83ba8442f307f23d/iso19139.xml""}",Public,1de8d3da-ba9a-497c-83ba-8442f307f23d,Illinois,"[u'Inland Waters', u'Wetlands', u'Floodzones', u'Hydrology']","This feature class was quickly assembled from old Arc/Info coverages to produce a general graphic image and has not reviewed or quality-controlled in any way and is not supported. This is a statewide polygon feature class of 100 year and 500 year flood zones as of 1986 for the unincorporated areas of Illinois as indicated on Federal Emergency Management Agency (FEMA) National Flood Insurance Program (FIRM) maps and Flood Hazard Boundary maps. The statewide data layer was created by appending data from 102 county-wide Arc/Info coverages originally released on Illinois DNR GIS data CDs dated 1996. The data were digitized from paper maps. RMS values were not more than twenty feet in the original digitizing process. Mapscale: 1:6000 to 1:24,000.",1/1/96,1996,[u'Illinois State Water Survey'],1de8d3da-ba9a-497c-83ba-8442f307f23d,,36.987594 -91.513518 42.508002 -91.513518 42.508002 -87.495214 36.987594 -87.495214 36.987594 -91.513518,1996,,IL_Flood_Zones_1986_Py_arc,36.987594 -91.513518 42.508002 -87.495214,"One-Hundred and Five-Hundred Year Floodzones for Unincorporated Areas: Illinois, 2006",Shapefile,"[u'Illinois, United States']",Illinois Geospatial Data Clearinghouse,1de8d3da-ba9a-497c-83ba-8442f307f23d,Dataset,
Mixed,2017-07-26T20:36:58Z,"ENVELOPE(-89.563, -89.927, 40.928, 40.59)","{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/woodford/woodford_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/36/83/61/51197149d9bd712d26f258a5ea/iso19139.xml""}",Public,36836151-1971-49d9-bd71-2d26f258a5ea,Illinois,"[u'Imagery and Base Maps', u'Elevation']","This task order is for planning, acquisition, processing, and derivative products of LiDAR data to be collected for areas of Illinois. LiDAR data, and derivative products produced in compliance with this task order are part of the data to be obtained under Job Number P-94-025-10. Specifications listed below are based on the U.S. Geological Survey National Geospatial Program Base LiDAR Specification, Version 13.",3/28/13,2011-2012,"[u'AeroMetric, Inc.']",36836151-1971-49d9-bd71-2d26f258a5ea,,40.59 -89.563 40.928 -89.563 40.928 -89.927 40.59 -89.927 40.59 -89.563,2011,"[u'AeroMetric, Inc.']",woodford_2012_metadata_arc,40.59 -89.563 40.928 -89.927,"Height Modernization (ILHMP) LiDAR Data: Woodford County, Illinois: 2012",Shapefile,"[u'Woodford County, Illinois, United States', u'Illinois, United States']",Illinois Geospatial Data Clearinghouse,36836151-1971-49d9-bd71-2d26f258a5ea,Dataset,
