layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Polygon,2017-04-13T15:34:12Z,"ENVELOPE(-87.940114, -87.524137, 42.023039, 41.644543)","{""http://schema.org/url"":""https://data.cityofchicago.org/d/bbvz-uum9"",""http://schema.org/downloadUrl"":""https://data.cityofchicago.org/api/geospatial/bbvz-uum9?method=export&format=Shapefile"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/8b/f8/60/88f16744fdab49dd0095f41ca9/iso19139""}",Public,8bf86088-f167-44fd-ab49-dd0095f41ca9,Illinois,"[u'Society', u'Facilities']","Neighborhood boundaries in Chicago, as developed by the Office of Tourism. These boundaries are approximate and names are not official. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ), is required.",2012-12-18,2012,[u'City of Chicago'],8bf86088-f167-44fd-ab49-dd0095f41ca9,,41.644543 -87.940114 42.023039 -87.940114 42.023039 -87.524137 41.644543 -87.524137 41.644543 -87.940114,2012,,8bf86088-f167-44fd-ab49-dd0095f41ca9,41.644543 -87.940114 42.023039 -87.524137,"Neighborhoods: Chicago, Illinois",Shapefile,"[u'Chicago, Illinois, United States', u'Illinois, United States']",City of Chicago Data Portal,8bf86088-f167-44fd-ab49-dd0095f41ca9,Dataset,
Polygon,2017-04-13T15:34:07Z,"ENVELOPE(-87.940114, -87.524137, 42.023039, 41.644543)","{""http://schema.org/url"":""https://data.cityofchicago.org/d/qbay-3nnc"",""http://schema.org/downloadUrl"":""https://data.cityofchicago.org/api/geospatial/qbay-3nnc?method=export&format=Shapefile"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/4c/42/fe/a3665342d89a14d43f8a3e2d45/iso19139""}",Public,4c42fea3-6653-42d8-9a14-d43f8a3e2d45,Illinois,"[u'Society', u'Boundaries', u'Education']","Attendance boundaries for elementary schools in the Chicago Public Schools district for school year 2006-2007. Generally, all students in the applicable middle school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required.",2016-08-23,2006-2007,[u'Chicago Public Schools'],4c42fea3-6653-42d8-9a14-d43f8a3e2d45,,41.644543 -87.940114 42.023039 -87.940114 42.023039 -87.524137 41.644543 -87.524137 41.644543 -87.940114,2006,,4c42fea3-6653-42d8-9a14-d43f8a3e2d45,41.644543 -87.940114 42.023039 -87.524137,"Elementary School Attendance Boundaries: Chicago, Illinois, 2006-2007",Shapefile,"[u'Chicago, Illinois, United States', u'Illinois, United States']",City of Chicago Data Portal,4c42fea3-6653-42d8-9a14-d43f8a3e2d45,Dataset,
Polygon,2017-04-13T15:34:15Z,"ENVELOPE(-87.86193, -87.524137, 42.023039, 41.644543)","{""http://schema.org/url"":""https://data.cityofchicago.org/d/acyp-2sus"",""http://schema.org/downloadUrl"":""https://data.cityofchicago.org/api/geospatial/acyp-2sus?method=export&format=Shapefile"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/f3/73/89/118f564611b63711cd6ca99faf/iso19139""}",Public,f3738911-8f56-4611-b637-11cd6ca99faf,Illinois,"[u'Society', u'Boundaries', u'Education']","Attendance boundaries for elementary schools in the Chicago Public Schools district for school year 2016-2017. Generally, all students in the applicable elementary school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required.",2016-08-04,2016-2017,[u'Chicago Public Schools'],f3738911-8f56-4611-b637-11cd6ca99faf,,41.644543 -87.86193 42.023039 -87.86193 42.023039 -87.524137 41.644543 -87.524137 41.644543 -87.86193,2016,,f3738911-8f56-4611-b637-11cd6ca99faf,41.644543 -87.86193 42.023039 -87.524137,"Elementary School Attendance Boundaries: Chicago, Illinois, 2016-2017",Shapefile,"[u'Chicago, Illinois, United States', u'Illinois, United States']",City of Chicago Data Portal,f3738911-8f56-4611-b637-11cd6ca99faf,Dataset,
Polygon,2017-04-13T15:34:24Z,"ENVELOPE(-87.939814, -87.524208, 42.023, 41.644595)","{""http://schema.org/url"":""https://data.cityofchicago.org/d/qv97-3bvb"",""http://schema.org/downloadUrl"":""https://data.cityofchicago.org/api/geospatial/qv97-3bvb?method=export&format=Shapefile"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/92/50/05/32fd36443db764efa9062e7102/iso19139""}",Public,92500532-fd36-443d-b764-efa9062e7102,Illinois,"[u'Structure', u'Buildings']","OUTDATED. See the current data at https://data.cityofchicago.org/d/hz9b-7nh8 -- Building footprints in Chicago. Metadata may be viewed and downloaded at http://bit.ly/HZVDIY. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ), is required.",2013-12-13,2015,[u'City of Chicago'],92500532-fd36-443d-b764-efa9062e7102,,41.644595 -87.939814 42.023 -87.939814 42.023 -87.524208 41.644595 -87.524208 41.644595 -87.939814,2015,,92500532-fd36-443d-b764-efa9062e7102,41.644595 -87.939814 42.023 -87.524208,"Building Footprints: Chicago, Illinois, August 2015",Shapefile,"[u'Chicago, Illinois, United States', u'Illinois, United States']",City of Chicago Data Portal,92500532-fd36-443d-b764-efa9062e7102,Dataset,
Line,2017-04-13T16:41:13Z,"ENVELOPE(-87.940086, -87.524527, 42.022927, 41.644584)","{""http://schema.org/url"":""https://data.cityofchicago.org/d/fiya-x94p"",""http://schema.org/downloadUrl"":""https://data.cityofchicago.org/api/geospatial/fiya-x94p?method=export&format=Shapefile"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/77/9f/06/6ebfcb46c5b337946798b55de2/iso19139""}",Public,779f066e-bfcb-46c5-b337-946798b55de2,Illinois,[u'Transportation'],"Street center lines in Chicago. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ), is required.",2014-10-22,2014,[u'City of Chicago'],779f066e-bfcb-46c5-b337-946798b55de2,,41.644584 -87.940086 42.022927 -87.940086 42.022927 -87.524527 41.644584 -87.524527 41.644584 -87.940086,2014,,779f066e-bfcb-46c5-b337-946798b55de2,41.644584 -87.940086 42.022927 -87.524527,"Street Center Lines: Chicago, Illinois, October 2014",Shapefile,"[u'Chicago, Illinois, United States', u'Illinois, United States']",City of Chicago Data Portal,779f066e-bfcb-46c5-b337-946798b55de2,Dataset,
Point,2017-04-13T15:34:21Z,"ENVELOPE(-87.841078, -87.533007, 42.021067, 41.65358)","{""http://schema.org/url"":""https://data.cityofchicago.org/d/cvn9-pbt9"",""http://schema.org/downloadUrl"":""https://data.cityofchicago.org/api/geospatial/cvn9-pbt9?method=export&format=Shapefile"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/b5/b5/5a/69b9d34ec2bc20d576934b0a42/iso19139""}",Public,b5b55a69-b9d3-4ec2-bc20-d576934b0a42,Illinois,"[u'Location', u'Society', u'Education']","Locations of educational units in the Chicago Public School District for school year 2010-2011. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth, are required.",2016-08-23,2010-2011,[u'Chicago Public Schools'],b5b55a69-b9d3-4ec2-bc20-d576934b0a42,,41.65358 -87.841078 42.021067 -87.841078 42.021067 -87.533007 41.65358 -87.533007 41.65358 -87.841078,2010,,b5b55a69-b9d3-4ec2-bc20-d576934b0a42,41.65358 -87.841078 42.021067 -87.533007,"School Locations: Chicago, Illinois, 2010-2011",Shapefile,"[u'Chicago, Illinois, United States', u'Illinois, United States']",City of Chicago Data Portal,b5b55a69-b9d3-4ec2-bc20-d576934b0a42,Dataset,
Polygon,2017-04-13T15:34:05Z,"ENVELOPE(-87.86202, -87.524137, 42.023039, 41.644543)","{""http://schema.org/url"":""https://data.cityofchicago.org/d/csqr-8bm8"",""http://schema.org/downloadUrl"":""https://data.cityofchicago.org/api/geospatial/csqr-8bm8?method=export&format=Shapefile"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/e2/95/b0/3f42fe491f8db1f562c83e171d/iso19139""}",Public,e295b03f-42fe-491f-8db1-f562c83e171d,Illinois,"[u'Society', u'Boundaries', u'Education']","Attendance boundaries for high schools in the Chicago Public Schools district for school year 2009-2010. Generally, all students in the applicable middle school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required.",2016-08-23,2009-2010,[u'Chicago Public Schools'],e295b03f-42fe-491f-8db1-f562c83e171d,,41.644543 -87.86202 42.023039 -87.86202 42.023039 -87.524137 41.644543 -87.524137 41.644543 -87.86202,2009,,e295b03f-42fe-491f-8db1-f562c83e171d,41.644543 -87.86202 42.023039 -87.524137,"High School Attendance Boundaries: Chicago, Illinois, 2009-2010",Shapefile,"[u'Chicago, Illinois, United States', u'Illinois, United States']",City of Chicago Data Portal,e295b03f-42fe-491f-8db1-f562c83e171d,Dataset,
Polygon,2017-04-13T15:34:20Z,"ENVELOPE(-87.770015, -87.559861, 42.013973, 41.722923)","{""http://schema.org/url"":""https://data.cityofchicago.org/d/gyxj-75ni"",""http://schema.org/downloadUrl"":""https://data.cityofchicago.org/api/geospatial/gyxj-75ni?method=export&format=Shapefile"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/dc/73/a9/144e4141afa25217249be9d44d/iso19139""}",Public,dc73a914-4e41-41af-a252-17249be9d44d,Illinois,"[u'Society', u'Boundaries', u'Education']","Attendance boundaries for middle schools in the Chicago Public Schools district for school year 2013-2014. Note: only 24 middle schools have attendance boundaries in school year 2013-2014. Middle school boundaries are often established to relieve overcrowding at nearby elementary schools. Generally, all students in the applicable middle school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required.",2016-08-23,2013-2014,[u'Chicago Public Schools'],dc73a914-4e41-41af-a252-17249be9d44d,,41.722923 -87.770015 42.013973 -87.770015 42.013973 -87.559861 41.722923 -87.559861 41.722923 -87.770015,2013,,dc73a914-4e41-41af-a252-17249be9d44d,41.722923 -87.770015 42.013973 -87.559861,"Middle School Attendance Boundaries: Chicago, Illinois, 2013-2014",Shapefile,"[u'Chicago, Illinois, United States', u'Illinois, United States']",City of Chicago Data Portal,dc73a914-4e41-41af-a252-17249be9d44d,Dataset,
Polygon,2017-04-13T15:34:27Z,"ENVELOPE(-87.940114, -87.524137, 42.023039, 41.644543)","{""http://schema.org/url"":""https://data.cityofchicago.org/d/sra3-5rba"",""http://schema.org/downloadUrl"":""https://data.cityofchicago.org/api/geospatial/sra3-5rba?method=export&format=Shapefile"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/d0/f4/8e/2b9d214f04b602f399c69db463/iso19139""}",Public,d0f48e2b-9d21-4f04-b602-f399c69db463,Illinois,"[u'Society', u'Boundaries', u'Education']","Attendance boundaries for elementary schools in the Chicago Public Schools district for school year 2009-2010. Generally, all students in the applicable middle school grades who live within one of these boundaries may attend the school. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required.",2016-08-23,2009-2010,[u'Chicago Public Schools'],d0f48e2b-9d21-4f04-b602-f399c69db463,,41.644543 -87.940114 42.023039 -87.940114 42.023039 -87.524137 41.644543 -87.524137 41.644543 -87.940114,2009,,d0f48e2b-9d21-4f04-b602-f399c69db463,41.644543 -87.940114 42.023039 -87.524137,"Elementary School Attendance Boundaries: Chicago, Illinois, 2009-2010",Shapefile,"[u'Chicago, Illinois, United States', u'Illinois, United States']",City of Chicago Data Portal,d0f48e2b-9d21-4f04-b602-f399c69db463,Dataset,
Point,2017-04-13T16:39:13Z,"ENVELOPE(-88.472104, -87.523684, 42.470733, 41.479197)","{""http://schema.org/url"":""https://data.cityofchicago.org/d/hvrs-gbrc"",""http://schema.org/downloadUrl"":""https://data.cityofchicago.org/api/geospatial/hvrs-gbrc?method=export&format=Shapefile"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/09/1a/5f/4c18ab475091e308c3a2adc452/iso19139""}",Public,091a5f4c-18ab-4750-91e3-08c3a2adc452,Illinois,[u'Economy'],Ventra Retail Sales Locations,2015-07-05,2015,[u'City of Chicago'],091a5f4c-18ab-4750-91e3-08c3a2adc452,,41.479197 -88.472104 42.470733 -88.472104 42.470733 -87.523684 41.479197 -87.523684 41.479197 -88.472104,2015,,091a5f4c-18ab-4750-91e3-08c3a2adc452,41.479197 -88.472104 42.470733 -87.523684,"CTA - Ventra: Chicago, Illinois",Shapefile,"[u'Chicago, Illinois, United States', u'Illinois, United States']",City of Chicago Data Portal,091a5f4c-18ab-4750-91e3-08c3a2adc452,Dataset,
