layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Point,2017-04-05T13:35:10Z,"ENVELOPE(-96.454582, -90.113886, 43.461867, 40.58059)","{""http://schema.org/downloadUrl"":""ftp://ftp.igsb.uiowa.edu/gis_library/ia_state/infrastructure/facilities/museum.zip"",""http://schema.org/url"":""ftp://ftp.igsb.uiowa.edu/gis_library/IA_State/Infrastructure/"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/a1/e4/af/9e289e41e29bfe89acdff7503a/iso19139.xml""}",Public,a1e4af9e-289e-41e2-9bfe-89acdff7503a,Iowa,"[u'Structure', u'Museums', u'History', u'Facility']",This dataset was created by the Iowa Natural Heritage Foundation in cooperation with state museum association members. It is a statewide distribution of Iowa state museums.,2007-04,2007,[u'Iowa Natural Heritage Foundation'],a1e4af9e-289e-41e2-9bfe-89acdff7503a,,40.58059 -96.454582 43.461867 -96.454582 43.461867 -90.113886 40.58059 -90.113886 40.58059 -96.454582,2007,"[u'Iowa Geological Survey, DNR']",,40.58059 -96.454582 43.461867 -90.113886,"State Museums: Iowa, 2007",Shapefile,"[u'Iowa, United States']",Iowa Department of Natural Resources (DNR),a1e4af9e-289e-41e2-9bfe-89acdff7503a,Dataset,
Mixed,2017-04-05T13:35:01Z,"ENVELOPE(-96.6695, -90.0866, 43.5389, 40.3572)","{""http://schema.org/url"":""http://public.iowadot.opendata.arcgis.com/datasets/989145d193434c5e8f804f513f4671f3_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/b3/54/20/950d3b4394be098567894b313a/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://gis.iowadot.gov/public/rest/services/Traffic/Traffic_Log_Book/FeatureServer/0"",""http://schema.org/downloadUrl"":""http://public.iowadot.opendata.arcgis.com/datasets/989145d193434c5e8f804f513f4671f3_0.zip""}",Public,b3542095-0d3b-4394-be09-8567894b313a,Iowa,[u'Transportation'],This map's service uses a thematic legend to depict the Annual Average Daily Traffic (AADT) information in the current Traffic Log Book. File geodatabase created June 2014 depicting the 2013 Traffic Log Book information.,2016-06-15,2016,[u'Iowa Department of Transportation'],b3542095-0d3b-4394-be09-8567894b313a,,40.3572 -96.6695 43.5389 -96.6695 43.5389 -90.0866 40.3572 -90.0866 40.3572 -96.6695,2016,[u'Iowa DOT Open Data Portal'],TrafficBookAnnualAverageDailyTraffic_shp,40.3572 -96.6695 43.5389 -90.0866,Traffic Book - Annual Average Daily Traffic: Iowa,Shapefile,"[u'Iowa, United States']",Iowa Department of Transportation (DOT),b3542095-0d3b-4394-be09-8567894b313a,Dataset,
Point,2017-04-05T13:35:50Z,"ENVELOPE(-96.8425, -89.4309, 43.739, 39.4263)","{""http://schema.org/url"":""http://public.iowadot.opendata.arcgis.com/datasets/bc267e5df6354e51b7b3f829f87c0b36_20"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/9b/02/8d/baf6b04f6ca4942c6455ab5218/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://gis.iowadot.gov/public/rest/services/Facilities/IaDOT_Statewide_Rest_Area/MapServer/20"",""http://schema.org/downloadUrl"":""http://public.iowadot.opendata.arcgis.com/datasets/bc267e5df6354e51b7b3f829f87c0b36_20.zip""}",Public,9b028dba-f6b0-4f6c-a494-2c6455ab5218,Iowa,[u'Transportation'],Iowa Department of Transportation statewide rest area data. This layer displays aging rest area infrastructure where a building is in the first half of its design life.,2016-08-15,2016,[u'Iowa Department of Transportation'],9b028dba-f6b0-4f6c-a494-2c6455ab5218,,39.4263 -96.8425 43.739 -96.8425 43.739 -89.4309 39.4263 -89.4309 39.4263 -96.8425,2016,[u'Iowa DOT Open Data Portal'],RestAreaAgingInfrastructureBuildinginFirstHalfofDesignLife_shp,39.4263 -96.8425 43.739 -89.4309,Rest Area Aging Infrastructure - Building in First Half of Design Life: Iowa,Shapefile,"[u'Iowa, United States']",Iowa Department of Transportation (DOT),9b028dba-f6b0-4f6c-a494-2c6455ab5218,Dataset,
Mixed,2017-04-05T13:35:36Z,"ENVELOPE(-95.8055, -90.3561, 41.7161, 41.2487)","{""http://schema.org/url"":""http://public.iowadot.opendata.arcgis.com/datasets/c2caf04dba9a46a389504a6971ee2be3_8"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/c2/30/c1/c9d8224989af9ac2c1e18b19b8/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/8lRhdTsQyJpO52F1/ArcGIS/rest/services/I80PELResources/FeatureServer/8"",""http://schema.org/downloadUrl"":""http://public.iowadot.opendata.arcgis.com/datasets/c2caf04dba9a46a389504a6971ee2be3_8.zip""}",Public,c230c1c9-d822-4989-af9a-c2c1e18b19b8,Iowa,[u'Transportation'],This map shows known or potential woodlands/endangered bat habitat resources within the I-80 Planning and Environmental Linkage (PEL) Study Area. The Planning and Environmental Linkage (PEL) study is being conducted by the Office of Location and Environment.,2016-06-16,2016,[u'Iowa Department of Transportation'],c230c1c9-d822-4989-af9a-c2c1e18b19b8,,41.2487 -95.8055 41.7161 -95.8055 41.7161 -90.3561 41.2487 -90.3561 41.2487 -95.8055,2016,[u'Iowa DOT Open Data Portal'],I80PELResourcesWoodlandsPotentialEndangeredBatHabitat_shp,41.2487 -95.8055 41.7161 -90.3561,I-80 Planning and Environmental Linkage (PEL) Resources - Woodlands / Potential Endangered Bat Habitat: Iowa,Shapefile,"[u'Iowa, United States']",Iowa Department of Transportation (DOT),c230c1c9-d822-4989-af9a-c2c1e18b19b8,Dataset,
Mixed,2017-04-05T13:35:37Z,"ENVELOPE(-96.6352, -90.0913, 43.4673, 40.3645)","{""http://schema.org/url"":""http://public.iowadot.opendata.arcgis.com/datasets/4e97aa0c87f54d4f96386815364c62f7_4"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/57/29/9c/52717845988ffecff71031521d/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://gis.iowadot.gov/public/rest/services/Program_Management/5_Year_Program/FeatureServer/4"",""http://schema.org/downloadUrl"":""http://public.iowadot.opendata.arcgis.com/datasets/4e97aa0c87f54d4f96386815364c62f7_4.zip""}",Public,57299c52-7178-4598-8ffe-cff71031521d,Iowa,[u'Transportation'],"The Program contains the primary and interstate highway construction related investments planned for fiscal year (FY) 2018. To view the Program, visit the Iowa DOT s Program Management website. In general, contracts awarded during a fiscal year are constructed during the corresponding calendar year. This serves as the long range program for the primary road system and the annual accomplishment program as required by Iowa Code 307A.2(12). Created in June 2016.",2015-12-09,2015,[u'Iowa Department of Transportation'],57299c52-7178-4598-8ffe-cff71031521d,,40.3645 -96.6352 43.4673 -96.6352 43.4673 -90.0913 40.3645 -90.0913 40.3645 -96.6352,2015,[u'Iowa DOT Open Data Portal'],FiveYearProgram2018Structures_shp,40.3645 -96.6352 43.4673 -90.0913,Five-Year Program: 2018 Structures: Iowa,Shapefile,"[u'Iowa, United States']",Iowa Department of Transportation (DOT),57299c52-7178-4598-8ffe-cff71031521d,Dataset,
Point,2017-04-05T13:35:21Z,"ENVELOPE(-96.4181715889465, -90.1884476865272, 43.4440148998935, 40.630022899663)","{""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/7c/26/84/eecb8b4396b2669d7003a365b9/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/DLSv2/FeatureServer/0"",""http://schema.org/downloadUrl"":""http://public.iowadot.opendata.arcgis.com/datasets/9d3e91bba2eb467bad2cec723675fbc0_0.zip""}",Public,7c2684ee-cb8b-4396-b266-9d7003a365b9,Iowa,[u'Transportation'],"Locations to obtain, renew, or modify an Iowa Driver's License.",2015-12-11,2015,[u'Iowa Department of Transportation'],7c2684ee-cb8b-4396-b266-9d7003a365b9,,40.630022899663 -96.4181715889465 43.4440148998935 -96.4181715889465 43.4440148998935 -90.1884476865272 40.630022899663 -90.1884476865272 40.630022899663 -96.4181715889465,2015,[u'Iowa DOT Open Data Portal'],StateDOTStations_shp,40.630022899663 -96.4181715889465 43.4440148998935 -90.1884476865272,State DOT Stations: Iowa,Shapefile,"[u'Iowa, United States']",Iowa Department of Transportation (DOT),7c2684ee-cb8b-4396-b266-9d7003a365b9,Dataset,
Mixed,2017-04-05T13:35:52Z,"ENVELOPE(-96.6395, -90.1402, 43.5011, 40.3756)","{""http://schema.org/url"":""http://public.iowadot.opendata.arcgis.com/datasets/cf7992357cee4d89b283155c2e3c4858_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/e2/e0/69/1f21a34057b9eab43b96b74f50/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://gis.iowadot.gov/public/rest/services/Boundaries/Transportation_Districts/FeatureServer/0"",""http://schema.org/downloadUrl"":""http://public.iowadot.opendata.arcgis.com/datasets/cf7992357cee4d89b283155c2e3c4858_0.zip""}",Public,e2e0691f-21a3-4057-b9ea-b43b96b74f50,Iowa,[u'Transportation'],Authoritative layer of Iowa DOT Transportation Districts.,2016-08-19,2016,[u'Iowa Department of Transportation'],e2e0691f-21a3-4057-b9ea-b43b96b74f50,,40.3756 -96.6395 43.5011 -96.6395 43.5011 -90.1402 40.3756 -90.1402 40.3756 -96.6395,2016,[u'Iowa DOT Open Data Portal'],TransportationDistrictBoundaries_shp,40.3756 -96.6395 43.5011 -90.1402,Transportation District Boundaries: Iowa,Shapefile,"[u'Iowa, United States']",Iowa Department of Transportation (DOT),e2e0691f-21a3-4057-b9ea-b43b96b74f50,Dataset,
Point,2017-04-05T13:35:37Z,"ENVELOPE(-96.5211, -90.2839, 43.4474, 40.5779)","{""http://schema.org/url"":""http://public.iowadot.opendata.arcgis.com/datasets/9a604738f2854558afb65f41c2ed58f6_40"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/b8/9e/9e/3f93724b378604c413b162ef1f/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://gis.iowadot.gov/public/rest/services/Facilities/IaDOT_Statewide_Rest_Area/MapServer/40"",""http://schema.org/downloadUrl"":""http://public.iowadot.opendata.arcgis.com/datasets/9a604738f2854558afb65f41c2ed58f6_40.zip""}",Public,b89e9e3f-9372-4b37-8604-c413b162ef1f,Iowa,[u'Transportation'],Iowa Department of Transportation statewide rest area data. This layer displays alternative service locations that have a picnic area.,2016-08-19,2016,[u'Iowa Department of Transportation'],b89e9e3f-9372-4b37-8604-c413b162ef1f,,40.5779 -96.5211 43.4474 -96.5211 43.4474 -90.2839 40.5779 -90.2839 40.5779 -96.5211,2016,[u'Iowa DOT Open Data Portal'],AlternativeServiceLocationsPicnicArea_shp,40.5779 -96.5211 43.4474 -90.2839,Alternative Service Locations - Picnic Area: Iowa,Shapefile,"[u'Iowa, United States']",Iowa Department of Transportation (DOT),b89e9e3f-9372-4b37-8604-c413b162ef1f,Dataset,
Point,2017-04-05T13:36:01Z,"ENVELOPE(-92.1218, -90.14, 43.5015, 41.4724)","{""http://schema.org/url"":""http://public.iowadot.opendata.arcgis.com/datasets/8421af5ea2284f7cb7c883e29191fb73_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/64/a1/8f/cec4e2489dadd5d7d644ddf7f8/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://gis.iowadot.gov/public/rest/services/Survey/Survey_Markers/MapServer/0"",""http://schema.org/downloadUrl"":""http://public.iowadot.opendata.arcgis.com/datasets/8421af5ea2284f7cb7c883e29191fb73_0.zip""}",Public,64a18fce-c4e2-489d-add5-d7d644ddf7f8,Iowa,[u'Transportation'],This layer contains the most recent records for survey markers collected by Iowa DOT surveying crews that are considered active.Contact the Office of Design for more information.,2014-08-13,2014,[u'Iowa Department of Transportation'],64a18fce-c4e2-489d-add5-d7d644ddf7f8,,41.4724 -92.1218 43.5015 -92.1218 43.5015 -90.14 41.4724 -90.14 41.4724 -92.1218,2014,[u'Iowa DOT Open Data Portal'],SurveyMarkersActive_shp,41.4724 -92.1218 43.5015 -90.14,Survey Markers - Active: Iowa,Shapefile,"[u'Iowa, United States']",Iowa Department of Transportation (DOT),64a18fce-c4e2-489d-add5-d7d644ddf7f8,Dataset,
Point,2017-04-05T13:35:15Z,"ENVELOPE(-96.5211, -90.2839, 43.4474, 40.5779)","{""http://schema.org/url"":""http://public.iowadot.opendata.arcgis.com/datasets/14494f4528f2427c919c8bbf1bd94caa_35"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/e4/3c/ac/54d82d450491f32f5a6e84804a/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://gis.iowadot.gov/public/rest/services/Facilities/IaDOT_Statewide_Rest_Area/MapServer/35"",""http://schema.org/downloadUrl"":""http://public.iowadot.opendata.arcgis.com/datasets/14494f4528f2427c919c8bbf1bd94caa_35.zip""}",Public,e43cac54-d82d-4504-91f3-2f5a6e84804a,Iowa,[u'Transportation'],Iowa Department of Transportation statewide rest area data. This layer displays alternative service locations that have a telephone.,2016-08-19,2016,[u'Iowa Department of Transportation'],e43cac54-d82d-4504-91f3-2f5a6e84804a,,40.5779 -96.5211 43.4474 -96.5211 43.4474 -90.2839 40.5779 -90.2839 40.5779 -96.5211,2016,[u'Iowa DOT Open Data Portal'],AlternativeServiceLocationsTelephone_shp,40.5779 -96.5211 43.4474 -90.2839,Alternative Service Locations - Telephone: Iowa,Shapefile,"[u'Iowa, United States']",Iowa Department of Transportation (DOT),e43cac54-d82d-4504-91f3-2f5a6e84804a,Dataset,
