layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Polygon,2017-04-05T15:21:07Z,"ENVELOPE(-78.9347, -75.2043, 39.6592, 38.1712)","{""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/57ca8c352332496b86280e9ff0be8d57_2.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/7d/92/d4/b5d03f44a5a013976f0f0cb491/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_IncentiveZones/FeatureServer/2"",""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/57ca8c352332496b86280e9ff0be8d57_2""}",Public,7d92d4b5-d03f-44a5-a013-976f0f0cb491,Maryland,"[u'Society', u'Location', u'Economy']","The Maryland State Arts Council sponsors Arts & Entertainment Districts as a way to stimulate the economy and improve quality of life. This legislation enables local jurisdictions, municipalities, counties, or a combination thereof, to apply for state designations for the Arts and Entertainment Districts within their boundaries and offer tax incentives as provided by law.Last Updated: 08/01/2013Feature Service Link:http://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_IncentiveZones/FeatureServer/2",2016-02-09T16:10:40.000ZZ,2016,[u'ArcGIS Online for Maryland'],7d92d4b5-d03f-44a5-a013-976f0f0cb491,,38.1712 -78.9347 39.6592 -78.9347 39.6592 -75.2043 38.1712 -75.2043 38.1712 -78.9347,2016,[],7d92d4b5-d03f-44a5-a013-976f0f0cb491,38.1712 -78.9347 39.6592 -75.2043,Incentive Zones - Arts and Entertainment Districts: Maryland,Shapefile,"[u'Maryland, United States']",Maryland iMap,7d92d4b5-d03f-44a5-a013-976f0f0cb491,Dataset,
Polygon,2017-04-05T15:21:47Z,"ENVELOPE(-77.326, -75.1211, 39.6058, 36.8895)","{""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/d2efd1732df24626b987a93e6ce86b68_24.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/7c/22/f7/d6b5c440a3bc0b1e2ff0a8e258/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://archive.geodata.md.gov/imap/rest/services/Biota/MD_ArchivedSubmergedAquaticVegetation/MapServer/24""}",Public,7c22f7d6-b5c4-40a3-bc0b-1e2ff0a8e258,Maryland,"[u'Biota', u'Marine Biology', u'Ecology']","The Chesapeake Bay SAV was mapped from 1:24,000 black and white aerial photography to assess water quality in the Bay. Each area of SAV was interpreted from the rectified photography and classified into one of four density classes by the percentage of cover.Map Service Link:http://archive.geodata.md.gov/imap/rest/services/Biota/MD_ArchivedSubmergedAquaticVegetation/MapServer/24",2016-06-15T18:47:05.000ZZ,2016,[u'ArcGIS Online for Maryland'],7c22f7d6-b5c4-40a3-bc0b-1e2ff0a8e258,,36.8895 -77.326 39.6058 -77.326 39.6058 -75.1211 36.8895 -75.1211 36.8895 -77.326,2016,[],7c22f7d6-b5c4-40a3-bc0b-1e2ff0a8e258,36.8895 -77.326 39.6058 -75.1211,Submerged Aquatic Vegetation 1989 (Archived): Maryland,Shapefile,"[u'Chesapeake Bay, Maryland, United States', u'Maryland, United States']",Maryland iMap,7c22f7d6-b5c4-40a3-bc0b-1e2ff0a8e258,Dataset,
Point,2017-04-05T15:19:35Z,"ENVELOPE(-77.2174, -76.7204, 39.1573, 38.67)","{""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/62757e9ba0b640c9a87d21b257e91bfe_12.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/be/11/49/49a4f34b21bc1b70c775a062e5/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://geodata.md.gov/imap/rest/services/Transportation/MD_Transit/FeatureServer/12"",""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/62757e9ba0b640c9a87d21b257e91bfe_12""}",Public,be114949-a4f3-4b21-bc1b-70c775a062e5,Maryland,"[u'Transportation', u'Public Transit']","Metrobus provides more than 400,000 trips each weekday serving 11,500 bus stops in the District of Columbia, Maryland, and Virginia. Metrobus is the sixth busiest bus agency in the United States, with a fleet of more than 1,500 buses operating on 325 routesFeature Service Layer Link:http://geodata.md.gov/imap/rest/services/Transportation/MD_Transit/FeatureServer/12",2016-02-16T17:16:05.000ZZ,2016,[u'ArcGIS Online for Maryland'],be114949-a4f3-4b21-bc1b-70c775a062e5,,38.67 -77.2174 39.1573 -77.2174 39.1573 -76.7204 38.67 -76.7204 38.67 -77.2174,2016,[],be114949-a4f3-4b21-bc1b-70c775a062e5,38.67 -77.2174 39.1573 -76.7204,Transit - WMATA Metro Bus Stops: Maryland,Shapefile,"[u'Maryland, United States']",Maryland iMap,be114949-a4f3-4b21-bc1b-70c775a062e5,Dataset,
Point,2017-04-05T15:21:45Z,"ENVELOPE(-79.5076, -74.9487, 39.747, 37.8623)","{""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_1.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/ad/eb/57/f12fc7440fa8cd69bbe404918c/iso19139.xml"",""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_1""}",Public,adeb57f1-2fc7-440f-a8cd-69bbe404918c,Maryland,"[u'Inland Waters', u'Hydrology']","The MD_Surface_Waters Feature Dataset includes 7 feature classes that geospatially depict the surface water bodies of Maryland. These feature classes are being provided so that data from the 2012 Integrated Report of Surface Water Quality can be displayed in geographic form for users of all levels. These different feature classes represent the different assessment unit scales utilized on the 2012 IR, some of which overlap in space. In addition, provided in the attribute tables for the Impoundments, Rivers_Streams, and Tidal_Waters feature classes is the use class designation as specified in COMAR Section 26.08.02.08. More information about these feature classes is contained in the metadata for each feature class.Map Service Link: http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReportSurfaceWaterQuality_2013/MapServer",2015-06-06T18:01:14Z,,[u'ArcGIS Online for Maryland'],adeb57f1-2fc7-440f-a8cd-69bbe404918c,,37.8623 -79.5076 39.747 -79.5076 39.747 -74.9487 37.8623 -74.9487 37.8623 -79.5076,2015,[],adeb57f1-2fc7-440f-a8cd-69bbe404918c,37.8623 -79.5076 39.747 -74.9487,Tidal Waters - Legacy Assessments only: Maryland,Shapefile,"[u'Maryland, United States']",Maryland iMap,adeb57f1-2fc7-440f-a8cd-69bbe404918c,Dataset,
Point,2017-04-05T15:19:30Z,"ENVELOPE(-77.1293, -76.309, 39.4764, 38.7806)","{""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/7e0bfffa85914e329bcaa4584adeccf8_22.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/77/f1/13/93a5894d9b892657cf033ce389/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://geodata.md.gov/imap/rest/services/Society/MD_SportVenues/FeatureServer/22"",""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/7e0bfffa85914e329bcaa4584adeccf8_22""}",Public,77f11393-a589-4d9b-8926-57cf033ce389,Maryland,"[u'Society', u'Sports']","Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Fencing.Last Updated: 08/2014Feature Service Layer Link:http://geodata.md.gov/imap/rest/services/Society/MD_SportVenues/FeatureServer/22",2016-02-16T20:15:31.000ZZ,2016,[u'ArcGIS Online for Maryland'],77f11393-a589-4d9b-8926-57cf033ce389,,38.7806 -77.1293 39.4764 -77.1293 39.4764 -76.309 38.7806 -76.309 38.7806 -77.1293,2016,[],77f11393-a589-4d9b-8926-57cf033ce389,38.7806 -77.1293 39.4764 -76.309,"Sport Venues - Fencing: Maryland, 2016",Shapefile,"[u'Maryland, United States']",Maryland iMap,77f11393-a589-4d9b-8926-57cf033ce389,Dataset,
nonspatial,2017-04-05T15:19:42Z,"ENVELOPE(-79.4873, -75.0492, 39.7229, 37.8865)","{""http://schema.org/downloadUrl"":"""",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/cf/b6/48/a0a7064dfc8d0eb51f75aad8f2/iso19139.xml"",""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/fe7773f272644527b0b47116445d6efb_13""}",Public,cfb648a0-a706-4dfc-8d0e-b51f75aad8f2,Maryland,"[u'Inland Waters', u'Hydrology']","The MD_Surface_Waters Feature Dataset includes 7 feature classes that geospatially depict the surface water bodies of Maryland. These feature classes are being provided so that data from the 2012 Integrated Report of Surface Water Quality can be displayed in geographic form for users of all levels. These different feature classes represent the different assessment unit scales utilized on the 2012 IR, some of which overlap in space. In addition, provided in the attribute tables for the Impoundments, Rivers_Streams, and Tidal_Waters feature classes is the use class designation as specified in COMAR Section 26.08.02.08. More information about these feature classes is contained in the metadata for each feature class.Map Service Link: http://mdewin64.mde.state.md.us/arcgis/rest/services/MDE_Water_Quality/MD_IntegratedReportSurfaceWaterQuality_2013/MapServer",2015-06-04T18:01:14Z,,[u'ArcGIS Online for Maryland'],cfb648a0-a706-4dfc-8d0e-b51f75aad8f2,,37.8865 -79.4873 39.7229 -79.4873 39.7229 -75.0492 37.8865 -75.0492 37.8865 -79.4873,2015,[],cfb648a0-a706-4dfc-8d0e-b51f75aad8f2,37.8865 -79.4873 39.7229 -75.0492,"Integrated Report of Surface Water Quality- Shell Harvests: Maryland, 2012",Text,"[u'Maryland, United States']",Maryland iMap,cfb648a0-a706-4dfc-8d0e-b51f75aad8f2,Dataset,
Polygon,2017-04-05T15:21:28Z,"ENVELOPE(-79.4105, -75.0872, 39.7216, 37.971)","{""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/47defd42c35e4edab5a7e2b836b7bdce_8.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/f5/53/78/8ca3cd481da8381653d2411b4c/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://geodata.md.gov/imap/rest/services/Environment/MD_ProtectedLands/FeatureServer/8"",""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/47defd42c35e4edab5a7e2b836b7bdce_8""}",Public,f553788c-a3cd-481d-a838-1653d2411b4c,Maryland,[u'Environment'],"The Federal Lands data consists of land areas that are run and maintained by United States Governmental authorities and are considered protected.These files were created for planning purposes and should not be used as a definitive source of mapped data for any of the associated types of land ownership. There have been intentional omissions due to sensitive data types and in some cases, the source documents cannot be considered complete.Last Updated: 05/2014Feature Service Link:http://geodata.md.gov/imap/rest/services/Environment/MD_ProtectedLands/FeatureServer/8",2016-02-09T17:46:46.000ZZ,2016,[u'ArcGIS Online for Maryland'],f553788c-a3cd-481d-a838-1653d2411b4c,,37.971 -79.4105 39.7216 -79.4105 39.7216 -75.0872 37.971 -75.0872 37.971 -79.4105,2016,[],f553788c-a3cd-481d-a838-1653d2411b4c,37.971 -79.4105 39.7216 -75.0872,Protected Lands - Protected Federal Lands: Maryland,Shapefile,"[u'Maryland, United States']",Maryland iMap,f553788c-a3cd-481d-a838-1653d2411b4c,Dataset,
Polygon,2017-04-05T15:18:57Z,"ENVELOPE(-79.5003, -75.0005, 39.7506, 37.8756)","{""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/09/a1/d2/70324441639530851ab30f350a/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://imagery.geodata.md.gov/imap/rest/services/NAIP/HistoricNAIPImageryGrid/MapServer/5""}",Public,09a1d270-3244-4163-9530-851ab30f350a,Maryland,[u'Imagery and Base Maps'],This map service contains the index grids for the historic NAIP imagery. The NAIP program is administered by the U.S. Department of Agriculture Farm Service Agency and has been established to support two main FSA strategic goals centered on agricultural production.Historic NAIP Imagery Links:http://imagery.geodata.md.gov/imap/rest/services/NAIP/NAIPImagery2005/MapServerhttp://imagery.geodata.md.gov/imap/rest/services/NAIP/NAIPImagery2007/MapServerhttp://imagery.geodata.md.gov/imap/rest/services/NAIP/NAIPImagery2009/MapServerhttp://imagery.geodata.md.gov/imap/rest/services/NAIP/NAIPImagery2011/MapServerMap Service Link:http://imagery.geodata.md.gov/imap/rest/services/NAIP/HistoricNAIPImageryGrid/MapServer,2014-10-16T19:04:29.000ZZ,2015,[u'ArcGIS Online for Maryland'],09a1d270-3244-4163-9530-851ab30f350a,,37.8756 -79.5003 39.7506 -79.5003 39.7506 -75.0005 37.8756 -75.0005 37.8756 -79.5003,2014,[],09a1d270-3244-4163-9530-851ab30f350a,37.8756 -79.5003 39.7506 -75.0005,NAIP Imagery Grid 2013: Maryland,Shapefile,"[u'Maryland, United States']",Maryland iMap,09a1d270-3244-4163-9530-851ab30f350a,Dataset,
Polygon,2017-04-05T15:19:02Z,"ENVELOPE(-79.4872, -75.0492, 39.723, 37.891)","{""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/96405b5a3e8846dcb0069727277e4ad0_1.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/79/5a/4a/adf92b41908f7c8a610d86fcf3/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://geodata.md.gov/imap/rest/services/Geoscientific/MD_Geology/MapServer/1"",""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/96405b5a3e8846dcb0069727277e4ad0_1""}",Public,795a4aad-f92b-4190-8f7c-8a610d86fcf3,Maryland,"[u'Geoscientific Information', u'Geology']","This data layer contains the Province-level physiographic subdivisions of Maryland in ArcGIS format. The file was developed from components of a detailed digital physiographic map of Maryland by James P. Reger and Emery T. Cleaves, currently in progress. Physiography is the study and classification of the natural landscape of the earth and the landforms that comprise it. The approach for the detailed physiographic map of Maryland is hierarchical and descriptive. Subdivisions are based on similarities (within) and differences (among) geologic structure, rock type, geomorphic history, and topographic characteristics. Data and subdivisions were compiled at a 1:100,000 scale for the detailed state-wide map. The hierarchical classification of the detailed physiographic map (in progress) includes subdivisions as follows, in descending order (and generally decreasing size): Province, Section, Region, District, Area. In Maryland there are portions of five physiographic Provinces. In this file, the polygons reflect Province level subdivision. The polygon feature attribute table has been developed to pertain only to the Provinces level. The table includes information on dominant rock types, geologic structure, topographic relief, and drainage pattern.Physiography is the study and classification of the natural landscape of the earth and the landforms that comprise it. The approach for the detailed physiographic map of Maryland is hierarchical and descriptive. Subdivisions are based on similarities (within) and differences (among) geologic structure, rock type, geomorphic history, and topographic characteristics. Data and subdivisions were compiled at a 1:100,000 scale for the detailed state-wide map. The hierarchical classification of the detailed physiographic map (in progress) includes subdivisions as follows, in descending order (and generally decreasing size): Province, Section, Region, District, Area. In Maryland there are portions of five physiographic Provinces. In this file, the polygons reflect Province level subdivision. The polygon feature attribute table has been developed to pertain only to the Provinces level. The table includes information on dominant rock types, geologic structure, topographic relief, and drainage pattern.Last Updated:Feature Service Layer Link:http://geodata.md.gov/imap/rest/services/Geoscientific/MD_Geology/MapServer/1",2016-03-29T18:31:38Z,2016,[u'ArcGIS Online for Maryland'],795a4aad-f92b-4190-8f7c-8a610d86fcf3,,37.891 -79.4872 39.723 -79.4872 39.723 -75.0492 37.891 -75.0492 37.891 -79.4872,2016,[],795a4aad-f92b-4190-8f7c-8a610d86fcf3,37.891 -79.4872 39.723 -75.0492,Geology - Physiographic Provinces: Maryland,Shapefile,"[u'Maryland, United States']",Maryland iMap,795a4aad-f92b-4190-8f7c-8a610d86fcf3,Dataset,
Point,2017-04-05T15:19:10Z,"ENVELOPE(-76.9236, -76.5715, 39.2888, 38.9759)","{""http://schema.org/downloadUrl"":""http://data.imap.maryland.gov/datasets/06b836af7c0b4a2a852aba3bf7fe9b86_10.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/87/15/5f/1c48e54e6bb7940a5130df5005/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://geodata.md.gov/imap/rest/services/Society/MD_SportVenues/FeatureServer/10"",""http://schema.org/url"":""http://data.imap.maryland.gov/datasets/06b836af7c0b4a2a852aba3bf7fe9b86_10""}",Public,87155f1c-48e5-4e6b-b794-0a5130df5005,Maryland,"[u'Society', u'Sports']","Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Broomball.Last Updated: 08/2014Feature Service Layer Link:http://geodata.md.gov/imap/rest/services/Society/MD_SportVenues/FeatureServer/10",2016-02-16T19:40:56.000ZZ,2016,[u'ArcGIS Online for Maryland'],87155f1c-48e5-4e6b-b794-0a5130df5005,,38.9759 -76.9236 39.2888 -76.9236 39.2888 -76.5715 38.9759 -76.5715 38.9759 -76.9236,2016,[],87155f1c-48e5-4e6b-b794-0a5130df5005,38.9759 -76.9236 39.2888 -76.5715,"Sport Venues - Broomball: Maryland, 2016",Shapefile,"[u'Maryland, United States']",Maryland iMap,87155f1c-48e5-4e6b-b794-0a5130df5005,Dataset,
