layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Point,2017-05-24T17:30:12Z,"ENVELOPE(-77.101406, -76.91778, 38.9851, 38.823894)","{""http://schema.org/url"":""http://opendata.dc.gov/datasets/240156f8a5af4c949f204db73bc661d4_82"",""http://schema.org/downloadUrl"":""http://opendata.dc.gov/datasets/240156f8a5af4c949f204db73bc661d4_82.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/82"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/da/05/e0/84ad6146f48cb25b39d0423bb4/iso19139.xml""}",Public,da05e084-ad61-46f4-8cb2-5b39d0423bb4,Maryland,[u'Transportation'],School Crossing Guards. The dataset contains locations and attributes of school crossing guard locations A database provided by the District of Columbia ,2017-02-02,2017-,,da05e084-ad61-46f4-8cb2-5b39d0423bb4,,38.823894 -77.101406 38.9851 -77.101406 38.9851 -76.91778 38.823894 -76.91778 38.823894 -77.101406,2017,[u'District of Columbia GIS Program'],240156f8a5af4c949f204db73bc661d4_82,38.823894 -77.101406 38.9851 -76.91778,"School Crossing Guards: Washington, D.C.",Shapefile,"[u'Washington, District of Columbia, United States']",District of Columbia Open Data,da05e084-ad61-46f4-8cb2-5b39d0423bb4,Dataset,
Point,2017-05-24T17:30:24Z,"ENVELOPE(-81.529192, -76.924647, 38.961373, 37.577269)","{""http://schema.org/url"":""http://opendata.dc.gov/datasets/63e61e1aa00244388d88212c3e45eca7_32"",""http://schema.org/downloadUrl"":""http://opendata.dc.gov/datasets/63e61e1aa00244388d88212c3e45eca7_32.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Business_and_Economic_Development_WebMercator/MapServer/32"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/a5/5f/e6/01073d442b9d59f7f28d99c296/iso19139.xml""}",Public,a55fe601-073d-442b-9d59-f7f28d99c296,Maryland,"[u'Economy', u'Business', u'Planning', u'Finance', u'Revenue']",The District of Columbia Revenue Bond Program provides market interest rate loans to help lower cost of funds available for capital projects. These bonds are used to finance a wide variety of projects including industrial and commercial development.More information is available here: <a href=Nhttp://dmped.dc.gov/N target=N_blankN>http://dmped.dc.gov/ and search for industrial revenue bond.,2017-02-02,2017-,,a55fe601-073d-442b-9d59-f7f28d99c296,,37.577269 -81.529192 38.961373 -81.529192 38.961373 -76.924647 37.577269 -76.924647 37.577269 -81.529192,2017,[u'District of Columbia GIS Program'],63e61e1aa00244388d88212c3e45eca7_32,37.577269 -81.529192 38.961373 -76.924647,"Industrial Revenue Bond Projects: Washington, D.C.",Shapefile,"[u'Washington, District of Columbia, United States']",District of Columbia Open Data,a55fe601-073d-442b-9d59-f7f28d99c296,Dataset,
Point,2017-05-24T17:31:04Z,"ENVELOPE(-77.098828, -76.925421, 38.986049, 38.825049)","{""http://schema.org/url"":""http://opendata.dc.gov/datasets/34cd5d21b0da4365b76e981a294cd5d0_21"",""http://schema.org/downloadUrl"":""http://opendata.dc.gov/datasets/34cd5d21b0da4365b76e981a294cd5d0_21.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_APPS/SR_30days_Open/MapServer/21"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/b3/3e/6a/9a28474fd3bdaebdd18588b9ed/iso19139.xml""}",Public,b33e6a9a-2847-4fd3-bdae-bdd18588b9ed,Maryland,"[u'Transportation', u'311', u'Service requests']",This data layer shows 311 Service Requests in the last 30 days for street and alley repair requests on public property.,2017-03-08,2017-,,b33e6a9a-2847-4fd3-bdae-bdd18588b9ed,,38.825049 -77.098828 38.986049 -77.098828 38.986049 -76.925421 38.825049 -76.925421 38.825049 -77.098828,2017,[u'District of Columbia GIS Program'],34cd5d21b0da4365b76e981a294cd5d0_21,38.825049 -77.098828 38.986049 -76.925421,"Street/Alley Repair: Washington, D.C., Last 30 Days",Shapefile,"[u'Washington, District of Columbia, United States']",District of Columbia Open Data,b33e6a9a-2847-4fd3-bdae-bdd18588b9ed,Dataset,
Point,2017-05-24T17:33:26Z,"ENVELOPE(-77.068616, -76.932457, 38.97505, 38.837745)","{""http://schema.org/url"":""http://opendata.dc.gov/datasets/7391986890624da8a3db6f9887881a22_0"",""http://schema.org/downloadUrl"":""http://opendata.dc.gov/datasets/7391986890624da8a3db6f9887881a22_0.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Education_WebMercator/MapServer/0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/8a/18/4d/57b77d4c4eab906cf4a50fd75d/iso19139.xml""}",Public,8a184d57-b77d-4c4e-ab90-6cf4a50fd75d,Maryland,"[u'Society', u'Education', u'Schools', u'Elementary', u'Campus', u'Education', u'DC Public Schools']",DC public schools. This dataset contains points representing public schools. It was created for the D.C. public schools and later added to the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO). This dataset includes all identifiable DCPS public elementary Does not include private or charter schools. School locations were identified from a database from the DC Public Schools Current for the 2015-2016 school year. All DC GIS data is stored and exported in Maryland State Plane coordinates NAD 83 meters. METADATA CONTENT IS IN PROCESS OF VALIDATION AND SUBJECT TO CHANGE.,2017-02-02,2017-,,8a184d57-b77d-4c4e-ab90-6cf4a50fd75d,,38.837745 -77.068616 38.97505 -77.068616 38.97505 -76.932457 38.837745 -76.932457 38.837745 -77.068616,2017,[u'District of Columbia GIS Program'],7391986890624da8a3db6f9887881a22_0,38.837745 -77.068616 38.97505 -76.932457,"Capital Gains Schools: Washington, D.C.",Shapefile,"[u'Washington, District of Columbia, United States']",District of Columbia Open Data,8a184d57-b77d-4c4e-ab90-6cf4a50fd75d,Dataset,
Point,2017-05-24T17:33:03Z,"ENVELOPE(-77.085508, -76.937763, 38.965948, 38.846875)","{""http://schema.org/url"":""http://opendata.dc.gov/datasets/b35acbc664a8432b888db88c9f4fde51_38"",""http://schema.org/downloadUrl"":""http://opendata.dc.gov/datasets/b35acbc664a8432b888db88c9f4fde51_38.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Cultural_and_Society_WebMercator/MapServer/38"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/71/9f/45/83ff9a4dcb9bd71b1c710822ad/iso19139.xml""}",Public,719f4583-ff9a-4dcb-9bd7-1b1c710822ad,Maryland,"[u'Society', u'Cultural', u'Grant', u'Artists']",The City Arts Projects (CAP) grant provides project support for individuals and organizations to execute projects that promote arts and humanities activities to a diverse range of communities within the District of Columbia. The DCCAH highly encourages small Also Artistic projects may include City Arts Projects will be reviewed by cohorts based on the project’s artistic expense budget and projects produced by individuals or organizations.The DC Commission on the Arts and Humanities recognizes the importance of remaining relevant in a city of competitive opportunities for residents who have at their disposal significant discretionary income for arts and cultural offerings.   Further1 billion in economic activity is generated annually by the non-profit arts and culture industry in Washington  Additionally  These trends create an opportunity for DCCAH to position itself at the forefront of the city’s cultural planning.   To achieve this goal,2017-02-02,2015,,719f4583-ff9a-4dcb-9bd7-1b1c710822ad,,38.846875 -77.085508 38.965948 -77.085508 38.965948 -76.937763 38.846875 -76.937763 38.846875 -77.085508,2015,[u'District of Columbia GIS Program'],b35acbc664a8432b888db88c9f4fde51_38,38.846875 -77.085508 38.965948 -76.937763,"City Arts Projects (Individual): Washington, D.C., 2015",Shapefile,"[u'Washington, District of Columbia, United States']",District of Columbia Open Data,719f4583-ff9a-4dcb-9bd7-1b1c710822ad,Dataset,
Point,2017-05-24T17:31:50Z,"ENVELOPE(-77.112983, -76.9123, 38.994105, 38.820332)","{""http://schema.org/url"":""http://opendata.dc.gov/datasets/6a44f007e34e48408c354a6f30ed472e_4"",""http://schema.org/downloadUrl"":""http://opendata.dc.gov/datasets/6a44f007e34e48408c354a6f30ed472e_4.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps2.dcgis.dc.gov/dcgis/rest/services/DDOT/TOPS/MapServer/4"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/14/17/3d/2a862248ebb4f68d640d42373b/iso19139.xml""}",Public,14173d2a-8622-48eb-b4f6-8d640d42373b,Maryland,"[u'Society', u'Tree']",There is no description available.,2017-03-03,2017-,,14173d2a-8622-48eb-b4f6-8d640d42373b,,38.820332 -77.112983 38.994105 -77.112983 38.994105 -76.9123 38.820332 -76.9123 38.820332 -77.112983,2017,[u'District of Columbia GIS Program'],6a44f007e34e48408c354a6f30ed472e_4,38.820332 -77.112983 38.994105 -76.9123,"DDOT Special Tree Permit: Washington, D.C.",Shapefile,"[u'Washington, District of Columbia, United States']",District of Columbia Open Data,14173d2a-8622-48eb-b4f6-8d640d42373b,Dataset,
Mixed,2017-05-24T17:30:00Z,"ENVELOPE(-77.112161, -76.930116, 38.976417, 38.832986)","{""http://schema.org/url"":""http://opendata.dc.gov/datasets/b6521725905c48b89c2d661649fb8692_109"",""http://schema.org/downloadUrl"":""http://opendata.dc.gov/datasets/b6521725905c48b89c2d661649fb8692_109.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Transportation_WebMercator/MapServer/109"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/5a/ac/6d/e6bd354a48a32d4da02ab154d7/iso19139.xml""}",Public,5aac6de6-bd35-4a48-a32d-4da02ab154d7,Maryland,"[u'Transportation', u'Medians', u'Medians']",Department of Parks and Recreation (DPR) properties identified as polygons for Triangles and Medians. The dataset contains general locations and amenity information about the properties under the jurisdiction of the DC Department of Parks and Recreation; specifically Triangles and Medians. It has been created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. This data is provided by the Department of Parks and Recreation. <a href=Nhttp://geospatial.dcgis.dc.gov/dc_kmz/metadata/TriangleAndMedianPly.htmlN target=N_blankN>metadata,2017-03-08,2017-,,5aac6de6-bd35-4a48-a32d-4da02ab154d7,,38.832986 -77.112161 38.976417 -77.112161 38.976417 -76.930116 38.832986 -76.930116 38.832986 -77.112161,2017,[u'District of Columbia GIS Program'],b6521725905c48b89c2d661649fb8692_109,38.832986 -77.112161 38.976417 -76.930116,"Triangles and Medians: Washington, D.C.",Shapefile,"[u'Washington, District of Columbia, United States']",District of Columbia Open Data,5aac6de6-bd35-4a48-a32d-4da02ab154d7,Dataset,
Mixed,2017-05-24T17:29:53Z,"ENVELOPE(-77.112882, -76.910551, 38.995256, 38.819126)","{""http://schema.org/url"":""http://opendata.dc.gov/datasets/b866ab4f6a0e4f01adbdb8bf48828487_2"",""http://schema.org/downloadUrl"":""http://opendata.dc.gov/datasets/b866ab4f6a0e4f01adbdb8bf48828487_2.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/ViolationsSummary/MapServer/2"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/cc/50/6b/744e2b45889e7d4023634d69ed/iso19139.xml""}",Public,cc506b74-4e2b-4588-9e7d-4023634d69ed,Maryland,"[u'Transportation', u'Vision Zero', u'Public works', u'Police', u'Enforcement', u'Parking', u'Parking violation', u'Vision Zero']",The Vision Zero data contained in this layer pertain to parking violations issued by the District of Columbia's Metropolitan Police Department (MPD) and partner agencies with the authority to do so. For example Locations of moving violations are identified from a database provided by the District Department of Motor Vehicles (DMV).The data is summarized by ticket counts based on time of day The summary form was created as a series of aggregated street segment data This is a temporal crosstab of violation types (defined below) by week and time of day (ranges defined below).Users are able to query by week to get a DC-wide yearly and weekly perspective on over 50 different combinations of violations.  Create interesting street segment heat maps which can get quite specific to identify patterns and answer questions. For exampleField Definitions:Identification Weeknumber – Week of Year Records which do not have a time of day associated with the violation were excluded from these summaries.,2017-02-02,2010,,cc506b74-4e2b-4588-9e7d-4023634d69ed,,38.819126 -77.112882 38.995256 -77.112882 38.995256 -76.910551 38.819126 -76.910551 38.819126 -77.112882,2010,[u'District of Columbia GIS Program'],b866ab4f6a0e4f01adbdb8bf48828487_2,38.819126 -77.112882 38.995256 -76.910551,"Parking Violations Summary: Washington, D.C., 2010 Weeks 27 to 52",Shapefile,"[u'Washington, District of Columbia, United States']",District of Columbia Open Data,cc506b74-4e2b-4588-9e7d-4023634d69ed,Dataset,
Point,2017-05-24T17:31:42Z,"ENVELOPE(-77.109241, -76.911258, 38.98451, 38.821888)","{""http://schema.org/url"":""http://opendata.dc.gov/datasets/2335ba275c3f4320a3113f13181eab56_9"",""http://schema.org/downloadUrl"":""http://opendata.dc.gov/datasets/2335ba275c3f4320a3113f13181eab56_9.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Business_and_Economic_Development_WebMercator/MapServer/9"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/19/6f/73/31cad04ad9a45ed4e6c275f25c/iso19139.xml""}",Public,196f7331-cad0-4ad9-a45e-d4e6c275f25c,Maryland,"[u'Location', u'Business']",Pharmacies licensed in the District of Columbia as of November 4 For more information on pharmaceutical licensingdc.gov. Search for Pharmaceutical Control Division.This dataset was created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and the D.C. Department of Health. A database provided by the D.C. Department of Health (Health Regulation and Licensing Administration,2017-02-02,2017-,,196f7331-cad0-4ad9-a45e-d4e6c275f25c,,38.821888 -77.109241 38.98451 -77.109241 38.98451 -76.911258 38.821888 -76.911258 38.821888 -77.109241,2017,[u'District of Columbia GIS Program'],2335ba275c3f4320a3113f13181eab56_9,38.821888 -77.109241 38.98451 -76.911258,"Pharmacy Locations: Washington, D.C.",Shapefile,"[u'Washington, District of Columbia, United States']",District of Columbia Open Data,196f7331-cad0-4ad9-a45e-d4e6c275f25c,Dataset,
Mixed,2017-05-24T17:34:33Z,"ENVELOPE(-77.081877, -76.924233, 38.971044, 38.845089)","{""http://schema.org/url"":""http://opendata.dc.gov/datasets/3c8718e7d24c46a4ac0522b402ebc8a5_2"",""http://schema.org/downloadUrl"":""http://opendata.dc.gov/datasets/3c8718e7d24c46a4ac0522b402ebc8a5_2.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Cultural_and_Society_WebMercator/MapServer/2"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/68/84/81/de337a461eb18965d567a84103/iso19139.xml""}",Public,688481de-337a-461e-b189-65d567a84103,Maryland,"[u'Society', u'Cultural', u'Grant', u'Art', u'Artists']",The Artist Fellowship Program (AFP) offers financial fellowships to individual artists whose artistic excellence significantly contributes to the District of Columbia as a world class cultural capital. AFP recognizes the impact of individual artists within the District of Columbia and supports the vitality that those artists bring to the local community. The DC Commission on the Arts and Humanities recognizes the importance of remaining relevant in a city of competitive opportunities for residents who have at their disposal significant discretionary income for arts and cultural offerings.   Further1 billion in economic activity is generated annually by the non-profit arts and culture industry in Washington  Additionally  These trends create an opportunity for DCCAH to position itself at the forefront of the city’s cultural planning.   To achieve this goal,2017-02-23,2013,,688481de-337a-461e-b189-65d567a84103,,38.845089 -77.081877 38.971044 -77.081877 38.971044 -76.924233 38.845089 -76.924233 38.845089 -77.081877,2013,[u'District of Columbia GIS Program'],3c8718e7d24c46a4ac0522b402ebc8a5_2,38.845089 -77.081877 38.971044 -76.924233,"Artist Fellowship Program: Washington, D.C., 2013",Shapefile,"[u'Washington, District of Columbia, United States']",District of Columbia Open Data,688481de-337a-461e-b189-65d567a84103,Dataset,
