layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Mixed,2017-01-20T18:41:06Z,"ENVELOPE(-93.04, -92.23, 44.71, 44.19)","{""http://schema.org/url"":""https://gisdata.mn.gov/dataset/geos-geologic-atlas-good-c12a""}",Public,24535f83-4145-483f-ae79-7e474603408e,,[u'Geoscientific Information'],"A County Geologic Atlas is a systematic study of a county's geologic and ground water resources. Geologic studies include both near-surface deposits and bedrock. Ground water studies include flow systems, aquifer capacity, and ground water chemistry. In some areas sand and gravel deposits, sinkholes, or other features are studied. Interpretation of sensitivity to pollution is also part of an atlas. The information is organized, analyzed, and displayed using geographic information technology. Most Geologic Atlas and Regional Hydrogeologic Assessment projects are done in two parts. The Minnesota Geological Survey covers basic geology and creates databases of information such as wells and soil borings in part A. The Minnesota Department of Natural Resources (DNR) handles hydrogeology and ground water sensitivity layers in Part B. Completion of a project's two parts is staggered: Part A is completed about two years before Part B, compiling information used to create part B. Parts A and B are published and distributed as two separate products.",1998-06-15,1998,[u'Minnesota Geological Survey (MGS)'],24535f83-4145-483f-ae79-7e474603408e,,44.19 -93.04 44.71 -93.04 44.71 -92.23 44.19 -92.23 44.19 -93.04,1998,[u'Minnesota Geological Survey'],,44.19 -93.04 44.71 -92.23,"Geologic Atlas of Goodhue County, Minnesota (Part A), 1998",ArcGRID,"[u'Minnesota, United States', u'Goodhue County, Minnesota, United States']",Minnesota Geospatial Commons,24535f83-4145-483f-ae79-7e474603408e,,
Mixed,2017-01-20T18:40:26Z,"ENVELOPE(-97.2, -92.28, 47.9, 45.55)","{""http://schema.org/url"":""https://gisdata.mn.gov/dataset/base-saip-central-2013-1ft""}",Public,f8b7ff40-7a40-4a4c-b55d-1da83cfc9f36,,[u'Imagery and Base Maps'],"This dataset contains leaf-off 4-band red, green, blue, infrared (RGBI) digital orthophoto imagery produced at 30-centimeter (approximately one-foot) resolution from new aerial photography captured in Spring 2013. The imagery covers Carlton, Clay, Itasca, Mille Lacs and Wilkin counties; Fond du Lac and White Earth reservations, and Camp Ripley military reservation in central and north-central Minnesota. Funding for this data was provided by the Minnesota Natural Heritage Fund, the Minnesota Clean Water Legacy Act, and The Environmental and Natural Resources Trust Fund. Counties and other non-state public entities named under 'Originator' contributed additional funding to increase the resolution of the imagery collect. This metadata record was created by the Minnesota Geospatial Information Office (MnGeo) using information supplied by Quantum Spatial, Inc. and the Minnesota Department of Transportation.",2013-06-15,2013,"[u'Minnesota Department of Natural Resources, Quantum Geospatial, Inc., Carlton County, Clay County, Itasca County, Mille Lacs County, Wilkin County, Fond du Lac Reservation, White Earth Reservation, and Camp Ripley Military Reservation']",f8b7ff40-7a40-4a4c-b55d-1da83cfc9f36,,45.55 -97.2 47.9 -97.2 47.9 -92.28 45.55 -92.28 45.55 -97.2,2013,[u'Minnesota Geospatial Information Office (MnGeo)'],,45.55 -97.2 47.9 -92.28,"High Resolution Orthoimagery, 1 Foot Resolution: Selected Areas, Central Minnesota, Spring 2013",File,"[u'Minnesota, United States, MN, Carlton, United States, Clay, Itasca, Mille Lacs, Wilkin, Fond du Lac Reservation, White Earth Reservation, Camp Ripley Military Reservation', u'Minnesota, United States', u'Wilkin County, Minnesota, United States', u'Mille Lacs County, Minnesota, United States', u'Itasca County, Minnesota, United States', u'Clay County, Minnesota, United States', u'Carlton, United States County, Minnesota, United States']",Minnesota Geospatial Commons,f8b7ff40-7a40-4a4c-b55d-1da83cfc9f36,,
Mixed,2017-01-20T18:38:41Z,"ENVELOPE(-93.288378, -93.073311, 44.989128, 44.936468)","{""http://schema.org/url"":""https://gisdata.mn.gov/dataset/us-mn-state-metc-trans-transit-downtown-fare-zone"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://gis2.metc.state.mn.us/arcgis/rest/services/MetroGIS/Transportation/MapServer/12"",""http://schema.org/downloadUrl"":""ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transit_downtown_fare_zone/shp_trans_transit_downtown_fare_zone.zip""}",Public,28268148-a280-449c-a7e6-d5bb2d0a6e53,,[u'Transportation'],This shapefile delineates the areas of Metro Transit's Downtown Zone where individuals can ride any transit route for a 50-cent fare.,2014-02-05T06:00:00.000Z,2014,[u'Metropolitan Council'],28268148-a280-449c-a7e6-d5bb2d0a6e53,,44.936468 -93.288378 44.989128 -93.288378 44.989128 -93.073311 44.936468 -93.073311 44.936468 -93.288378,2014,[u'Metropolitan Council'],,44.936468 -93.288378 44.989128 -93.073311,"Downtown Fare Zones: Twin Cities Metro, Minnesota, 2014",Shapefile,"[u'Minnesota, United States', u'Minneapolis-St. Paul-Bloomington, United States']",Minnesota Geospatial Commons,28268148-a280-449c-a7e6-d5bb2d0a6e53,,
Mixed,2017-01-23T14:19:58Z,"ENVELOPE(-94.012, -92.732, 45.415, 44.471)","{""http://schema.org/url"":""https://gisdata.mn.gov/dataset/us-mn-state-metc-trans-transit-centers"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://gis2.metc.state.mn.us/arcgis/rest/services/MetroGIS/Transportation/MapServer/11"",""http://schema.org/downloadUrl"":""ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transit_centers/shp_trans_transit_centers.zip""}",Public,b19bd375-a7a1-483b-9319-b821f7954116,,[u'Transportation'],"The Metropolitan Council Transporation Policy plan defines a transit center as: A transit stop or station at the meeting point of several routes or lines or of different modes of transportation. It is located on or off the street and is designed to handle the movement of transit units (vehicles or trains) and the boarding, alighting, and transferring of passengers between routes or lines (in which case it is also known as a transfer center) or different modes (also known as a modal interchange center, intermodal transfer facility or an hub). The TransitCenters dataset includes all ACTIVE and INACTIVE locations identified by Metropolitan Council's Transportation Policy Plan, mapped on the Regional System Map, identified in a memo, NTD reporting or included in facilities managment. Field attributes include sources where these facilities were identified as Transit Centers. Some locations have additional facilities such as shelters, park and rides and rail stations. In many cases these are places where: 1. Two or more routes connect to transfer passengers 2. Buses connect off street, or in clearly designated on-street spaces 3. There are multiple marked 'gates' for different routes and directions 4. The location serves a major activity center, such as a shopping center. 5. There is a standing facility or, in some cases, a collection of bus shelters",2012-09-23,2012,[u'Metropolitan Council - Metro Transit'],b19bd375-a7a1-483b-9319-b821f7954116,,44.471 -94.012 45.415 -94.012 45.415 -92.732 44.471 -92.732 44.471 -94.012,2012,[u'Metropolitan Council'],,44.471 -94.012 45.415 -92.732,"Transit Centers: Twin Cities Metro, Minnesota, 2012",Shapefile,"[u'Minnesota, United States', u'Minneapolis-St. Paul-Bloomington, United States']",Minnesota Geospatial Commons,b19bd375-a7a1-483b-9319-b821f7954116,,
Mixed,2017-01-20T18:39:00Z,"ENVELOPE(-94.012, -92.732, 45.415, 44.471)","{""http://schema.org/url"":""https://gisdata.mn.gov/dataset/us-mn-state-metc-trans-regional-bike-trans-netwrk"",""http://schema.org/downloadUrl"":""ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_regional_bike_trans_netwrk/shp_trans_regional_bike_trans_netwrk.zip""}",Public,3b19bda4-8dac-4651-b5e1-4a9cde668939,,"[u'Transportation', u'Transportation policy', u'Bicycles']",The Regional Bicycle Transportation Network (RBTN) dataset was created by the Metropolitan Council for the 2040 Transportation Policy Plan (TPP). The RBTN is represented by two map layers including alignments and corridors. Alignments represent existing or proposed bicycle paths and bike corridors represent areas where bicycle path alignments are yet to be determined. Both corridor and alignment layers can be classified into tiers. Tier 1 Alignments/Corridors have higher priorities than Tier 2 Alignments/Corridors.,2015-08-19,2015,[u'Metropolitan Transportation Services - Metropolitan Council'],3b19bda4-8dac-4651-b5e1-4a9cde668939,,44.471 -94.012 45.415 -94.012 45.415 -92.732 44.471 -92.732 44.471 -94.012,2015,[u'Metropolitan Council'],,44.471 -94.012 45.415 -92.732,"Regional Bicycle Transportation Network (Alignments and Corridors): Twin Cities Metro, Minnesota, 2015",Shapefile,"[u'Minnesota, United States', u'Minneapolis-St. Paul-Bloomington, United States']",Minnesota Geospatial Commons,3b19bda4-8dac-4651-b5e1-4a9cde668939,,
Mixed,2017-01-20T18:40:28Z,"ENVELOPE(-94.012, -92.732, 45.415, 44.471)","{""http://schema.org/url"":""https://gisdata.mn.gov/dataset/us-mn-state-metc-trans-transitway-inc-rev-sch2040"",""http://schema.org/downloadUrl"":""ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transitway_inc_rev_sch2040/shp_trans_transitway_inc_rev_sch2040.zip""}",Public,f4ae7eac-d5eb-4da7-a733-13ceecf2fc61,,"[u'Transportation', u'Bus', u'Transportation', u'Commuter traffic', u'Rapid transit train']","The Increased Revenue Scenario Transitways data set was developed as part of the 2040 Transportation Policy Plan, published in Jan 2015. (see http://metrocouncil.org/tpp-update) This data can be seen on maps in the plan Figure 8 and Figure 6-9 More info about how this data were developed can be found in Chapter 6: Transit Investment Direction and Plan. (http://metrocouncil.org/Transportation/Planning-2/Key-Transportation-Planning-Documents/Transportation-Policy-Plan-(1)/The-Adopted-2040-TPP-(1)/Final-2040-Transportation-Policy-Plan/2040-TPP-Chapter-6-Transit-Investment-Direction-an.aspx) This data are for planning purposes and should be used at a regional level. Actual corridor alignment is still being developed. Data subject to any amendments of the TPP. Please use the layer file provided to symbolize this data. The data determinations were made on a subjective basis by managers at Metropolitan Transportation Services and Metro Transit.",2015-01-27,2016,[u'Metropolitan Transportation Services - Metropolitan Council'],f4ae7eac-d5eb-4da7-a733-13ceecf2fc61,,44.471 -94.012 45.415 -94.012 45.415 -92.732 44.471 -92.732 44.471 -94.012,2016,[u'Metropolitan Council'],,44.471 -94.012 45.415 -92.732,"Transitways: 2040 Increased Revenue Scenario: Twin Cities Metro, Minnesota, 2016",Shapefile,"[u'Minnesota, United States', u'Minneapolis-St. Paul-Bloomington, United States']",Minnesota Geospatial Commons,f4ae7eac-d5eb-4da7-a733-13ceecf2fc61,,
Mixed,2017-01-20T18:39:59Z,"ENVELOPE(-96.833072, -89.397127, 49.348368, 43.435392)","{""http://schema.org/url"":""https://gisdata.mn.gov/dataset/bdry-dnr-admin-regions"",""http://schema.org/downloadUrl"":""ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/bdry_dnr_admin_regions/shp_bdry_dnr_admin_regions.zip""}",Public,27a5df16-969f-4524-acaf-5020391fd569,,[u'Boundaries'],Restructured DNR Regions as announced in the Commissioner's NRegional RestructuringN memo to DNR staff dated 5/1/2002.,2002-05-01T05:00:00.000Z,2002,[u'Minnesota Department of Natural Resources (DNR)'],27a5df16-969f-4524-acaf-5020391fd569,,43.435392 -96.833072 49.348368 -96.833072 49.348368 -89.397127 43.435392 -89.397127 43.435392 -96.833072,2002,[u'Minnesota Department of Natural Resources'],,43.435392 -96.833072 49.348368 -89.397127,"Regions, Department of Natural Resources: Minnesota, 2002",Shapefile,"[u'Minnesota, United States']",Minnesota Geospatial Commons,27a5df16-969f-4524-acaf-5020391fd569,,
Mixed,2017-01-20T18:39:46Z,"ENVELOPE(-97.23, -89.53, 49.37, 43.5)","{""http://schema.org/url"":""https://gisdata.mn.gov/dataset/bdry-natural-area-registry"",""http://schema.org/downloadUrl"":""ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/bdry_natural_area_registry/shp_bdry_natural_area_registry.zip""}",Public,ad30b028-5839-48c3-89fb-abde37ae470f,,[u'Boundaries'],"Natural Area Registry (NAR) Sites layer version supporting SNA Work Planning application. natural_area-registry-sites_boundaries: A polygon database delineated on and digitized from 1:24,000 U.S.G.S. quad maps of Minnesota Natural Area Registry (NARs). (The following text is partially excerpted from: Scientific and Natural Area (SNA) Program Administrative Handbook, Draft EWR Divisional Directive 103, Natural Area Registry, MN DNR, Scientific and Natural Areas Program.) A Natural Area Registry (NAR) Site is a qualifying natural area managed by a government entity (a unit of the federal, state, or local government, (identified as NLandownerN, or another Division within DNR, identified as NPrimary AdministratorN) that is covered by a NAR Agreement by which the site becomes part of the Natural Area Registry. Sites in this program are managed by various public agencies with management recommendations provided by the Scientific and Natural Areas program and Regional Ecologist. NARs are established through the use of Natural Area Registry (NAR) Agreements which are non-binding written agreements between the Division of Ecological and Water Resources (EWR) and another governmental entity. The NAR Agreement identifies the site, explains its significance, describes a proposed management direction, and states that before any management contrary to that direction may occur, the parties who signed the agreement will discuss that proposed management activity. Note: formerly a NMemorandum of UnderstandingN (MOU) was the vehicle used as the NAR agreement and in many documents, preceding development of this Directive, these terms were used interchangeably. The Minnesota Department of Natural Resources (DNR) Natural Areas Registry is intended to recognize tracts of public land that contain natural features of statewide ecological significance and possess exceptional scientific or educational value. NARs recognize the agencies and individuals that manage these lands to protect and perpetuate the features of interest. Minnesota Statute 86A.05, Subd. 5 states that the Minnesota Scientific and Natural Areas Program was Nestablished to protect and perpetuate in an undisturbed natural state those natural features which possess exceptional scientific or educational value.N This Registry acknowledges that many of Minnesota's finest natural areas occur on other public lands that are not designated as SNAs. Through adoption of ecologically-based management principles and voluntary coordination between the land manager and the SNA Program, Registry sites protect a broader cross section of the state's natural diversity. Tracts of public land that contain viable examples of natural features of statewide ecological significance may be identified as NAR candidate sites. Qualifying sites are selected based upon Landowner/Primary Administrator interest and on the site's ecological quality. Priority is given to sites that are within MCBS-mapped outstanding and high biodiversity significance sites, are predominantly MCBS-mapped native plant communities, and contain habitat for rare species and Species of Greatest Conservation Need (SGCN), or geological features of statewide significance. Sites nominated for potential NAR registration are reviewed using information compiled in an Ecological Evaluation (EE) or brief written summary of natural features, to determine if the site qualifies for NAR and if protection through NAR is acceptable to all parties. The Natural Areas Registry was established in the early 1980s within the DNR Section of Wildlife's Natural Heritage Program, in order to recognize public lands which contain natural features of special interest and to facilitate their protection and perpetuation. The Registry was modeled after The Nature Conservancy's Private Lands Register, which is no longer in existence. A number of other states (and international governmental entities) have a Natural Area Registry or Natural Area Register, which may supplement or be in lieu of a system of designated Natural Areas. In 1986, the administration of the Registry, with 26 NAR sites, was transferred from the Natural Heritage Program to the SNA Program. Both programs were within the DNR Section of Wildlife at the time. The first NAR site established was the Soudan Iron Formation at Tower Soudan State Park, February 1982. From the inception of the Natural Area Registry in 1982 through April 2014, there are 41 sites in the Registry. Note: through 2011 the NAR has been referred to as both Natural Area Register and Natural Area Registry, with adoption of this directive, the name Natural Area Registry will consistency be used in all future NAR Agreements, and if/when updated, previous agreements will be changed to use this naming convention. This Representation SNA boundaries is based on the NAR_BASE_DATA feature class in the DNR's core GIS Library. It includes only DEDICATED features, which are dissolved on the following attributes: SITENAME, SITE_ID, BREMCODE. The coverage should be reasonably accurate although the boundaries probably will not line up with other public land survey information. Some of the boundaries for NAR sites have been created by DNR and other partner staff, and are often sub units within a larger unit. Since the NAR boundaries have no legal standing, the accuracy of boundaries vary from site to site, but are typically reasonable approximations of the NAR site boundary.",2014-07-24,2014,"[u'Minnesota Department of Natural Resources (DNR) - Division of Ecological and Water Resources, Scientific & Natural Areas (SNA) Program']",ad30b028-5839-48c3-89fb-abde37ae470f,,43.5 -97.23 49.37 -97.23 49.37 -89.53 43.5 -89.53 43.5 -97.23,2014,[u'Minnesota Department of Natural Resources'],,43.5 -97.23 49.37 -89.53,"Natural Area Registry: Minnesota, 2014",Shapefile,"[u'Minnesota, United States']",Minnesota Geospatial Commons,ad30b028-5839-48c3-89fb-abde37ae470f,,
Polygon,2017-07-18T02:16:27Z,"ENVELOPE(-93.228202, -92.982974, 45.124277, 44.890922)","{""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/7b/a2/ab/0b88254ac1b6bdf43292aa30f3/iso19139.xml""}",Public,7ba2ab0b-8825-4ac1-b6bd-f43292aa30f3,Minnesota,"[u'Boundaries', u'Boundaries', u'Commissioner districts', u'County commissioners', u'Political boundaries']",This feature class contains polygons that represent Ramsey County commissioner districts as of the redistricting process following the 2010 census.,2016-06-06,2016-,[u'Ramsey County'],7ba2ab0b-8825-4ac1-b6bd-f43292aa30f3,,44.890922 -93.228202 45.124277 -93.228202 45.124277 -92.982974 44.890922 -92.982974 44.890922 -93.228202,2016,[u'Ramsey County Enterprise GIS'],bdry_commissionerdist2012,44.890922 -93.228202 45.124277 -92.982974,"Commissioner Districts: Ramsey County, Minnesota",Feature Class,"[u'Minnesota, United States', u'Ramsey County, Minnesota, United States']",Minnesota Geospatial Commons,7ba2ab0b-8825-4ac1-b6bd-f43292aa30f3,Dataset,72fc1a8b-ba05-4f7c-bdbf-a28034e4a696
Mixed,2017-01-20T18:39:23Z,"ENVELOPE(-97.23, -89.53, 49.37, 43.5)","{""http://schema.org/url"":""https://gisdata.mn.gov/dataset/loc-water-access-sites"",""http://schema.org/downloadUrl"":""ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_dnr/loc_water_access_sites/shp_loc_water_access_sites.zip""}",Public,538734cb-7335-4551-ae3b-7b654453e9a8,,[u'Inland Waters'],This geodatabase contains authoritative GIS data for MNDNR Parks and Trails-administered public water access sites. It also contains information about free public water access sites administered by other organizations. This geodatabase was derived from the master data within the Parks and Trails Enterprise Information System. This information was validated and deemed current and authoritative in January 2014 and is updated on an as-needed basis as determined by the subject matter expert.,2014-09-23,2014,[u'Minnesota Department of Natural Resources (MNDNR)'],538734cb-7335-4551-ae3b-7b654453e9a8,,43.5 -97.23 49.37 -97.23 49.37 -89.53 43.5 -89.53 43.5 -97.23,2014,[u'Minnesota Department of Natural Resources'],,43.5 -97.23 49.37 -89.53,"Public Water Access Sites in: Minnesota, 2014",Shapefile,"[u'Minnesota, United States']",Minnesota Geospatial Commons,538734cb-7335-4551-ae3b-7b654453e9a8,,
