layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Mixed,2017-05-17T16:49:49Z,"ENVELOPE(-93.909959, -93.277945, 44.812687, 44.543096)","{""http://schema.org/downloadUrl"":""http://opendata.gis.co.scott.mn.us/datasets/d6dbbc3918d34a4e8ca2a7599cbafd07_0.zip"",""http://schema.org/url"":""http://opendata.gis.co.scott.mn.us/datasets/d6dbbc3918d34a4e8ca2a7599cbafd07_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/ca/fd/5a/6145904da7933719eff976ce9c/iso19139.xml""}",Public,cafd5a61-4590-4da7-9337-19eff976ce9c,Minnesota,[u'Planning and Cadastral'],"2030 Comprehensive Landuse Plan for Scott County. For more information, please visit Scott County's 2030 Comprehensive Plan Implementation webpage. Zoning data falls into 1 of 12 categories:A-1 = Agricultural Preservation DistrictA-2 = Agricultural Woodlands DistrictA-3 = Agricultural Preservation Density DistrictC-1 = General Commercial DistrictI-1 = Rural Industrial DistrictRR-1 = Rural Residential Reserve DistrictRR-1C = Rural Residential Reserve Cluster DistrictRR-2 = Rural Residential Single Family DistrictRR-3 = Residential Suburban Single Family DistrictUBR = Urban Business Reserve DistrictUER = Urban Expansion Reserve DistrictUERC = Urban Expansion Reserve Cluster DistrictUTR = Urban Transition Reserve DistrictUTR-C = Urban Transition Reserve Cluster District",,2016-2017,"[u'Scott County, Minnesota']",cafd5a61-4590-4da7-9337-19eff976ce9c,,44.543096 -93.909959 44.812687 -93.909959 44.812687 -93.277945 44.543096 -93.277945 44.543096 -93.909959,2016,,cafd5a61-4590-4da7-9337-19eff976ce9c,44.543096 -93.909959 44.812687 -93.277945,"Comprehensive Landuse 2030 : Scott County, Minnesota",Shapefile,"[u'Scott County, Minnesota']",Scott County Open Data,cafd5a61-4590-4da7-9337-19eff976ce9c,Dataset,
Point,2017-05-17T16:49:09Z,"ENVELOPE(-93.910497, -93.277749, 44.813235, 44.54267)","{""http://schema.org/downloadUrl"":""http://opendata.gis.co.scott.mn.us/datasets/a8eb3e26bfe546fcb97e6be8b64e2cfb_0.zip"",""http://schema.org/url"":""http://opendata.gis.co.scott.mn.us/datasets/a8eb3e26bfe546fcb97e6be8b64e2cfb_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/64/07/7e/babfa945318f50f8d4d92f3700/iso19139.xml""}",Public,64077eba-bfa9-4531-8f50-f8d4d92f3700,Minnesota,[u'Environment'],Wooded Areas within Scott County. This planimetric data was collected in 2003. ,,2015-2016,"[u'Scott County, Minnesota']",64077eba-bfa9-4531-8f50-f8d4d92f3700,,44.54267 -93.910497 44.813235 -93.910497 44.813235 -93.277749 44.54267 -93.277749 44.54267 -93.910497,2015,,64077eba-bfa9-4531-8f50-f8d4d92f3700,44.54267 -93.910497 44.813235 -93.277749,"Wooded Areas: Scott County, Minnesota",Shapefile,"[u'Scott County, Minnesota']",Scott County Open Data,64077eba-bfa9-4531-8f50-f8d4d92f3700,Dataset,
Mixed,2017-05-17T16:48:17Z,"ENVELOPE(-93.853742, -93.291948, 44.803004, 44.541719)","{""http://schema.org/downloadUrl"":""http://opendata.gis.co.scott.mn.us/datasets/161bc4df2d0b4800b98459424bacbd29_0.zip"",""http://schema.org/url"":""http://opendata.gis.co.scott.mn.us/datasets/161bc4df2d0b4800b98459424bacbd29_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/e0/dd/e7/ee8c2c4a7d97e14c4b182ccd70/iso19139.xml""}",Public,e0dde7ee-8c2c-4a7d-97e1-4c4b182ccd70,Minnesota,[u'Economy'],Points of Interest,,2016-2017,"[u'Scott County, Minnesota']",e0dde7ee-8c2c-4a7d-97e1-4c4b182ccd70,,44.541719 -93.853742 44.803004 -93.853742 44.803004 -93.291948 44.541719 -93.291948 44.541719 -93.853742,2016,,e0dde7ee-8c2c-4a7d-97e1-4c4b182ccd70,44.541719 -93.853742 44.803004 -93.291948,"Points of Interest: Scott County, Minnesota",Shapefile,"[u'Scott County, Minnesota']",Scott County Open Data,e0dde7ee-8c2c-4a7d-97e1-4c4b182ccd70,Dataset,
Mixed,2017-05-17T16:50:33Z,"ENVELOPE(-93.909959, -93.277945, 44.79943, 44.543095)","{""http://schema.org/downloadUrl"":""http://opendata.gis.co.scott.mn.us/datasets/10fd1abde8da48f3901ec03abadc4379_0.zip"",""http://schema.org/url"":""http://opendata.gis.co.scott.mn.us/datasets/10fd1abde8da48f3901ec03abadc4379_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/5b/9a/4b/58fff04672b3ac1007f08c692a/iso19139.xml""}",Public,5b9a4b58-fff0-4672-b3ac-1007f08c692a,Minnesota,[u'Planning and Cadastral'],Scott County Zoning. Zoning data falls into 1 of 12 categories: A-1 = Agricultural Preservation District A-2 = Agricultural Woodlands District A-3 = Agricultural Preservation Density District C-1 = General Commercial District I-1 = Rural Industrial District RR-1 = Rural Residential Reserve District RR-1C = Rural Residential Reserve Cluster District RR-2 = Rural Residential Single Family District RR-3 = Residential Suburban Single Family District UBR = Urban Business Reserve District UER = Urban Expansion Reserve District UERC = Urban Expansion Reserve Cluster District UTR = Urban Transition Reserve District UTR-C = Urban Transition Reserve Cluster District,,2016,"[u'Scott County, Minnesota']",5b9a4b58-fff0-4672-b3ac-1007f08c692a,,44.543095 -93.909959 44.79943 -93.909959 44.79943 -93.277945 44.543095 -93.277945 44.543095 -93.909959,2016,,5b9a4b58-fff0-4672-b3ac-1007f08c692a,44.543095 -93.909959 44.79943 -93.277945,"Zoning: Scott County, Minnesota",Shapefile,"[u'Scott County, Minnesota']",Scott County Open Data,5b9a4b58-fff0-4672-b3ac-1007f08c692a,Dataset,
Mixed,2017-05-17T16:51:36Z,"ENVELOPE(-93.770186, -93.332081, 44.801259, 44.542001)","{""http://schema.org/downloadUrl"":""http://opendata.gis.co.scott.mn.us/datasets/a692e5dc21dd4f1c9115b2ea50cdecfe_0.zip"",""http://schema.org/url"":""http://opendata.gis.co.scott.mn.us/datasets/a692e5dc21dd4f1c9115b2ea50cdecfe_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/1e/7f/92/35b8e24539bc26574c96d2b5de/iso19139.xml""}",Public,1e7f9235-b8e2-4539-bc26-574c96d2b5de,Minnesota,[u'Society'],"Food Resources within Scott County. Locations include community gardens, farmers markets, food programs, food shelves, and grocery stores.",,2016-2017,"[u'Scott County, Minnesota']",1e7f9235-b8e2-4539-bc26-574c96d2b5de,,44.542001 -93.770186 44.801259 -93.770186 44.801259 -93.332081 44.542001 -93.332081 44.542001 -93.770186,2016,,1e7f9235-b8e2-4539-bc26-574c96d2b5de,44.542001 -93.770186 44.801259 -93.332081,"Food Resources: Scott County, Minnesota",Shapefile,"[u'Scott County, Minnesota']",Scott County Open Data,1e7f9235-b8e2-4539-bc26-574c96d2b5de,Dataset,
Mixed,2017-05-17T16:51:19Z,"ENVELOPE(-93.890974, -93.278192, 44.804248, 44.543089)","{""http://schema.org/downloadUrl"":""http://opendata.gis.co.scott.mn.us/datasets/970cd4d72c384086948f385d2980482f_0.zip"",""http://schema.org/url"":""http://opendata.gis.co.scott.mn.us/datasets/970cd4d72c384086948f385d2980482f_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/98/24/40/a5e3e14c669de4e7cf4b6cbc51/iso19139.xml""}",Public,982440a5-e3e1-4c66-9de4-e7cf4b6cbc51,Minnesota,[u'Transportation'],Driveways within Scott County. This planimetric data was collected in 2003.,,2015-2016,"[u'Scott County, Minnesota']",982440a5-e3e1-4c66-9de4-e7cf4b6cbc51,,44.543089 -93.890974 44.804248 -93.890974 44.804248 -93.278192 44.543089 -93.278192 44.543089 -93.890974,2015,,982440a5-e3e1-4c66-9de4-e7cf4b6cbc51,44.543089 -93.890974 44.804248 -93.278192,"Driveways: Scott County, Minnesota",Shapefile,"[u'Scott County, Minnesota']",Scott County Open Data,982440a5-e3e1-4c66-9de4-e7cf4b6cbc51,Dataset,
Mixed,2017-05-17T16:51:13Z,"ENVELOPE(-93.911716, -93.277945, 44.813254, 44.543049)","{""http://schema.org/downloadUrl"":""http://opendata.gis.co.scott.mn.us/datasets/37f21c77ff0042f2857c85a7b29c02bb_0.zip"",""http://schema.org/url"":""http://opendata.gis.co.scott.mn.us/datasets/37f21c77ff0042f2857c85a7b29c02bb_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/b6/40/b9/af8c794177b0a6039bb916d726/iso19139.xml""}",Public,b640b9af-8c79-4177-b0a6-039bb916d726,Minnesota,[u'Boundaries'],2012 Scott County Commissioner Districts. Updated and approved by Scott County Board as of May 2012 and developed by the Redistricting Committee.,,2016-2017,"[u'Scott County, Minnesota']",b640b9af-8c79-4177-b0a6-039bb916d726,,44.543049 -93.911716 44.813254 -93.911716 44.813254 -93.277945 44.543049 -93.277945 44.543049 -93.911716,2016,,b640b9af-8c79-4177-b0a6-039bb916d726,44.543049 -93.911716 44.813254 -93.277945,"Commissioner Districts: Scott County, Minnesota",Shapefile,"[u'Scott County, Minnesota']",Scott County Open Data,b640b9af-8c79-4177-b0a6-039bb916d726,Dataset,
Mixed,2017-05-17T16:49:27Z,"ENVELOPE(-93.891614, -93.327982, 44.802693, 44.542914)","{""http://schema.org/downloadUrl"":""http://opendata.gis.co.scott.mn.us/datasets/9077b99e6fbf4bba9e2db4a6d2594512_0.zip"",""http://schema.org/url"":""http://opendata.gis.co.scott.mn.us/datasets/9077b99e6fbf4bba9e2db4a6d2594512_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/a4/27/c7/3c42804e7a98a828fabad0c4b9/iso19139.xml""}",Public,a427c73c-4280-4e7a-98a8-28fabad0c4b9,Minnesota,[u'Transportation'],Railroads within Scott County. This planimetric data was collected in 2003.,,2015-2016,"[u'Scott County, Minnesota']",a427c73c-4280-4e7a-98a8-28fabad0c4b9,,44.542914 -93.891614 44.802693 -93.891614 44.802693 -93.327982 44.542914 -93.327982 44.542914 -93.891614,2015,,a427c73c-4280-4e7a-98a8-28fabad0c4b9,44.542914 -93.891614 44.802693 -93.327982,"Railroads: Scott County, Minnesota",Shapefile,"[u'Scott County, Minnesota']",Scott County Open Data,a427c73c-4280-4e7a-98a8-28fabad0c4b9,Dataset,
Point,2017-05-17T16:49:42Z,"ENVELOPE(-93.77996, -93.32939, 44.801749, 44.61649)","{""http://schema.org/downloadUrl"":""http://opendata.gis.co.scott.mn.us/datasets/0f1a8204a0fe4f4c849afd7ff715c175_0.zip"",""http://schema.org/url"":""http://opendata.gis.co.scott.mn.us/datasets/0f1a8204a0fe4f4c849afd7ff715c175_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/9c/9d/2c/df97464c1992efb66976772e1b/iso19139.xml""}",Public,9c9d2cdf-9746-4c19-92ef-b66976772e1b,Minnesota,[u'Structure'],Smoke free public housing within Scott County. Locations include smoke free apartments and townhomes.,,2016-2017,"[u'Scott County, Minnesota']",9c9d2cdf-9746-4c19-92ef-b66976772e1b,,44.61649 -93.77996 44.801749 -93.77996 44.801749 -93.32939 44.61649 -93.32939 44.61649 -93.77996,2016,,9c9d2cdf-9746-4c19-92ef-b66976772e1b,44.61649 -93.77996 44.801749 -93.32939,"Smoke Free Public Housing: Scott County, Minnesota",Shapefile,"[u'Scott County, Minnesota']",Scott County Open Data,9c9d2cdf-9746-4c19-92ef-b66976772e1b,Dataset,
Point,2017-05-17T16:49:56Z,"ENVELOPE(-93.888392, -93.277758, 44.804896, 44.543768)","{""http://schema.org/downloadUrl"":""http://opendata.gis.co.scott.mn.us/datasets/db2bcaf7727f44f18b4c81baf4491510_0.zip"",""http://schema.org/url"":""http://opendata.gis.co.scott.mn.us/datasets/db2bcaf7727f44f18b4c81baf4491510_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/6b/86/b9/22b8784fde834fc3091f85899f/iso19139.xml""}",Public,6b86b922-b878-4fde-834f-c3091f85899f,Minnesota,[u'Inland Waters'],Swamps within Scott County. This planimetric data was collected in 2003. ,,2015-2016,"[u'Scott County, Minnesota']",6b86b922-b878-4fde-834f-c3091f85899f,,44.543768 -93.888392 44.804896 -93.888392 44.804896 -93.277758 44.543768 -93.277758 44.543768 -93.888392,2015,,6b86b922-b878-4fde-834f-c3091f85899f,44.543768 -93.888392 44.804896 -93.277758,"Swamps: Scott County, Minnesota",Shapefile,"[u'Scott County, Minnesota']",Scott County Open Data,6b86b922-b878-4fde-834f-c3091f85899f,Dataset,
