layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Mixed,2016-12-30T13:41:50Z,"ENVELOPE(-93.142176, -92.645306, 45.730939, 45.295519)","{""http://schema.org/downloadUrl"":""https://gis.chisagocounty.us/Link/SpatialData/Sections.zip"",""http://schema.org/url"":""http://gis.chisagocounty.us/Link/jsfe/index.aspx"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/c3/e1/dd/a476ae41989df81f93fa6e0d3d/iso19139.xml""}",Public,c3e1dda4-76ae-4198-9df8-1f93fa6e0d3d,Minnesota,[u'Planning and Cadastral'],Chisago County section boundaries,2015,2015,[u'Chisago County'],c3e1dda4-76ae-4198-9df8-1f93fa6e0d3d,,45.295519 -93.142176 45.730939 -93.142176 45.730939 -92.645306 45.295519 -92.645306 45.295519 -93.142176,2015,[u'Chisago County'],c3e1dda4-76ae-4198-9df8-1f93fa6e0d3d,45.295519 -93.142176 45.730939 -92.645306,"Sections: Chisago County, Minnesota, 2015",Shapefile,"[u'Chisago County, Minnesota, United States', u'Minnesota, United States']",Chisago County GIS Data,c3e1dda4-76ae-4198-9df8-1f93fa6e0d3d,Dataset,
Mixed,2016-12-30T13:41:51Z,"ENVELOPE(-93.51288, -93.264132, 45.414007, 45.034986)","{""http://schema.org/downloadUrl"":""ftp://gisdata.co.anoka.mn.us/Railroad.zip"",""http://schema.org/url"":""https://www.anokacounty.us/1990/Data-Downloads"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/2a/34/90/8d87174348b5d1227029d03e38/iso19139.xml""}",Public,2a34908d-8717-4348-b5d1-227029d03e38,Minnesota,"[u'Transportation', u'Economy', u'Structure']",Anoka County railroads,2015-07-26,2015-,[u'Anoka County'],2a34908d-8717-4348-b5d1-227029d03e38,,45.034986 -93.51288 45.414007 -93.51288 45.414007 -93.264132 45.034986 -93.264132 45.034986 -93.51288,2015,[u'Anoka County'],2a34908d-8717-4348-b5d1-227029d03e38,45.034986 -93.51288 45.414007 -93.264132,"Railroad: Anoka County, Minnesota",Shapefile,"[u'Anoka County, Minnesota, United States', u'Minnesota, United States']",Anoka County GIS Data,2a34908d-8717-4348-b5d1-227029d03e38,Dataset,
Mixed,2016-12-30T13:41:40Z,"ENVELOPE(-95.14, -94.05, 45.78, 45.28)","{""http://schema.org/url"":""http://www.co.stearns.mn.us/PropertyRoads/GISDataforDownload"",""http://schema.org/downloadUrl"":""ftp://207.171.83.232/GIS/stockpile_soils.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/71/60/ec/0c8a1b4292b35de182eb0cedae/iso19139.xml""}",Public,7160ec0c-8a1b-4292-b35d-e182eb0cedae,Minnesota,"[u'Environment', u'Geoscientific Information', u'Manure', u'Soils']",Stockpile soils is an custom attributed version of the SSURGO soil polygon layer (spatial version 5) created by the USDA/NRCS. See the soils_ssurgo metadata file for the complete document created by NRCS for Stearns County.,2015-08-28,2015-2016,[u'Stearns County - Environmental Services Department'],7160ec0c-8a1b-4292-b35d-e182eb0cedae,,45.28 -95.14 45.78 -95.14 45.78 -94.05 45.28 -94.05 45.28 -95.14,2015,[u'Stearns County - Environmental Services Department'],7160ec0c-8a1b-4292-b35d-e182eb0cedae,45.28 -95.14 45.78 -94.05,"Stockpile Soil: Stearns County, Minnesota, 2016",Shapefile,"[u'Stearns County, Minnesota, United States', u'Minnesota, United States']",Stearns County GIS Data,7160ec0c-8a1b-4292-b35d-e182eb0cedae,Dataset,
Mixed,2016-12-30T13:42:38Z,"ENVELOPE(-96.18644, -95.160211, 47.124013, 46.720103)","{""http://schema.org/url"":""http://www.co.becker.mn.us/online_services/GIS_data.aspx"",""http://schema.org/downloadUrl"":""http://gis-server.co.becker.mn.us/data/gis/shapefiles/lots.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/aa/db/55/b76f73460a8d9b88875ceea01a/iso19139.xml""}",Public,aadb55b7-6f73-460a-8d9b-88875ceea01a,Minnesota,[u'Planning and Cadastral'],"Shapefile of lots in Becker County, Minnesota",2016-08-05,2016-,"[u'Becker County, Minnesota']",aadb55b7-6f73-460a-8d9b-88875ceea01a,,46.720103 -96.18644 47.124013 -96.18644 47.124013 -95.160211 46.720103 -95.160211 46.720103 -96.18644,2016,"[u'Becker County, Minnesota']",aadb55b7-6f73-460a-8d9b-88875ceea01a,46.720103 -96.18644 47.124013 -95.160211,"Lots: Becker County, Minnesota, 2016",Shapefile,"[u'Becker County, Minnesota, United States', u'Minnesota, United States']",Becker County GIS Data,aadb55b7-6f73-460a-8d9b-88875ceea01a,Dataset,
Point,2016-12-30T13:41:12Z,"ENVELOPE(-93.2278, -92.9841, 45.1246, 44.9914)","{""http://schema.org/downloadUrl"":""http://openramsey.ramseygis.opendata.arcgis.com/datasets/0782c58466f445fb9c8bd84f0e26944a_8.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/89/5b/4e/ddbe47489f8f5b8f7fc68e3e72/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.co.ramsey.mn.us/arcgis/rest/services/OpenData/OpenData_All/MapServer/8"",""http://schema.org/url"":""http://openramsey.ramseygis.opendata.arcgis.com/datasets/0782c58466f445fb9c8bd84f0e26944a_8""}",Public,895b4edd-be47-489f-8f5b-8f7fc68e3e72,Minnesota,[u'Planning and Cadastral'],"Benchmarks are relatively permanent objects having a marked point, whose elevation above or below an adopted datum, is known or assumed. Vertical control is a series of bench marks or other points of known elevation established throughout an area.",2014-12-02T17:16:23Z,2014,[u'Map Portal'],895b4edd-be47-489f-8f5b-8f7fc68e3e72,,44.9914 -93.2278 45.1246 -93.2278 45.1246 -92.9841 44.9914 -92.9841 44.9914 -93.2278,2014,[u'OpenRamsey'],895b4edd-be47-489f-8f5b-8f7fc68e3e72,44.9914 -93.2278 45.1246 -92.9841,"Benchmarks: Ramsey County, Minnesota",Shapefile,"[u'Ramsey County, Minnesota, United States', u'Minnesota, United States']",Open Ramsey County,895b4edd-be47-489f-8f5b-8f7fc68e3e72,Dataset,
Polygon,2016-12-30T13:42:10Z,"ENVELOPE(-93.5263, -93.1935, 45.2124, 44.7843)","{""http://schema.org/downloadUrl"":""http://gis.hennepin.opendata.arcgis.com/datasets/90b2cef147c94a3f9fc0011aae0fa39c_11.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/99/15/a6/2428814809a5887e7375844f1d/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://gis.hennepin.us/arcgis/rest/services/HennepinData/BOUNDARIES/MapServer/11"",""http://schema.org/url"":""http://gis.hennepin.opendata.arcgis.com/datasets/90b2cef147c94a3f9fc0011aae0fa39c_11""}",Public,9915a624-2881-4809-a588-7e7375844f1d,Minnesota,[u'Boundaries'],"This dataset contains the boundaries of Voting Wards in Hennepin County where municipalities choose to use them. Based upon 2012 redistricting, some cities use wards to break down their election districts, then break down further to precincts within those wards. The fields MUNIC_NAME and WARD contain the name of each Ward. Link to Attribute Table Information: http://gis.hennepin.us/OpenData/Metadata/Ward%20Districts.pdf Data updated: monthly Use Limitations: This data (i) is furnished 'AS IS' with no representation as to completeness or accuracy; (ii) is furnished with no warranty of any kind; and (iii) is not suitable for legal, engineering or surveying purposes. Hennepin County shall not be liable for any damage, injury or loss resulting from this data. General questions about this dataset, including errors, omissions, corrections and/or updates should be directed to the Survey Division, Resident and Real Estate Services Department, Hennepin County at 612-348-3131.",2015-09-12T18:16:12Z,2015,[u'Hennepin County'],9915a624-2881-4809-a588-7e7375844f1d,,44.7843 -93.5263 45.2124 -93.5263 45.2124 -93.1935 44.7843 -93.1935 44.7843 -93.5263,2015,[u'Hennepin County'],9915a624-2881-4809-a588-7e7375844f1d,44.7843 -93.5263 45.2124 -93.1935,"Ward Districts: Hennepin County, Minnesota, 2012",Shapefile,"[u'Hennepin County, Minnesota, United States', u'Minnesota, United States']",Hennepin County Open Data,9915a624-2881-4809-a588-7e7375844f1d,Dataset,
Mixed,2016-12-30T13:41:27Z,"ENVELOPE(-93.513402, -93.018369, 45.41481, 45.0352)","{""http://schema.org/downloadUrl"":""ftp://gisdata.co.anoka.mn.us/Watershed_Districts.zip"",""http://schema.org/url"":""https://www.anokacounty.us/1990/Data-Downloads"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/67/f9/e9/bc6e5a41edbf0bc7afca2392fd/iso19139.xml""}",Public,67f9e9bc-6e5a-41ed-bf0b-c7afca2392fd,Minnesota,"[u'Inland Waters', u'Environment', u'Boundaries']",Watershed districts of Anoka County,2015-07-27,2015-,[u'Anoka County'],67f9e9bc-6e5a-41ed-bf0b-c7afca2392fd,,45.0352 -93.513402 45.41481 -93.513402 45.41481 -93.018369 45.0352 -93.018369 45.0352 -93.513402,2015,[u'Anoka County'],67f9e9bc-6e5a-41ed-bf0b-c7afca2392fd,45.0352 -93.513402 45.41481 -93.018369,"Watershed Districts: Anoka County, Minnesota",Shapefile,"[u'Anoka County, Minnesota, United States', u'Minnesota, United States']",Anoka County GIS Data,67f9e9bc-6e5a-41ed-bf0b-c7afca2392fd,Dataset,
Mixed,2017-01-25T16:44:48Z,"ENVELOPE(-96.840227, -96.171854, 47.151469, 46.627494)","{""http://schema.org/url"":""http://claycountymn.gov/658/GIS-Data"",""http://schema.org/downloadUrl"":""ftp://gis.co.clay.mn.us/Download/Clay/ClayFlood.ZIP"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/1c/0e/af/3d8fea4a0abbc85d0ce4925fbc/iso19139.xml""}",Public,1c0eaf3d-8fea-4a0a-bbc8-5d0ce4925fbc,Minnesota,[u'Inland Waters'],FEMA floodplain for Clay County.,2014-04-24,2014,,1c0eaf3d-8fea-4a0a-bbc8-5d0ce4925fbc,,46.627494 -96.840227 47.151469 -96.840227 47.151469 -96.171854 46.627494 -96.171854 46.627494 -96.840227,2014,,1c0eaf3d-8fea-4a0a-bbc8-5d0ce4925fbc,46.627494 -96.840227 47.151469 -96.171854,"Federal Emergency Management Agency (FEMA) Floodplain: Clay County, Minnesota, 2014",Shapefile,"[u'Clay County, Minnesota, United States', u'Minnesota, United States']",Clay County GIS Data,1c0eaf3d-8fea-4a0a-bbc8-5d0ce4925fbc,Dataset,
Mixed,2016-12-30T13:42:42Z,"ENVELOPE(-96.199092, -95.157901, 47.162357, 46.70634)","{""http://schema.org/url"":""http://www.co.becker.mn.us/online_services/GIS_data.aspx"",""http://schema.org/downloadUrl"":""http://gis-server.co.becker.mn.us/data/gis/shapefiles/lakes.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/6a/22/93/ed84ac4306ab21f6d5d78e75a9/iso19139.xml""}",Public,6a2293ed-84ac-4306-ab21-f6d5d78e75a9,Minnesota,"[u'Inland Waters', u'Lakes', u'Hydrology']","Shapefile of lakes in Becker County, Minnesota",2016-07-30,2016-,"[u'Becker County, Minnesota']",6a2293ed-84ac-4306-ab21-f6d5d78e75a9,,46.70634 -96.199092 47.162357 -96.199092 47.162357 -95.157901 46.70634 -95.157901 46.70634 -96.199092,2016,"[u'Becker County, Minnesota']",6a2293ed-84ac-4306-ab21-f6d5d78e75a9,46.70634 -96.199092 47.162357 -95.157901,"Lakes: Becker County, Minnesota, 2016",Shapefile,"[u'Becker County, Minnesota, United States', u'Minnesota, United States']",Becker County GIS Data,6a2293ed-84ac-4306-ab21-f6d5d78e75a9,Dataset,
Line,2016-12-30T13:41:58Z,"ENVELOPE(-93.2344, -92.9767, 45.1287, 44.8819)","{""http://schema.org/downloadUrl"":""http://openramsey.ramseygis.opendata.arcgis.com/datasets/f5c9df6605f6401f8992fac9b7ada041_21.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/3a/18/5b/b6e62a407ea576abed7db06a85/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.co.ramsey.mn.us/arcgis/rest/services/OpenData/OpenData_All/MapServer/21"",""http://schema.org/url"":""http://openramsey.ramseygis.opendata.arcgis.com/datasets/f5c9df6605f6401f8992fac9b7ada041_21""}",Public,3a185bb6-e62a-407e-a576-abed7db06a85,Minnesota,[u'Utilities and Communication'],This data set contains the physical edge of pavement for thoroughfares and cul-de-sacs. The pavement outlines are derived from aerial photography observation and interpretation using stereo processing techniques. Vector line work was originally plotted from 2009 photography. All graphical lines contain a character based layer name that identifies the different mapping features. The flight height for the aerial photography utilized in this project is approximately 5000 feet. The mapping scale for aerial photography utilized in this project is 1 inch equals 833 feet.,2014-12-01T21:17:01Z,2014-2016,[u'Map Portal'],3a185bb6-e62a-407e-a576-abed7db06a85,,44.8819 -93.2344 45.1287 -93.2344 45.1287 -92.9767 44.8819 -92.9767 44.8819 -93.2344,2014,[u'OpenRamsey'],3a185bb6-e62a-407e-a576-abed7db06a85,44.8819 -93.2344 45.1287 -92.9767,"Pavement Edges: Ramsey County, Minnesota, 2016",Shapefile,"[u'Ramsey County, Minnesota, United States', u'Minnesota, United States']",Open Ramsey County,3a185bb6-e62a-407e-a576-abed7db06a85,Dataset,
