layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s
Point,2016-12-30T13:41:08Z,"ENVELOPE(-93.325358114608, -93.2083865005484, 45.0357292456976, 44.9059930228795)","{""http://schema.org/url"":""http://opendata.minneapolismn.gov/datasets/4d8bfd9a569f40baaa1b8d33f1fd8c9b_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/84/77/d7/dbed6e42aaa292b9a7a285b8d2/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Heritage_Preservation_Commission_Landmarks/FeatureServer/0"",""http://schema.org/downloadUrl"":""http://opendata.minneapolismn.gov/datasets/4d8bfd9a569f40baaa1b8d33f1fd8c9b_0.zip""}",Public,8477d7db-ed6e-42aa-a292-b9a7a285b8d2,Minnesota,[u'Structure'],Location of properties in the City of Minneapolis with local historic district designation .,2015,2015-2016,[u'City of Minneapolis'],8477d7db-ed6e-42aa-a292-b9a7a285b8d2,,44.9059930228795 -93.325358114608 45.0357292456976 -93.325358114608 45.0357292456976 -93.2083865005484 44.9059930228795 -93.2083865005484 44.9059930228795 -93.325358114608,2015,[u'City of Minneapolis'],8477d7db-ed6e-42aa-a292-b9a7a285b8d2,44.9059930228795 -93.325358114608 45.0357292456976 -93.2083865005484,"Heritage Preservation Commission Landmarks: Minneapolis, Minnesota, 2015",Shapefile,"[u'Minneapolis, Minnesota, United States', u'Minnesota, United States']",Minneapolis Open Data,8477d7db-ed6e-42aa-a292-b9a7a285b8d2,Dataset
Mixed,2016-12-30T13:41:57Z,"ENVELOPE(-93.3292097620723, -93.1976004833682, 45.0512516472035, 44.8868972373647)","{""http://schema.org/url"":""http://opendata.minneapolismn.gov/datasets/9d845322959a4b6193645957a995dac0_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/59/ea/db/16724d474ab0af56a69f9adb1e/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Street_Centerline/FeatureServer/0"",""http://schema.org/downloadUrl"":""http://opendata.minneapolismn.gov/datasets/9d845322959a4b6193645957a995dac0_0.zip""}",Public,59eadb16-724d-474a-b0af-56a69f9adb1e,Minnesota,[u'Transportation'],"Downloadable shapefile of the City's road network. If there are any issues with the data in this map, service, or shapefile please contact the Minneapolis GIS office .",2015,2015-2016,[u'City of Minneapolis'],59eadb16-724d-474a-b0af-56a69f9adb1e,,44.8868972373647 -93.3292097620723 45.0512516472035 -93.3292097620723 45.0512516472035 -93.1976004833682 44.8868972373647 -93.1976004833682 44.8868972373647 -93.3292097620723,2015,[u'City of Minneapolis'],59eadb16-724d-474a-b0af-56a69f9adb1e,44.8868972373647 -93.3292097620723 45.0512516472035 -93.1976004833682,"Street Centerline: Minneapolis, Minnesota, 2015",Shapefile,"[u'Minneapolis, Minnesota, United States', u'Minnesota, United States']",Minneapolis Open Data,59eadb16-724d-474a-b0af-56a69f9adb1e,Dataset
Point,2016-12-30T13:42:13Z,"ENVELOPE(-93.3265378668995, -93.2035098716324, 45.0465909765695, 44.8968498518338)","{""http://schema.org/url"":""http://opendata.minneapolismn.gov/datasets/7d3234542a454bd2aa213530a83b978c_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/f4/a7/c8/b42ccb4f31b6190e9b08a63d17/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/msvcElections_PollingLocations/FeatureServer/0"",""http://schema.org/downloadUrl"":""http://opendata.minneapolismn.gov/datasets/7d3234542a454bd2aa213530a83b978c_0.zip""}",Public,f4a7c8b4-2ccb-4f31-b619-0e9b08a63d17,Minnesota,[u'Location'],This is the official map service for the Election Polling locations for the City of Minneapolis. For more information regarding upcoming elections please refer to the City of Minneapolis Elections homepage or contact the Minneapolis information line by calling 311 .,2015,2015,[u'City of Minneapolis'],f4a7c8b4-2ccb-4f31-b619-0e9b08a63d17,,44.8968498518338 -93.3265378668995 45.0465909765695 -93.3265378668995 45.0465909765695 -93.2035098716324 44.8968498518338 -93.2035098716324 44.8968498518338 -93.3265378668995,2015,[u'City of Minneapolis'],f4a7c8b4-2ccb-4f31-b619-0e9b08a63d17,44.8968498518338 -93.3265378668995 45.0465909765695 -93.2035098716324,"Elections Polling Locations: Minneapolis, Minnesota, 2016",Shapefile,"[u'Minneapolis, Minnesota, United States', u'Minnesota, United States']",Minneapolis Open Data,f4a7c8b4-2ccb-4f31-b619-0e9b08a63d17,Dataset
Point,2016-12-30T13:41:39Z,"ENVELOPE(-93.473996, -93.178142, 45.062, 44.863658)","{""http://schema.org/url"":""http://opendata.minneapolismn.gov/datasets/fires-reported-2015"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/e1/e0/b8/041a5f44f58c62462893375a9f/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/FiresReportedPublic2015/FeatureServer/0/"",""http://schema.org/downloadUrl"":""https://opendata.arcgis.com/datasets/e8ad122f05b44729890758505ba967aa_0.zip""}",Public,e1e0b804-1a5f-44f5-8c62-462893375a9f,Minnesota,[u'Society'],For questions about this data please contact FireOpenData@minneapolismn.gov Reported fires in the City of Minneapolis for 2015 year-to-date.,2015,2015-2016,[u'City of Minneapolis'],e1e0b804-1a5f-44f5-8c62-462893375a9f,,44.863658 -93.473996 45.062 -93.473996 45.062 -93.178142 44.863658 -93.178142 44.863658 -93.473996,2015,[u'City of Minneapolis'],e1e0b804-1a5f-44f5-8c62-462893375a9f,44.863658 -93.473996 45.062 -93.178142,"Fires Reported: Minneapolis, Minnesota, 2015",Shapefile,"[u'Minneapolis, Minnesota, United States', u'Minnesota, United States']",Minneapolis Open Data,e1e0b804-1a5f-44f5-8c62-462893375a9f,Dataset
Mixed,2016-12-30T13:42:41Z,"ENVELOPE(-93.3291083642629, -93.1896159987361, 45.0512462602368, 44.8901520018413)","{""http://schema.org/url"":""http://opendata.minneapolismn.gov/datasets/ec8f6413eaf4406b97e8bef6fe32b7a7_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/84/82/dc/bbc5d94e1ab6c6013bf181477d/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/FireDistricts/FeatureServer/0"",""http://schema.org/downloadUrl"":""http://opendata.minneapolismn.gov/datasets/ec8f6413eaf4406b97e8bef6fe32b7a7_0.zip""}",Public,8482dcbb-c5d9-4e1a-b6c6-013bf181477d,Minnesota,[u'Society'],For questions about this data please contact FireOpenData@minneapolismn.gov Map service showing the Fire Districts for the Minneapolis Fire Department.,2015,2015-2016,[u'City of Minneapolis'],8482dcbb-c5d9-4e1a-b6c6-013bf181477d,,44.8901520018413 -93.3291083642629 45.0512462602368 -93.3291083642629 45.0512462602368 -93.1896159987361 44.8901520018413 -93.1896159987361 44.8901520018413 -93.3291083642629,2015,[u'City of Minneapolis'],8482dcbb-c5d9-4e1a-b6c6-013bf181477d,44.8901520018413 -93.3291083642629 45.0512462602368 -93.1896159987361,"Fire Districts: Minneapolis, Minnesota, 2015",Shapefile,"[u'Minneapolis, Minnesota, United States', u'Minnesota, United States']",Minneapolis Open Data,8482dcbb-c5d9-4e1a-b6c6-013bf181477d,Dataset
Point,2016-12-30T13:41:10Z,"ENVELOPE(-93.3287341800145, -93.2065954188406, 45.0387257089875, 44.8926455190676)","{""http://schema.org/url"":""http://opendata.minneapolismn.gov/datasets/8c97cfb0700b4c8b929459dc5744efc3_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/fb/d6/97/a14e2b48b29ca0612b7836f28c/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/On-Sale_Liquor_Licenses/FeatureServer/0"",""http://schema.org/downloadUrl"":""http://opendata.minneapolismn.gov/datasets/8c97cfb0700b4c8b929459dc5744efc3_0.zip""}",Public,fbd697a1-4e2b-48b2-9ca0-612b7836f28c,Minnesota,[u'Economy'],For questions about this data please contact RegulatoryServicesOpenData@minneapolismn.gov Current on-sale liquor licenses active in the city.,2015,2015-2016,[u'City of Minneapolis'],fbd697a1-4e2b-48b2-9ca0-612b7836f28c,,44.8926455190676 -93.3287341800145 45.0387257089875 -93.3287341800145 45.0387257089875 -93.2065954188406 44.8926455190676 -93.2065954188406 44.8926455190676 -93.3287341800145,2015,[u'City of Minneapolis'],fbd697a1-4e2b-48b2-9ca0-612b7836f28c,44.8926455190676 -93.3287341800145 45.0387257089875 -93.2065954188406,"On-Sale Liquor Licenses: Minneapolis, Minnesota, 2015",Shapefile,"[u'Minneapolis, Minnesota, United States', u'Minnesota, United States']",Minneapolis Open Data,fbd697a1-4e2b-48b2-9ca0-612b7836f28c,Dataset
Point,2016-12-30T13:41:36Z,"ENVELOPE(-93.3307444534092, -93.1944226276563, 45.0510011981649, 44.8896817167014)","{""http://schema.org/url"":""http://opendata.minneapolismn.gov/datasets/bae6ab24f6614dbbac4a7590e8f3219d_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/6d/0e/7e/e60a534ecba1e30e035037d009/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Public_Police_2010/FeatureServer/0"",""http://schema.org/downloadUrl"":""http://opendata.minneapolismn.gov/datasets/bae6ab24f6614dbbac4a7590e8f3219d_0.zip""}",Public,6d0e7ee6-0a53-4ecb-a1e3-0e035037d009,Minnesota,[u'Society'],For questions about this data please contact PoliceOpenData@minneapolismn.gov Police Incidents for 2010,2015,2010-2011,[u'City of Minneapolis'],6d0e7ee6-0a53-4ecb-a1e3-0e035037d009,,44.8896817167014 -93.3307444534092 45.0510011981649 -93.3307444534092 45.0510011981649 -93.1944226276563 44.8896817167014 -93.1944226276563 44.8896817167014 -93.3307444534092,2010,[u'City of Minneapolis'],6d0e7ee6-0a53-4ecb-a1e3-0e035037d009,44.8896817167014 -93.3307444534092 45.0510011981649 -93.1944226276563,"Police Incidents: Minneapolis, Minnesota, 2010",Shapefile,"[u'Minneapolis, Minnesota, United States', u'Minnesota, United States']",Minneapolis Open Data,6d0e7ee6-0a53-4ecb-a1e3-0e035037d009,Dataset
Point,2016-12-30T13:42:07Z,"ENVELOPE(-93.3212809889999, -93.2134896339999, 45.0448693690001, 44.8969193040001)","{""http://schema.org/url"":""http://opendata.minneapolismn.gov/datasets/6d3c4cca729f41818f38d267afc323a8_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/66/9f/22/129e6a4d8ba722501ea7a355c6/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/OPENDATA_NCR_ORGCONTACT/FeatureServer/0"",""http://schema.org/downloadUrl"":""http://opendata.minneapolismn.gov/datasets/6d3c4cca729f41818f38d267afc323a8_0.zip""}",Public,669f2212-9e6a-4d8b-a722-501ea7a355c6,Minnesota,[u'Society'],For questions about this data please contact NCROpenData@minneapolismn.gov General locations of the Neighborhood Organizations in the City of Minneapolis and their contact information.,2015,2015-2016,[u'City of Minneapolis'],669f2212-9e6a-4d8b-a722-501ea7a355c6,,44.8969193040001 -93.3212809889999 45.0448693690001 -93.3212809889999 45.0448693690001 -93.2134896339999 44.8969193040001 -93.2134896339999 44.8969193040001 -93.3212809889999,2015,[u'City of Minneapolis'],669f2212-9e6a-4d8b-a722-501ea7a355c6,44.8969193040001 -93.3212809889999 45.0448693690001 -93.2134896339999,"NCR Organization Contact: Minneapolis, Minnesota, 2015",Shapefile,"[u'Minneapolis, Minnesota, United States', u'Minnesota, United States']",Minneapolis Open Data,669f2212-9e6a-4d8b-a722-501ea7a355c6,Dataset
Point,2016-12-30T13:41:47Z,"ENVELOPE(-93.3204369681973, -93.2238579308365, 45.0396951127998, 44.9049153448895)","{""http://schema.org/url"":""http://opendata.minneapolismn.gov/datasets/8529687b17e44acf88d52ee696821854_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/5e/2f/51/7e7f414c35bf2ba3d9f9f42420/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Fire_Stations/FeatureServer/0"",""http://schema.org/downloadUrl"":""http://opendata.minneapolismn.gov/datasets/8529687b17e44acf88d52ee696821854_0.zip""}",Public,5e2f517e-7f41-4c35-bf2b-a3d9f9f42420,Minnesota,[u'Society'],Map service showing the locations of MFD fire stations.,2015,2015-2016,[u'City of Minneapolis'],5e2f517e-7f41-4c35-bf2b-a3d9f9f42420,,44.9049153448895 -93.3204369681973 45.0396951127998 -93.3204369681973 45.0396951127998 -93.2238579308365 44.9049153448895 -93.2238579308365 44.9049153448895 -93.3204369681973,2015,[u'City of Minneapolis'],5e2f517e-7f41-4c35-bf2b-a3d9f9f42420,44.9049153448895 -93.3204369681973 45.0396951127998 -93.2238579308365,"Fire Stations: Minneapolis, Minnesota, 2015",Shapefile,"[u'Minneapolis, Minnesota, United States', u'Minnesota, United States']",Minneapolis Open Data,5e2f517e-7f41-4c35-bf2b-a3d9f9f42420,Dataset
Mixed,2016-12-30T13:41:20Z,"ENVELOPE(-93.3291143140062, -93.2033317607805, 45.0439332438281, 44.8898032870711)","{""http://schema.org/url"":""http://opendata.minneapolismn.gov/datasets/0f8cd532bc9a48518d6e69d681a0ffb9_0"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/a1/06/33/9ebed4432c88cc8b9e6ed77e36/iso19139.xml"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Community_Corridors/FeatureServer/0"",""http://schema.org/downloadUrl"":""http://opendata.minneapolismn.gov/datasets/0f8cd532bc9a48518d6e69d681a0ffb9_0.zip""}",Public,a106339e-bed4-432c-88cc-8b9e6ed77e36,Minnesota,[u'Planning and Cadastral'],For questions about this data please contact CPEDOpenData@minneapolismn.gov Designated land use features from the City's Adopted comprehensive plan.,2015,2015-2016,[u'City of Minneapolis'],a106339e-bed4-432c-88cc-8b9e6ed77e36,,44.8898032870711 -93.3291143140062 45.0439332438281 -93.3291143140062 45.0439332438281 -93.2033317607805 44.8898032870711 -93.2033317607805 44.8898032870711 -93.3291143140062,2015,[u'City of Minneapolis'],a106339e-bed4-432c-88cc-8b9e6ed77e36,44.8898032870711 -93.3291143140062 45.0439332438281 -93.2033317607805,"Community Corridors: Minneapolis, Minnesota, 2015",Shapefile,"[u'Minneapolis, Minnesota, United States', u'Minnesota, United States']",Minneapolis Open Data,a106339e-bed4-432c-88cc-8b9e6ed77e36,Dataset
