layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Polygon,2017-04-07T12:34:48Z,"ENVELOPE(-90.1571, -83.2295, 48.1063, 42.3503)","{""http://schema.org/downloadUrl"":""http://gis-michigan.opendata.arcgis.com/datasets/48fe45f986f740568cb8390439f18800_21.zip"",""http://schema.org/url"":""http://gis-michigan.opendata.arcgis.com/datasets/48fe45f986f740568cb8390439f18800_21"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/ForestHealthAerialSurveys/FeatureServer/21""}",Public,0cd0f3f4-44fb-4871-b35c-2fab404eac47,Minnesota,"[u'Biota', u'Forests', u'Trees']",This data was taken from an aerial survey of forests,2016-07-07,2007,[u'Michigan DNR'],0cd0f3f4-44fb-4871-b35c-2fab404eac47,,42.3503 -90.1571 48.1063 -90.1571 48.1063 -83.2295 42.3503 -83.2295 42.3503 -90.1571,2007,[u'State of Michigan GIS Open Data'],0cd0f3f4-44fb-4871-b35c-2fab404eac47,42.3503 -90.1571 48.1063 -83.2295,"Aerial Forest Survey Severity: Michigan, 2007",Shapefile,"[u'Michigan, United States']",State of Michigan Open Data Portal,0cd0f3f4-44fb-4871-b35c-2fab404eac47,Dataset,
Line,2017-04-07T12:35:12Z,"ENVELOPE(-88.4579, -82.2626, 47.2141, 41.7008)","{""http://schema.org/downloadUrl"":""http://gis-michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_8.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services2.arcgis.com/67lKNkQ2TO1I3lhR/arcgis/rest/services/mdot_traffic_volumes_archive/FeatureServer/8"",""http://schema.org/url"":""http://gis-michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_8""}",Public,a5ed3bad-a9c7-44b0-bf0b-bf6ce485361c,Minnesota,[u'Intelligence and Military'],"The Annual Average Daily Traffic (AADT) is the estimated mean daily traffic volume and theCommercial Annual Average Daily Traffic (CAADT) is the estimated mean daily traffic volume for commercialvehicles.Data DictionaryData Quality:For continuous sites, estimates are calculated by summing the Annual Average Days of the Week and dividing by seven. For short-count sites, estimates are made by factoring a short count using seasonal and day-of-week adjustment factors.Data Coverage:The dataset covers the entire State of Michigan (state-owned) Trunkline system.Update Cycle:AADT & CAADT volumes are created and released every year.Contact:Kevin Krzeminski",,2014,[u'State of Michigan'],a5ed3bad-a9c7-44b0-bf0b-bf6ce485361c,,41.7008 -88.4579 47.2141 -88.4579 47.2141 -82.2626 41.7008 -82.2626 41.7008 -88.4579,2014,[u'State of Michigan GIS Open Data'],a5ed3bad-a9c7-44b0-bf0b-bf6ce485361c,41.7008 -88.4579 47.2141 -82.2626,"Traffic Volumes: Michigan, 2014",Shapefile,"[u'Michigan, United States']",State of Michigan Open Data Portal,a5ed3bad-a9c7-44b0-bf0b-bf6ce485361c,Dataset,
Polygon,2017-04-07T12:35:26Z,"ENVELOPE(-90.5379, -83.1516, 48.1735, 42.2861)","{""http://schema.org/downloadUrl"":""http://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_3.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/ForestHealthAerialSurveys/FeatureServer/3""}",Public,7f77304b-f0ed-43f1-bc94-1d3ec45f471f,Minnesota,"[u'Environment', u'Forests', u'Trees']",This data set was taken from an aerial survey of forests,,2001,[u'Michigan DNR'],7f77304b-f0ed-43f1-bc94-1d3ec45f471f,,42.2861 -90.5379 48.1735 -90.5379 48.1735 -83.1516 42.2861 -83.1516 42.2861 -90.5379,2001,[u'State of Michigan GIS Open Data'],7f77304b-f0ed-43f1-bc94-1d3ec45f471f,42.2861 -90.5379 48.1735 -83.1516,"Forest Pest Aerial Survey Severity: Michigan, 2001",Shapefile,"[u'Michigan, United States']",State of Michigan Open Data Portal,7f77304b-f0ed-43f1-bc94-1d3ec45f471f,Dataset,
Line,2017-05-12T10:41:18Z,"ENVELOPE(-84.118362, -84.092401, 43.345502, 43.277888)","{""http://schema.org/downloadUrl"":""http://gis-michigan.opendata.arcgis.com/datasets/cc49db9fd8a4469f981dc8df39ba3d75_8.zip"",""http://schema.org/url"":""http://gis-michigan.opendata.arcgis.com/datasets/cc49db9fd8a4469f981dc8df39ba3d75_8"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrWildlife/MapServer/8""}",Public,1783b83a-0d18-4a8d-b63b-2f9b68116ac4,Michigan State,"[u'Trails', u'Accessibility']","The Michigan Department of Natural Resources (DNR) does have many locations or features which help or particularly benefit those public users, photography enthusiasts, birdwatchers, or hunters who have special mobility needs and benefit from special accessible conditions to reach our outdoor and wildlife resources. The DNR website has details and a wide variety of accessible, ADA compliant rules, guidelines and features and (see webpage http://www.michigan.gov/dnr/0,4570,7-153-10366_41825---,00.html and subpage on hunting / wildlife information at http://www.michigan.gov/dnr/0,4570,7-153-10366_41825_51108---,00.html ).  Users may require only walking assistance devices or may be those with specific wheelchairs, personal assistive mobility devices (PAMDs), or other motorized-type vehicles.   Please check rules for specific rules, regulations, and restrictions as they relate to what equipment might be used, before using such equipment, as not all equipment legal on public places, residential or commercial buildings, or such are allowed on all areas of Michigan s public land managed by the DNR.     Accessible features on State Wildlife/Game Area include those which have low-slope, no stairs or steps along features, and are accessible for wheelchairs, or personal assistive mobility devices (PAMDs). All buildings, DNR Shooting-Ranges, and other permanent public use structures are fully ADA compliant and accessible. It is the more natural features being identified in this layer. Many of these features are fully ADA code compliant (which is ~1 inch rise or less over 12 inch distances) and are regularly checked for obstructions, while other features comply with the low-slope requirements or are identified as such so they are not over-represented to a lower or no slope level. In natural rustic areas it can be difficult to maintain these slope limits and to clearing check for naturally-occurring obstructions like leaves, sticks or other naturally occurring items which blow or wash onto trails or outside features. Therefore, features are frequently identified as no-slope or low-slope/PAMD levels and not over-represented as fully ADA compliant.      The DNR Wildlife Division is in a updated state-wide review to identify features and provide better information on accessible features, such as by GIS compatible layers provided here. Accessible features typically include accessible combinations of parking, a trail and a destination location like a platform or blind location; read the attribute fields like the comment field, for details on what is at the provided data point, line or polygon. Although available for use by anyone, it's hoped consideration for use will be given to those individuals that have limited mobility, please, for use of these accessible parking, trails, blinds or platforms, and other features. Patience is appreciated for local site conditions which might be caused by weather, wind or rain, wildlife or other public users; please report any problems with features to either the local DNR Wildlife office or the main DNR Wildlife help options (e-mail DNR-Wildlife@michigan.gov , or call 517-284-9453).",2016-10-27,2016-2017,[u'Michigan DNR'],1783b83a-0d18-4a8d-b63b-2f9b68116ac4,,43.277888 -84.118362 43.345502 -84.118362 43.345502 -84.092401 43.277888 -84.092401 43.277888 -84.118362,2016,,1783b83a-0d18-4a8d-b63b-2f9b68116ac4,43.277888 -84.118362 43.345502 -84.092401,Low-slope/PAMD accessible trails: Michigan,Shapefile,"[u'Michigan, United States']",State of Michigan Open Data Portal,1783b83a-0d18-4a8d-b63b-2f9b68116ac4,Dataset,
Line,2017-04-07T12:34:29Z,"ENVELOPE(-90.5436, -82.0796, 48.1903, 41.6457)","{""http://schema.org/downloadUrl"":""http://gis-michigan.opendata.arcgis.com/datasets/d856619ccb684dd2b2c83ba9ff319a82_11.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/open_Trails/FeatureServer/11"",""http://schema.org/url"":""http://gis-michigan.opendata.arcgis.com/datasets/d856619ccb684dd2b2c83ba9ff319a82_11""}",Public,5f292197-d473-466f-84f5-4b20085b0e40,Minnesota,"[u'Society', u'Railroads, Bicycles']","Designated Railtrails are the trails that were formerly railroad corridors that have been converted to recreational trails.  The trails are located on State, Federal, County, Local, and Private Lands.",,2015,[u'State of Michigan'],5f292197-d473-466f-84f5-4b20085b0e40,,41.6457 -90.5436 48.1903 -90.5436 48.1903 -82.0796 41.6457 -82.0796 41.6457 -90.5436,2015,[u'State of Michigan GIS Open Data'],5f292197-d473-466f-84f5-4b20085b0e40,41.6457 -90.5436 48.1903 -82.0796,"Michigan DNR Designated Railtrails: Michigan, 2015",Shapefile,"[u'Michigan, United States']",State of Michigan Open Data Portal,5f292197-d473-466f-84f5-4b20085b0e40,Dataset,
Polygon,2017-04-07T12:35:23Z,"ENVELOPE(-88.662, -83.2305, 46.7767, 44.042)","{""http://schema.org/downloadUrl"":""http://gis-michigan.opendata.arcgis.com/datasets/734325ff233845e68640af521f38bfa0_26.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/26"",""http://schema.org/url"":""http://gis-michigan.opendata.arcgis.com/datasets/734325ff233845e68640af521f38bfa0_26""}",Public,3ae076df-cee3-4552-a458-3c501ceb12fe,Minnesota,"[u'Forests', u'Trees']",Spruce Budworm 2004 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,,2004,[u'State of Michigan'],3ae076df-cee3-4552-a458-3c501ceb12fe,,44.042 -88.662 46.7767 -88.662 46.7767 -83.2305 44.042 -83.2305 44.042 -88.662,2004,[u'State of Michigan GIS Open Data'],3ae076df-cee3-4552-a458-3c501ceb12fe,44.042 -88.662 46.7767 -83.2305,"Spruce Budworm: Michigan, 2004",Shapefile,"[u'Michigan, United States']",State of Michigan Open Data Portal,3ae076df-cee3-4552-a458-3c501ceb12fe,Dataset,
Polygon,2017-04-07T12:35:10Z,"ENVELOPE(-90.1635, -83.3611, 48.1596, 41.679)","{""http://schema.org/downloadUrl"":""http://gis-michigan.opendata.arcgis.com/datasets/a0350f22dd194436bc1c0d0cfc3bfbe5_27.zip"",""http://schema.org/url"":""http://gis-michigan.opendata.arcgis.com/datasets/a0350f22dd194436bc1c0d0cfc3bfbe5_27"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/ForestHealthAerialSurveys/FeatureServer/27""}",Public,9bcd4376-3cec-48cd-bd9f-a415163a4669,Minnesota,"[u'Biota', u'Forests', u'Trees']",This data was taken from an aerial survey of forests,2016-07-07,2009,[u'Michigan DNR'],9bcd4376-3cec-48cd-bd9f-a415163a4669,,41.679 -90.1635 48.1596 -90.1635 48.1596 -83.3611 41.679 -83.3611 41.679 -90.1635,2009,[u'State of Michigan GIS Open Data'],9bcd4376-3cec-48cd-bd9f-a415163a4669,41.679 -90.1635 48.1596 -83.3611,"Aerial Forest Survey Severity: Michigan, 2009",Shapefile,"[u'Michigan, United States']",State of Michigan Open Data Portal,9bcd4376-3cec-48cd-bd9f-a415163a4669,Dataset,
Polygon,2017-04-07T12:35:01Z,"ENVELOPE(-90.258, -83.2547, 48.1501, 43.477)","{""http://schema.org/downloadUrl"":""http://gis-michigan.opendata.arcgis.com/datasets/83f5a009d001473f8cd5b876b7d739ee_57.zip"",""http://schema.org/url"":""http://gis-michigan.opendata.arcgis.com/datasets/83f5a009d001473f8cd5b876b7d739ee_57"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrAerialSurveys/MapServer/57""}",Public,779790be-e1cb-4d3c-9e02-81f2b83b5d52,Minnesota,"[u'Biota', u'Forests', u'Trees']",Aerial Survey 2014 Severity,2016-01-07,2014,[u'Michigan DNR'],779790be-e1cb-4d3c-9e02-81f2b83b5d52,,43.477 -90.258 48.1501 -90.258 48.1501 -83.2547 43.477 -83.2547 43.477 -90.258,2014,[u'State of Michigan GIS Open Data'],779790be-e1cb-4d3c-9e02-81f2b83b5d52,43.477 -90.258 48.1501 -83.2547,"Aerial Forest Survey Severity: Michigan, 2014",Shapefile,"[u'Michigan, United States']",State of Michigan Open Data Portal,779790be-e1cb-4d3c-9e02-81f2b83b5d52,Dataset,
Polygon,2017-04-07T12:34:25Z,"ENVELOPE(-89.8035, -83.1847, 47.1482, 42.5533)","{""http://schema.org/downloadUrl"":""http://gis-michigan.opendata.arcgis.com/datasets/7e7bda78a00f4c30b84698744a9e9d9a_25.zip"",""http://schema.org/url"":""http://gis-michigan.opendata.arcgis.com/datasets/7e7bda78a00f4c30b84698744a9e9d9a_25"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/ForestHealthAerialSurveys/FeatureServer/25""}",Public,f06ccbb7-259c-403f-9273-83ba95ebd4a6,Minnesota,"[u'Biota', u'Forests', u'Trees']",This data was taken from an aerial survey of forests,2016-07-07,2008,[u'Michigan DNR'],f06ccbb7-259c-403f-9273-83ba95ebd4a6,,42.5533 -89.8035 47.1482 -89.8035 47.1482 -83.1847 42.5533 -83.1847 42.5533 -89.8035,2008,[u'State of Michigan GIS Open Data'],f06ccbb7-259c-403f-9273-83ba95ebd4a6,42.5533 -89.8035 47.1482 -83.1847,"Aerial Forest Survey Pattern: Michigan, 2008",Shapefile,"[u'Michigan, United States']",State of Michigan Open Data Portal,f06ccbb7-259c-403f-9273-83ba95ebd4a6,Dataset,
Polygon,2017-04-07T12:35:03Z,"ENVELOPE(-90.1146, -82.7058, 47.3987, 42.3674)","{""http://schema.org/downloadUrl"":""http://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_31.zip"",""urn:x-esri:serviceType:ArcGIS#FeatureLayer"":""https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/ForestHealthAerialSurveys/FeatureServer/31""}",Public,dbab61c5-541d-4794-bed3-57bab0928570,Minnesota,"[u'Biota', u'Forests', u'Trees']",This data was taken from an aerial survey of forests,,2010,[u'Michigan DNR'],dbab61c5-541d-4794-bed3-57bab0928570,,42.3674 -90.1146 47.3987 -90.1146 47.3987 -82.7058 42.3674 -82.7058 42.3674 -90.1146,2010,[u'State of Michigan GIS Open Data'],dbab61c5-541d-4794-bed3-57bab0928570,42.3674 -90.1146 47.3987 -82.7058,"Aerial Forest Survey Pattern: Michigan, 2010",Shapefile,"[u'Michigan, United States']",State of Michigan Open Data Portal,dbab61c5-541d-4794-bed3-57bab0928570,Dataset,
