layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Point,2017-04-26T14:46:09Z,"ENVELOPE(-83.249251, -82.937375, 42.433637, 42.3046)","{""http://schema.org/downloadUrl"":""https://data.detroitmi.gov/api/geospatial/exqw-7q3h?method=export&format=Shapefile"",""http://schema.org/url"":""https://data.detroitmi.gov/d/exqw-7q3h""}",Public,2868ccdf-d396-4c63-aeb4-f4c1b084353e,Michigan,"[u'Society', u'Libraries']","Detroit Public Library (DPL) locations. Data originally sourced from Data Driven Detroit, in partnership with DPL.",2014-11-26,2014-2016,[u'City of Detroit Open Data Portal'],2868ccdf-d396-4c63-aeb4-f4c1b084353e,,42.3046 -83.249251 42.433637 -83.249251 42.433637 -82.937375 42.3046 -82.937375 42.3046 -83.249251,2014,[u'City of Detroit Open Data Portal'],2868ccdf-d396-4c63-aeb4-f4c1b084353e,42.3046 -83.249251 42.433637 -82.937375,"Libraries: Detroit, Michigan, 2014",Shapefile,"[u'Detroit, Michigan, United States', u'Michigan, United States']",Detroit Open Data,2868ccdf-d396-4c63-aeb4-f4c1b084353e,Dataset,
Polygon,2017-04-26T14:46:06Z,"ENVELOPE(-83.291109, -82.909836, 42.454197, 42.252069)","{""http://schema.org/downloadUrl"":""https://data.detroitmi.gov/api/geospatial/7rr3-avkc?method=export&format=Shapefile"",""http://schema.org/url"":""https://data.detroitmi.gov/d/7rr3-avkc""}",Public,83539684-9a96-411c-8327-b92b72f929da,Michigan,"[u'Society', u'Boundaries', u'Demographics']",Map showing census tracts for 1990 census. Data published on City of Detroit Open Data Portal in 2015.,2015-01-22,2015-2016,,83539684-9a96-411c-8327-b92b72f929da,,42.252069 -83.291109 42.454197 -83.291109 42.454197 -82.909836 42.252069 -82.909836 42.252069 -83.291109,2015,[u'City of Detroit Open Data Portal'],83539684-9a96-411c-8327-b92b72f929da,42.252069 -83.291109 42.454197 -82.909836,"Census Tracts 1990: Detroit, Michigan, 2015",Shapefile,"[u'Detroit, Michigan, United States', u'Michigan, United States']",Detroit Open Data,83539684-9a96-411c-8327-b92b72f929da,Dataset,
Point,2017-04-26T14:46:05Z,"ENVELOPE(-83.333506, -82.911603, 42.458881, 42.255426)","{""http://schema.org/downloadUrl"":""https://data.detroitmi.gov/api/geospatial/h7tb-utv7?method=export&format=Shapefile"",""http://schema.org/url"":""https://data.detroitmi.gov/d/h7tb-utv7""}",Public,429f8dcf-aede-46ea-baca-8e69405c3025,Michigan,"[u'Transportation', u'Public Transport', u'Bus Transport Systems']",Detroit Department of Transportation DDOT bus stops. Data originally sourced from Data Driven Detroit in partnership with DDOT.,2014-11-26,2014-2016,,429f8dcf-aede-46ea-baca-8e69405c3025,,42.255426 -83.333506 42.458881 -83.333506 42.458881 -82.911603 42.255426 -82.911603 42.255426 -83.333506,2014,[u'City of Detroit Open Data Portal'],429f8dcf-aede-46ea-baca-8e69405c3025,42.255426 -83.333506 42.458881 -82.911603,"DDOT Bus Stops: Detroit, Michigan, 2014",Shapefile,"[u'Detroit, Michigan, United States', u'Michigan, United States']",Detroit Open Data,429f8dcf-aede-46ea-baca-8e69405c3025,Dataset,
Line,2017-04-26T14:46:08Z,"ENVELOPE(-83.436833, -82.743063, 42.708017, 42.140868)","{""http://schema.org/downloadUrl"":""https://data.detroitmi.gov/api/geospatial/agne-ypdd?method=export&format=Shapefile"",""http://schema.org/url"":""https://data.detroitmi.gov/d/agne-ypdd""}",Public,b002bc1f-ae08-49c2-8b61-518df32fd01a,Michigan,"[u'Transportation', u'Public Transport', u'Bus Transport Systems']",Suburban Mobility Authority for Regional Transportation (SMART) bus routes. Data originally provided by Data Driven Detroit in partnership with SMART.,2014-11-26,2014-2016,,b002bc1f-ae08-49c2-8b61-518df32fd01a,,42.140868 -83.436833 42.708017 -83.436833 42.708017 -82.743063 42.140868 -82.743063 42.140868 -83.436833,2014,[u'City of Detroit Open Data Portal'],b002bc1f-ae08-49c2-8b61-518df32fd01a,42.140868 -83.436833 42.708017 -82.743063,"SMART Bus Routes: Southeast Michigan, 2014",Shapefile,"[u'Detroit, Michigan, United States', u'Michigan, United States']",Detroit Open Data,b002bc1f-ae08-49c2-8b61-518df32fd01a,Dataset,
Point,2017-04-26T14:46:14Z,"ENVELOPE(-83.290778, -82.909914, 42.454036, 42.261816)","{""http://schema.org/downloadUrl"":""https://data.detroitmi.gov/api/geospatial/dkav-a7rb?method=export&format=Shapefile"",""http://schema.org/url"":""https://data.detroitmi.gov/d/dkav-a7rb""}",Public,b1a5ecd8-5d33-4746-9794-f3adbf9492e3,Michigan,"[u'Transportation', u'Traffic']",Location of all traffic signals,2015-12-22,2015-2016,,b1a5ecd8-5d33-4746-9794-f3adbf9492e3,,42.261816 -83.290778 42.454036 -83.290778 42.454036 -82.909914 42.261816 -82.909914 42.261816 -83.290778,2015,[u'City of Detroit Open Data Portal'],b1a5ecd8-5d33-4746-9794-f3adbf9492e3,42.261816 -83.290778 42.454036 -82.909914,"Traffic Signals: Detroit, Michigan",Shapefile,"[u'Detroit, Michigan, United States', u'Michigan, United States']",Detroit Open Data,b1a5ecd8-5d33-4746-9794-f3adbf9492e3,Dataset,
Point,2017-04-26T14:46:06Z,"ENVELOPE(-83.24761, -82.927564, 42.448289, 42.264469)","{""http://schema.org/downloadUrl"":""https://data.detroitmi.gov/api/geospatial/9zkf-xhz4?method=export&format=Shapefile"",""http://schema.org/url"":""https://data.detroitmi.gov/d/9zkf-xhz4""}",Public,7cf5baaf-521e-44e5-986a-ea945ecde859,Michigan,"[u'Transportation', u'Roads']",Secondary Thoroughfare Name Labels,2014-11-26,2014-2016,,7cf5baaf-521e-44e5-986a-ea945ecde859,,42.264469 -83.24761 42.448289 -83.24761 42.448289 -82.927564 42.264469 -82.927564 42.264469 -83.24761,2014,[u'City of Detroit Open Data Portal'],7cf5baaf-521e-44e5-986a-ea945ecde859,42.264469 -83.24761 42.448289 -82.927564,"Secondary Street Names: Detroit, Michigan, 2014",Shapefile,"[u'Detroit, Michigan, United States', u'Michigan, United States']",Detroit Open Data,7cf5baaf-521e-44e5-986a-ea945ecde859,Dataset,
Point,2017-04-26T14:46:07Z,"ENVELOPE(-83.287512, -82.916798, 42.450653, 42.258259)","{""http://schema.org/downloadUrl"":""https://data.detroitmi.gov/api/geospatial/h8ij-tu87?method=export&format=Shapefile"",""http://schema.org/url"":""https://data.detroitmi.gov/d/h8ij-tu87""}",Public,a3f77bf5-7d73-484b-8dae-502aa51063e5,Michigan,"[u'Structure', u'Schools', u'Education']",The center point of of sites owned by Detroit Public Schools.,2015-01-22,2015-2016,,a3f77bf5-7d73-484b-8dae-502aa51063e5,,42.258259 -83.287512 42.450653 -83.287512 42.450653 -82.916798 42.258259 -82.916798 42.258259 -83.287512,2015,[u'City of Detroit Open Data Portal'],a3f77bf5-7d73-484b-8dae-502aa51063e5,42.258259 -83.287512 42.450653 -82.916798,"Detroit Public School Locations: Detroit, Michigan, 2015",Shapefile,"[u'Detroit, Michigan, United States', u'Michigan, United States']",Detroit Open Data,a3f77bf5-7d73-484b-8dae-502aa51063e5,Dataset,
Polygon,2017-04-26T14:46:11Z,"ENVELOPE(-83.287749, -82.910251, 42.450388, 42.254657)","{""http://schema.org/downloadUrl"":""https://data.detroitmi.gov/api/geospatial/pnwk-yivg?method=export&format=Shapefile"",""http://schema.org/url"":""https://data.detroitmi.gov/d/pnwk-yivg""}",Public,47beec45-d817-4f38-abf3-804c80e615d4,Michigan,"[u'Society', u'Crime']",Detroit Police Department (DPD) scout car areas,2014-11-26,2016,,47beec45-d817-4f38-abf3-804c80e615d4,,42.254657 -83.287749 42.450388 -83.287749 42.450388 -82.910251 42.254657 -82.910251 42.254657 -83.287749,2016,[u'City of Detroit Open Data Portal'],47beec45-d817-4f38-abf3-804c80e615d4,42.254657 -83.287749 42.450388 -82.910251,"Detroit Police Department (DPD) Scout Car Areas: Detroit, Michigan, 2016",Shapefile,"[u'Detroit, Michigan, United States', u'Michigan, United States']",Detroit Open Data,47beec45-d817-4f38-abf3-804c80e615d4,Dataset,
Polygon,2017-04-26T14:46:12Z,"ENVELOPE(-83.291109, -82.909836, 42.454197, 42.252069)","{""http://schema.org/downloadUrl"":""https://data.detroitmi.gov/api/geospatial/2u3u-mrvu?method=export&format=Shapefile"",""http://schema.org/url"":""https://data.detroitmi.gov/d/2u3u-mrvu""}",Public,cfcbdc6d-2d6d-437a-810d-0b15a1b53576,Michigan,"[u'Society', u'Boundaries', u'Demographics']",Block groups for 2000 census. Data published on City of Detroit Open Data Portal in 2015.,2015-01-22,2015-2016,,cfcbdc6d-2d6d-437a-810d-0b15a1b53576,,42.252069 -83.291109 42.454197 -83.291109 42.454197 -82.909836 42.252069 -82.909836 42.252069 -83.291109,2015,[u'City of Detroit Open Data Portal'],cfcbdc6d-2d6d-437a-810d-0b15a1b53576,42.252069 -83.291109 42.454197 -82.909836,"2000 Census Block Groups: Detroit, Michigan, 2015",Shapefile,"[u'Detroit, Michigan, United States', u'Michigan, United States']",Detroit Open Data,cfcbdc6d-2d6d-437a-810d-0b15a1b53576,Dataset,
Polygon,2017-04-26T14:46:07Z,"ENVELOPE(-83.291211, -82.909871, 42.454224, 42.252109)","{""http://schema.org/downloadUrl"":""https://data.detroitmi.gov/api/geospatial/fsbf-9tct?method=export&format=Shapefile"",""http://schema.org/url"":""https://data.detroitmi.gov/d/fsbf-9tct""}",Public,27c76e46-6374-46a8-9bee-01e89e0bf830,Michigan,"[u'Boundaries', u'Election Districts']",Boundaries of Detroit's election districts. Data published on City of Detroit's Open Data Portal in 2015.,2015-01-23,2015-2016,,27c76e46-6374-46a8-9bee-01e89e0bf830,,42.252109 -83.291211 42.454224 -83.291211 42.454224 -82.909871 42.252109 -82.909871 42.252109 -83.291211,2015,[u'City of Detroit Open Data Portal'],27c76e46-6374-46a8-9bee-01e89e0bf830,42.252109 -83.291211 42.454224 -82.909871,"Election Districts: Detroit, Michigan, 2015",Shapefile,"[u'Detroit, Michigan, United States', u'Michigan, United States']",Detroit Open Data,27c76e46-6374-46a8-9bee-01e89e0bf830,Dataset,
