layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Polygon,2017-04-26T10:33:04Z,"ENVELOPE(-84.161722, -82.407035, 43.183771, 41.708851)","{""http://schema.org/downloadUrl"":""http://maps-semcog.opendata.arcgis.com/datasets/85a9b77f31c44e2b8616ef31404ae4d8_0.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/edu.umich/ef/db/81/36144c435991f84b7922c78408/iso19139.xml"",""http://schema.org/url"":""http://maps-semcog.opendata.arcgis.com/datasets/85a9b77f31c44e2b8616ef31404ae4d8_0""}",Public,efdb8136-144c-4359-91f8-4b7922c78408,Minnesota,"[u'Geoscientific Information', u'Imagery and Base Maps']","Landuse circa 1800 is a statewide database for Michigan based on original surveyors tree data and descriptions of the vegetation and land between 1816 and 1856. This is a fully attributed version that contains all vegetation codes (see attribute information). The database creators recognize that there are errors in the database due to interpretation and data input. Errors of comission and omission may still exist in the current version of the database. For concerns on the use, see the limitations listed below, refer to the references provided, or call the contact for more information. Database has county codes and data in it from IDENTITY process run against the stco100 database. This provides county names and FIPS codes. Ran the ADDAREA command to add area in acres and square miles as well. Please do not redistribute this database - please have requestors contact the source. Also note the version/edition number on this database release. Any future updates or modifications will have a version/edition number assigned. All previous versions/editions should be destroyed or removed to an archive status. Version 1.0 - completed QA/QC Version 1.1 - Annotation removed from all LU1800 databases",2015-09-29,2016,[u'Southeast Michigan Council of Governments'],efdb8136-144c-4359-91f8-4b7922c78408,,41.708851 -84.161722 43.183771 -84.161722 43.183771 -82.407035 41.708851 -82.407035 41.708851 -84.161722,2016,[u'SEMCOG Open Data Portal'],efdb8136-144c-4359-91f8-4b7922c78408,41.708851 -84.161722 43.183771 -82.407035,"Historic Land Cover: Southeast Michigan, 2016",Shapefile,"[u'Southeast Michigan, United States', u'Michigan, United States']",SEMCOG Open Data Portal,efdb8136-144c-4359-91f8-4b7922c78408,Dataset,
Polygon,2017-04-26T10:33:02Z,"ENVELOPE(-83.291121, -82.909897, 42.454195, 42.252014)","{""http://schema.org/downloadUrl"":""http://maps-semcog.opendata.arcgis.com/datasets/a0777b66cc534a36b497c2c74e5b6b35_0.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/edu.umich/4c/49/9f/9caf094bda9bc16114efbc8a82/iso19139.xml"",""http://schema.org/url"":""http://maps-semcog.opendata.arcgis.com/datasets/a0777b66cc534a36b497c2c74e5b6b35_0""}",Public,4c499f9c-af09-4bda-9bc1-6114efbc8a82,Minnesota,"[u'Boundaries', u'Neighborhoods']",Detroit Neighborhoods,2015-09-29,2016,[u'Southeast Michigan Council of Governments'],4c499f9c-af09-4bda-9bc1-6114efbc8a82,,42.252014 -83.291121 42.454195 -83.291121 42.454195 -82.909897 42.252014 -82.909897 42.252014 -83.291121,2016,[u'SEMCOG Open Data Portal'],4c499f9c-af09-4bda-9bc1-6114efbc8a82,42.252014 -83.291121 42.454195 -82.909897,"Detroit Neighborhoods: Southeast Michigan, 2016",Shapefile,"[u'Southeast Michigan, United States', u'Michigan, United States']",SEMCOG Open Data Portal,4c499f9c-af09-4bda-9bc1-6114efbc8a82,Dataset,
Polygon,2017-04-26T10:33:02Z,"ENVELOPE(-84.161655, -82.412549, 43.183855, 41.70893)","{""http://schema.org/downloadUrl"":""http://maps-semcog.opendata.arcgis.com/datasets/fc2641bd899441e2b63382b3c012feb8_0.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/edu.umich/68/ba/71/1dcbce4876bd104f5eea5d0ddb/iso19139.xml"",""http://schema.org/url"":""http://maps-semcog.opendata.arcgis.com/datasets/fc2641bd899441e2b63382b3c012feb8_0""}",Public,68ba711d-cbce-4876-bd10-4f5eea5d0ddb,Minnesota,"[u'Intelligence and Military', u'Transportation', u'Traffic']",The 2000 Traffic Analysis Zones (TAZs) for Southeast Michigan were created using the Michigan Geographic Framework (MGF) Census geography.,2015-10-05,2000,[u'Southeast Michigan Council of Governments'],68ba711d-cbce-4876-bd10-4f5eea5d0ddb,,41.70893 -84.161655 43.183855 -84.161655 43.183855 -82.412549 41.70893 -82.412549 41.70893 -84.161655,2000,[u'SEMCOG Open Data Portal'],68ba711d-cbce-4876-bd10-4f5eea5d0ddb,41.70893 -84.161655 43.183855 -82.412549,"Traffic Analysis Zones: Southeast Michigan, 2000",Shapefile,"[u'Southeast Michigan, United States', u'Michigan, United States']",SEMCOG Open Data Portal,68ba711d-cbce-4876-bd10-4f5eea5d0ddb,Dataset,
Polygon,2017-04-26T10:33:07Z,"ENVELOPE(-84.1617, -82.4123, 43.1838, 41.7089)","{""http://schema.org/downloadUrl"":""http://maps-semcog.opendata.arcgis.com/datasets/a2454ea6706c4f618ae6d0f61995223d_0.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/edu.umich/64/ca/b9/91703d40b2aadc47cd04d802f0/iso19139.xml"",""http://schema.org/url"":""http://maps-semcog.opendata.arcgis.com/datasets/a2454ea6706c4f618ae6d0f61995223d_0""}",Public,64cab991-703d-40b2-aadc-47cd04d802f0,Minnesota,"[u'Intelligence and Military', u'Transportation', u'Traffic']",The 2010 Traffic Analysis Zones (TAZs) for Southeast Michigan were created using the Michigan Geographic Framework (MGF) Census geography.,2015-10-12,2010,[u'Southeast Michigan Council of Governments'],64cab991-703d-40b2-aadc-47cd04d802f0,,41.7089 -84.1617 43.1838 -84.1617 43.1838 -82.4123 41.7089 -82.4123 41.7089 -84.1617,2010,[u'SEMCOG Open Data Portal'],64cab991-703d-40b2-aadc-47cd04d802f0,41.7089 -84.1617 43.1838 -82.4123,"Traffic Analysis Zones: Southeast Michigan, 2010",Shapefile,"[u'Southeast Michigan, United States', u'Michigan, United States']",SEMCOG Open Data Portal,64cab991-703d-40b2-aadc-47cd04d802f0,Dataset,
Polygon,2017-04-26T10:33:07Z,"ENVELOPE(-84.16166, -82.412299, 43.183854, 41.708942)","{""http://schema.org/downloadUrl"":""http://maps-semcog.opendata.arcgis.com/datasets/eaa8c4defb4d414b9bf196a4a9995c64_0.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/edu.umich/e2/8a/42/bd041e4acc94ac7719016a12c4/iso19139.xml"",""http://schema.org/url"":""http://maps-semcog.opendata.arcgis.com/datasets/eaa8c4defb4d414b9bf196a4a9995c64_0""}",Public,e28a42bd-041e-4acc-94ac-7719016a12c4,Minnesota,[u'Boundaries'],"County polygons extracted from version 15 of the Michigan Geographic Framework, but modified by SEMCOG to extend only to the region's shoreline.",2015-09-24,2016,[u'Southeast Michigan Council of Governments'],e28a42bd-041e-4acc-94ac-7719016a12c4,,41.708942 -84.16166 43.183854 -84.16166 43.183854 -82.412299 41.708942 -82.412299 41.708942 -84.16166,2016,[u'SEMCOG Open Data Portal'],e28a42bd-041e-4acc-94ac-7719016a12c4,41.708942 -84.16166 43.183854 -82.412299,"County Boundaries: Southeast Michigan, 2016",Shapefile,"[u'Southeast Michigan, United States', u'Michigan, United States']",SEMCOG Open Data Portal,e28a42bd-041e-4acc-94ac-7719016a12c4,Dataset,
Point,2017-04-26T10:33:03Z,"ENVELOPE(-83.052671, -83.039866, 42.335818, 42.325086)","{""http://schema.org/downloadUrl"":""http://maps-semcog.opendata.arcgis.com/datasets/20b20e88845a4b5e9633a868b7a2e635_0.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/edu.umich/74/69/43/8d1e594864ac3e5d7191c8aae4/iso19139.xml"",""http://schema.org/url"":""http://maps-semcog.opendata.arcgis.com/datasets/20b20e88845a4b5e9633a868b7a2e635_0""}",Public,7469438d-1e59-4864-ac3e-5d7191c8aae4,Minnesota,"[u'Transportation', u'Railroads', u'Public transit']",Detroit People Mover Stations,2015-09-17,2016,[u'Southeast Michigan Council of Governments'],7469438d-1e59-4864-ac3e-5d7191c8aae4,,42.325086 -83.052671 42.335818 -83.052671 42.335818 -83.039866 42.325086 -83.039866 42.325086 -83.052671,2016,[u'SEMCOG Open Data Portal'],7469438d-1e59-4864-ac3e-5d7191c8aae4,42.325086 -83.052671 42.335818 -83.039866,"People Mover Stations: Southeast Michigan, 2016",Shapefile,"[u'Southeast Michigan, United States', u'Michigan, United States']",SEMCOG Open Data Portal,7469438d-1e59-4864-ac3e-5d7191c8aae4,Dataset,
Polygon,2017-04-26T10:33:05Z,"ENVELOPE(-84.147551, -82.412564, 43.183822, 41.710946)","{""http://schema.org/downloadUrl"":""http://maps-semcog.opendata.arcgis.com/datasets/f7c1006ffdd74601a68e498f1851d782_0.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/edu.umich/ce/38/36/b1e19c487fbe26bf9514c5fd15/iso19139.xml"",""http://schema.org/url"":""http://maps-semcog.opendata.arcgis.com/datasets/f7c1006ffdd74601a68e498f1851d782_0""}",Public,ce3836b1-e19c-487f-be26-bf9514c5fd15,Minnesota,"[u'Society', u'Demographics']",All area in Southeast Michigan categorized as 'urban' by the Census Bureau following the 2010 census. This includes both urbanized areas and urban clusters. It is not the same thing as the adjusted census urban area/boundary (ACUA/ACUB). This is the TIGER version of the data.,2017-01-04,2010,[u'Southeast Michigan Council of Governments'],ce3836b1-e19c-487f-be26-bf9514c5fd15,,41.710946 -84.147551 43.183822 -84.147551 43.183822 -82.412564 41.710946 -82.412564 41.710946 -84.147551,2010,[u'SEMCOG Open Data Portal'],ce3836b1-e19c-487f-be26-bf9514c5fd15,41.710946 -84.147551 43.183822 -82.412564,"Census Urban Area: Southeast Michigan, 2010",Shapefile,"[u'Southeast Michigan, United States', u'Michigan, United States']",SEMCOG Open Data Portal,ce3836b1-e19c-487f-be26-bf9514c5fd15,Dataset,
Polygon,2017-04-26T10:33:03Z,"ENVELOPE(-84.161655, -82.412548, 43.183855, 41.70893)","{""http://schema.org/downloadUrl"":""http://maps-semcog.opendata.arcgis.com/datasets/c4612a72d7854d948e103d139c27b662_0.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/edu.umich/e5/08/29/8e9dee40f6a4f27bd5e6037473/iso19139.xml"",""http://schema.org/url"":""http://maps-semcog.opendata.arcgis.com/datasets/c4612a72d7854d948e103d139c27b662_0""}",Public,e508298e-9dee-40f6-a4f2-7bd5e6037473,Minnesota,"[u'Society', u'Demographics']",2000 Census Block Groups,2015-10-05,2000,[u'Southeast Michigan Council of Governments'],e508298e-9dee-40f6-a4f2-7bd5e6037473,,41.70893 -84.161655 43.183855 -84.161655 43.183855 -82.412548 41.70893 -82.412548 41.70893 -84.161655,2000,[u'SEMCOG Open Data Portal'],e508298e-9dee-40f6-a4f2-7bd5e6037473,41.70893 -84.161655 43.183855 -82.412548,"Census Block Groups: Southeast Michigan, 2000",Shapefile,"[u'Southeast Michigan, United States', u'Michigan, United States']",SEMCOG Open Data Portal,e508298e-9dee-40f6-a4f2-7bd5e6037473,Dataset,
Polygon,2017-04-26T10:33:05Z,"ENVELOPE(-83.010117, -82.412356, 43.175836, 42.514515)","{""http://schema.org/downloadUrl"":""http://maps-semcog.opendata.arcgis.com/datasets/91a9d36f821a47dda6a917788e6cb1d7_0.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/edu.umich/19/02/bb/80967b49178fd370377b54486f/iso19139.xml"",""http://schema.org/url"":""http://maps-semcog.opendata.arcgis.com/datasets/91a9d36f821a47dda6a917788e6cb1d7_0""}",Public,1902bb80-967b-4917-8fd3-70377b54486f,Minnesota,"[u'Geoscientific Information', u'Inland Waters', u'Pedology']",This data set is a digital soil survey developed by the National Resource Conservation Service.,2016-11-30,2016,[u'Southeast Michigan Council of Governments'],1902bb80-967b-4917-8fd3-70377b54486f,,42.514515 -83.010117 43.175836 -83.010117 43.175836 -82.412356 42.514515 -82.412356 42.514515 -83.010117,2016,[u'SEMCOG Open Data Portal'],1902bb80-967b-4917-8fd3-70377b54486f,42.514515 -83.010117 43.175836 -82.412356,"Soils - St. Clair County: Southeast Michigan, 2016",Shapefile,"[u'Southeast Michigan, United States', u'Michigan, United States']",SEMCOG Open Data Portal,1902bb80-967b-4917-8fd3-70377b54486f,Dataset,
Polygon,2017-04-26T10:33:06Z,"ENVELOPE(-83.557191, -82.869848, 42.457928, 42.025534)","{""http://schema.org/downloadUrl"":""http://maps-semcog.opendata.arcgis.com/datasets/cd4067ef8245434cae90217602652382_0.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/edu.umich/1c/b1/e3/477c7149b3852ef9b289b7047f/iso19139.xml"",""http://schema.org/url"":""http://maps-semcog.opendata.arcgis.com/datasets/cd4067ef8245434cae90217602652382_0""}",Public,1cb1e347-7c71-49b3-852e-f9b289b7047f,Minnesota,"[u'Geoscientific Information', u'Pedology']",This data set is a digital soil survey developed by the National Resource Conservation Service.,2016-11-30,2016,[u'Southeast Michigan Council of Governments'],1cb1e347-7c71-49b3-852e-f9b289b7047f,,42.025534 -83.557191 42.457928 -83.557191 42.457928 -82.869848 42.025534 -82.869848 42.025534 -83.557191,2016,[u'SEMCOG Open Data Portal'],1cb1e347-7c71-49b3-852e-f9b289b7047f,42.025534 -83.557191 42.457928 -82.869848,"Soils - Wayne County: Southeast Michigan, 2016",Shapefile,"[u'Southeast Michigan, United States', u'Michigan, United States']",SEMCOG Open Data Portal,1cb1e347-7c71-49b3-852e-f9b289b7047f,Dataset,
