layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Raster,2017-06-07T17:50:32Z,"ENVELOPE(-86.926018, -86.907207, 40.437783, 40.415658)","{""http://schema.org/downloadUrl"":""https://mapsweb.lib.purdue.edu/datasets/HistoricCampus/1945.tif.zip"",""http://schema.org/url"":""https://mapsweb.lib.purdue.edu/arcgis/rest/services/Purdue/campus_history/ImageServer/"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/5a/1e/3b/26c9d40c0b5576678c3938c97/iso19139.xml""}",Public,5a71e3b2-6c9d-40c0-b557-6678c3938c97,Purdue,"[u'Imagery and Base Maps', u'Maps', u'Universities', u'Campuses']","The Purdue historical campus map collection was scanned and georeferenced by Purdue University Libraries. The physical maps were collected as Purdue University Campus Maps collection, located in the Virgina Kelly Karnes Archives and Special Collections, Purdue University Libraries. The collection details the growth of the Purdue University campus through the numerous campus maps, beginning with 1874 and ending with the most recent map. The map collection also provides an assortment of maps which focus on the unique features on campus. Copies of many of the campus maps can also be viewed via the Purdue University Libraries e-Archives: http://earchives.lib.purdue.edu/",2015-10-30,1945,[u'Purdue University Libraries'],5a71e3b2-6c9d-40c0-b557-6678c3938c97,,40.415658 -86.926018 40.437783 -86.926018 40.437783 -86.907207 40.415658 -86.907207 40.415658 -86.926018,1945,[u'Purdue University Libraries'],,40.415658 -86.926018 40.437783 -86.907207,"Purdue Campus: West Lafayette, Indiana, 1945",Raster Dataset,"[u'Indiana, United States']",Purdue Georeferenced Imagery,5a71e3b2-6c9d-40c0-b557-6678c3938c97,Dataset,
Raster,2017-06-07T17:50:35Z,"ENVELOPE(-86.924652, -86.90952, 40.439252, 40.417673)","{""http://schema.org/url"":""https://mapsweb.lib.purdue.edu/arcgis/rest/services/Purdue/campus_history/ImageServer/"",""http://schema.org/downloadUrl"":""https://mapsweb.lib.purdue.edu/datasets/HistoricCampus/1926.tif.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/cc/09/93/09e1f4a16ad9b4b2965673c73/iso19139.xml""}",Public,cc609930-9e1f-4a16-ad9b-4b2965673c73,Purdue,"[u'Imagery and Base Maps', u'Maps', u'Universities', u'Campuses']","The Purdue historical campus map collection was scanned and georeferenced by Purdue University Libraries. The physical maps were collected as Purdue University Campus Maps collection, located in the Virgina Kelly Karnes Archives and Special Collections, Purdue University Libraries. The collection details the growth of the Purdue University campus through the numerous campus maps, beginning with 1874 and ending with the most recent map. The map collection also provides an assortment of maps which focus on the unique features on campus. Copies of many of the campus maps can also be viewed via the Purdue University Libraries e-Archives: http://earchives.lib.purdue.edu/",2015-10-28,1926,[u'Purdue University Libraries'],cc609930-9e1f-4a16-ad9b-4b2965673c73,,40.417673 -86.924652 40.439252 -86.924652 40.439252 -86.90952 40.417673 -86.90952 40.417673 -86.924652,1926,[u'Purdue University Libraries'],,40.417673 -86.924652 40.439252 -86.90952,"Purdue Campus: West Lafayette, Indiana, 1926",Raster Dataset,"[u'Indiana, United States', u'Tippecano County, Indiana, United States', u'Wabash River, Indiana, United States']",Purdue Georeferenced Imagery,cc609930-9e1f-4a16-ad9b-4b2965673c73,Dataset,
Raster,2017-06-07T17:50:35Z,"ENVELOPE(-87.490152, -87.344088, 40.013074, 39.937808)","{""http://schema.org/downloadUrl"":""https://mapsweb.lib.purdue.edu/datasets/Wabash1929/wabashAerial_22.tif.zip"",""http://schema.org/url"":""https://mapsweb.lib.purdue.edu/wabashriver/"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/35/e8/e1/4450b4daeae199b853afd7428/iso19139.xml""}",Public,35be8e14-450b-4dae-ae19-9b853afd7428,Purdue,"[u'Imagery and Base Maps', u'Aerial']","The maps represented here are the raster orthophoto set of aerial and topo collected by remote sensing of 25 aerial images and maps on tiff files owned by EAS library. Each aerial image was up to 450MB, 400dpi, grayscale. The topos were scanned in color and are up to 550MB each. These images can be viewed and performed in the using either ArcGIS Desktop or QGIS (user choice), referencing against a number of known mapsets like the 2005 Indiana Orthophoto setand USGS DRGs. The geographic coordinate system reference of the maps included are applied in GCS_WGS_1984.",2015-11-02,1929,[u'Purdue University Libraries'],35be8e14-450b-4dae-ae19-9b853afd7428,,39.937808 -87.490152 40.013074 -87.490152 40.013074 -87.344088 39.937808 -87.344088 39.937808 -87.490152,1929,[u'Purdue University Libraries'],,39.937808 -87.490152 40.013074 -87.344088,"Wabash Aerial (22): Indiana, 1929",Raster Dataset,"[u'Indiana, United States']",Purdue Georeferenced Imagery,35be8e14-450b-4dae-ae19-9b853afd7428,Dataset,
Raster,2017-06-07T17:50:21Z,"ENVELOPE(-86.926084, -86.895724, 40.43958, 40.415386)","{""http://schema.org/downloadUrl"":""https://mapsweb.lib.purdue.edu/datasets/HistoricCampus/1924.tif.zip"",""http://schema.org/url"":""https://mapsweb.lib.purdue.edu/arcgis/rest/services/Purdue/campus_history/ImageServer/"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/20/52/28/01e204eb2ba685457e16da383/iso19139.xml""}",Public,20f52280-1e20-4eb2-ba68-5457e16da383,Purdue,"[u'Imagery and Base Maps', u'Maps', u'Universities', u'Campuses']","The Purdue historical campus map collection was scanned and georeferenced by Purdue University Libraries. The physical maps were collected as Purdue University Campus Maps collection, located in the Virgina Kelly Karnes Archives and Special Collections, Purdue University Libraries. The collection details the growth of the Purdue University campus through the numerous campus maps, beginning with 1874 and ending with the most recent map. The map collection also provides an assortment of maps which focus on the unique features on campus. Copies of many of the campus maps can also be viewed via the Purdue University Libraries e-Archives: http://earchives.lib.purdue.edu/",2015-10-30,1924,[u'Purdue University Libraries'],20f52280-1e20-4eb2-ba68-5457e16da383,,40.415386 -86.926084 40.43958 -86.926084 40.43958 -86.895724 40.415386 -86.895724 40.415386 -86.926084,1924,[u'Purdue University Libraries'],,40.415386 -86.926084 40.43958 -86.895724,"Purdue Campus: West Lafayette, Indiana, 1924",Raster Dataset,"[u'Indiana, United States']",Purdue Georeferenced Imagery,20f52280-1e20-4eb2-ba68-5457e16da383,Dataset,
Raster,2017-06-07T17:50:33Z,"ENVELOPE(-87.324704, -87.174404, 40.310695, 40.233691)","{""http://schema.org/downloadUrl"":""https://mapsweb.lib.purdue.edu/datasets/Wabash1929/wabash_topo_27.tif.zip"",""http://schema.org/url"":""https://mapsweb.lib.purdue.edu/wabashriver/"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/32/53/ed/68d8346928a06bf13ffe2c018/iso19139.xml""}",Public,32653ed6-8d83-4692-8a06-bf13ffe2c018,Purdue,"[u'Imagery and Base Maps', u'Maps', u'Topography']","The maps represented here are the raster orthophoto set of aerial and topo collected by remote sensing of 25 aerial images and maps on tiff files owned by EAS library. Each aerial image was up to 450MB, 400dpi, grayscale. The topos were scanned in color and are up to 550MB each. These images can be viewed and performed in the using either ArcGIS Desktop or QGIS (user choice), referencing against a number of known mapsets like the 2005 Indiana Orthophoto setand USGS DRGs. The geographic coordinate system reference of the maps included are applied in GCS_WGS_1984.",2015-10-31,1929,[u'Purdue University Libraries'],32653ed6-8d83-4692-8a06-bf13ffe2c018,,40.233691 -87.324704 40.310695 -87.324704 40.310695 -87.174404 40.233691 -87.174404 40.233691 -87.324704,1929,[u'Purdue University Libraries'],,40.233691 -87.324704 40.310695 -87.174404,"Wabash Topo (27): Indiana, 1929",Raster Dataset,"[u'Indiana, United States']",Purdue Georeferenced Imagery,32653ed6-8d83-4692-8a06-bf13ffe2c018,Dataset,88cc9b19-3294-4da9-9edd-775c81fb1c59
Raster,2017-06-07T18:30:08Z,"ENVELOPE(-87.411494, -87.323145, 39.808629, 39.735086)","{""http://schema.org/downloadUrl"":""https://mapsweb.lib.purdue.edu/datasets/Wabash1929/wabashAerial_19.tif.zip"",""http://schema.org/url"":""https://mapsweb.lib.purdue.edu/wabashriver/"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/c1/12/45/9b9a045fbb58f3550e924b55c/iso19139.xml""}",Public,c1612459-b9a0-45fb-b58f-3550e924b55c,Purdue,"[u'Imagery and Base Maps', u'Aerial']","The maps represented here are the raster orthophoto set of aerial and topo collected by remote sensing of 25 aerial images and maps on tiff files owned by EAS library. Each aerial image was up to 450MB, 400dpi, grayscale. The topos were scanned in color and are up to 550MB each. These images can be viewed and performed in the using either ArcGIS Desktop or QGIS (user choice), referencing against a number of known mapsets like the 2005 Indiana Orthophoto setand USGS DRGs. The geographic coordinate system reference of the maps included are applied in GCS_WGS_1984.",2015-10-30,1929,[u'Purdue University Libraries'],c1612459-b9a0-45fb-b58f-3550e924b55c,,39.735086 -87.411494 39.808629 -87.411494 39.808629 -87.323145 39.735086 -87.323145 39.735086 -87.411494,1929,[u'Purdue University Libraries'],,39.735086 -87.411494 39.808629 -87.323145,"Wabash Aerial (19): Indiana, 1929",Raster Dataset,"[u'Indiana, United States', u'West Lafayette, Indiana, United States']",Purdue Georeferenced Imagery,c1612459-b9a0-45fb-b58f-3550e924b55c,,
Raster,2017-06-07T18:31:01Z,"ENVELOPE(-86.916802, -86.91187, 40.427153, 40.424206)","{""http://schema.org/downloadUrl"":""https://mapsweb.lib.purdue.edu/datasets/HistoricCampus/1893.tif.zip"",""http://schema.org/url"":""https://mapsweb.lib.purdue.edu/arcgis/rest/services/Purdue/campus_history/ImageServer/"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/43/8f/a4/7771e4be28f9bb231e3ea35d7/iso19139.xml""}",Public,4358fa47-771e-4be2-8f9b-b231e3ea35d7,Purdue,"[u'Imagery and Base Maps', u'Maps', u'Universities', u'Campuses']","The Purdue historical campus map collection was scanned and georeferenced by Purdue University Libraries. The physical maps were collected as Purdue University Campus Maps collection, located in the Virgina Kelly Karnes Archives and Special Collections, Purdue University Libraries. The collection details the growth of the Purdue University campus through the numerous campus maps, beginning with 1874 and ending with the most recent map. The map collection also provides an assortment of maps which focus on the unique features on campus. Copies of many of the campus maps can also be viewed via the Purdue University Libraries e-Archives: http://earchives.lib.purdue.edu/",2015-10-24,1893,[u'Purdue University Libraries'],4358fa47-771e-4be2-8f9b-b231e3ea35d7,,40.424206 -86.916802 40.427153 -86.916802 40.427153 -86.91187 40.424206 -86.91187 40.424206 -86.916802,1893,[u'Purdue University Libraries'],,40.424206 -86.916802 40.427153 -86.91187,"Purdue Campus: West Lafayette, Indiana, 1893",Raster Dataset,"[u'Indiana, United States']",Purdue Georeferenced Imagery,4358fa47-771e-4be2-8f9b-b231e3ea35d7,,
Raster,2017-06-07T17:50:23Z,"ENVELOPE(-86.922061, -86.909241, 40.428928, 40.422269)","{""http://schema.org/downloadUrl"":""https://mapsweb.lib.purdue.edu/datasets/HistoricCampus/1910.tif.zip"",""http://schema.org/url"":""https://mapsweb.lib.purdue.edu/arcgis/rest/services/Purdue/campus_history/ImageServer/"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/f9/ed/4e/a910a4786babfbc3043696aae/iso19139.xml""}",Public,f99ed4ea-910a-4786-babf-bc3043696aae,Purdue,"[u'Imagery and Base Maps', u'Maps', u'Universities', u'Campuses']","The Purdue historical campus map collection was scanned and georeferenced by Purdue University Libraries. The physical maps were collected as Purdue University Campus Maps collection, located in the Virgina Kelly Karnes Archives and Special Collections, Purdue University Libraries. The collection details the growth of the Purdue University campus through the numerous campus maps, beginning with 1874 and ending with the most recent map. The map collection also provides an assortment of maps which focus on the unique features on campus. Copies of many of the campus maps can also be viewed via the Purdue University Libraries e-Archives: http://earchives.lib.purdue.edu/",2015-10-30,1910,[u'Purdue University Libraries'],f99ed4ea-910a-4786-babf-bc3043696aae,,40.422269 -86.922061 40.428928 -86.922061 40.428928 -86.909241 40.422269 -86.909241 40.422269 -86.922061,1910,[u'Purdue University Libraries'],,40.422269 -86.922061 40.428928 -86.909241,"Purdue Campus: West Lafayette, Indiana, 1910",Raster Dataset,"[u'Indiana, United States']",Purdue Georeferenced Imagery,f99ed4ea-910a-4786-babf-bc3043696aae,Dataset,
Raster,2017-06-07T17:50:33Z,"ENVELOPE(-87.275806, -87.126406, 40.360896, 40.284297)","{""http://schema.org/downloadUrl"":""https://mapsweb.lib.purdue.edu/datasets/Wabash1929/wabash_topo_28.tif.zip"",""http://schema.org/url"":""https://mapsweb.lib.purdue.edu/wabashriver/"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/a5/e3/d9/785d044c5b08f517e39176e74/iso19139.xml""}",Public,a58e3d97-85d0-44c5-b08f-517e39176e74,Purdue,"[u'Imagery and Base Maps', u'Maps', u'Topography']","The maps represented here are the raster orthophoto set of aerial and topo collected by remote sensing of 25 aerial images and maps on tiff files owned by EAS library. Each aerial image was up to 450MB, 400dpi, grayscale. The topos were scanned in color and are up to 550MB each. These images can be viewed and performed in the using either ArcGIS Desktop or QGIS (user choice), referencing against a number of known mapsets like the 2005 Indiana Orthophoto setand USGS DRGs. The geographic coordinate system reference of the maps included are applied in GCS_WGS_1984.",2015-10-31,1929,[u'Purdue University Libraries'],a58e3d97-85d0-44c5-b08f-517e39176e74,,40.284297 -87.275806 40.360896 -87.275806 40.360896 -87.126406 40.284297 -87.126406 40.284297 -87.275806,1929,[u'Purdue University Libraries'],,40.284297 -87.275806 40.360896 -87.126406,"Wabash Topo (28): Indiana, 1929",Raster Dataset,"[u'Indiana, United States']",Purdue Georeferenced Imagery,a58e3d97-85d0-44c5-b08f-517e39176e74,Dataset,88cc9b19-3294-4da9-9edd-775c81fb1c59
Raster,2017-06-07T17:50:21Z,"ENVELOPE(-86.924984, -86.909208, 40.439755, 40.416968)","{""http://schema.org/downloadUrl"":""https://mapsweb.lib.purdue.edu/datasets/HistoricCampus/1925.tif.zip"",""http://schema.org/url"":""https://mapsweb.lib.purdue.edu/arcgis/rest/services/Purdue/campus_history/ImageServer/"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/5f/9e/3d/151d64fa8946ffe1af7d41588/iso19139.xml""}",Public,5f79e3d1-51d6-4fa8-946f-fe1af7d41588,Purdue,"[u'Imagery and Base Maps', u'Maps', u'Universities', u'Campuses']","The Purdue historical campus map collection was scanned and georeferenced by Purdue University Libraries. The physical maps were collected as Purdue University Campus Maps collection, located in the Virgina Kelly Karnes Archives and Special Collections, Purdue University Libraries. The collection details the growth of the Purdue University campus through the numerous campus maps, beginning with 1874 and ending with the most recent map. The map collection also provides an assortment of maps which focus on the unique features on campus. Copies of many of the campus maps can also be viewed via the Purdue University Libraries e-Archives: http://earchives.lib.purdue.edu/",2015-10-30,1925,[u'Purdue University Libraries'],5f79e3d1-51d6-4fa8-946f-fe1af7d41588,,40.416968 -86.924984 40.439755 -86.924984 40.439755 -86.909208 40.416968 -86.909208 40.416968 -86.924984,1925,[u'Purdue University Libraries'],,40.416968 -86.924984 40.439755 -86.909208,"Purdue Campus: West Lafayette, Indiana, 1925",Raster Dataset,"[u'Indiana, United States']",Purdue Georeferenced Imagery,5f79e3d1-51d6-4fa8-946f-fe1af7d41588,Dataset,
