layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Polygon,2017-02-24T11:20:51Z,"ENVELOPE(-89.875, -89.75, 30.5, 30.375)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1213"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/b8/e3/8c/4302ad426fb2ffe8f81d201750/iso19139.xml""}",Public,b8e38c43-02ad-426f-b2ff-e8f81d201750,Penn State,"[u'Geoscientific Information', u'Environment', u'Inland Waters']","NWI (National Wetlands Inventory) digital data files are records of wetlands location and classification as defined by the U.S. Fish & Wildlife Service. This dataset is one of a series available in 7.5 minuute by 7.5 minute blocks containing ground planimetric coordinates of wetlands point, line, and area features and wetlands attributes. When completed, the series will provide coverage for all of the contiguous United States, Hawaii, Alaska, and U.S. protectorates in the Pacific and Caribbean. The digital data as well as the hardcopy maps that were used as the source for the digital data are produced and distributed by the U.S. Fish & Wildlife Service's National Wetlands Inventory project. This data set is derived from the national coverage and only includes the area within the boundary of Allegheny County.",1999-12-31,2000,[u'Allegheny County Division of Computer Services Geographic Information Systems Group'],b8e38c43-02ad-426f-b2ff-e8f81d201750,,30.375 -89.875 30.5 -89.875 30.5 -89.75 30.375 -89.75 30.375 -89.875,2000,[u'Allegheny County Division of Computer Services Geographic Information Systems Group'],b8e38c43-02ad-426f-b2ff-e8f81d201750,30.375 -89.875 30.5 -89.75,"Allegheny County - NWI (National Wetlands Inventory): Pennsylvania, 2000",File,"[u'Allegheny County, Pennsylvania, United States', u'Pennsylvania, United States']",Pennsylvania Spatial Data Access (PASDA),b8e38c43-02ad-426f-b2ff-e8f81d201750,Dataset,
Mixed,2016-08-01T13:58:45Z,"ENVELOPE(-80.24029, -75.1794, 41.80306, 39.72305)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=983"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/a9/9d/bc/57cd444ddab820ef75d8f48a8b/iso19139.xml""}",Public,a99dbc57-cd44-4dda-b820-ef75d8f48a8b,Penn State,[u'Inland Waters'],"This layer contains flowing waters from the Pennsylvania Fish and Boat Commission Fisheries Resource Database that are under the Wilderness Trout Designation. Wilderness trout stream management is based upon the provision of a wild trout fishing experience in a remote, natural and unspoiled environment where man's disruptive activities are minimized. Established in 1969, this option was designed to protect and promote native (brook trout) fisheries, the ecological requirements necessary for natural reproduction of trout and wilderness aesthetics. The superior quality of these watersheds is considered an important part of the overall angling experience on wilderness trout streams. Therefore, all stream sections included in this program qualify for the Exceptional Value (EV) special protected water use classification, which represents the highest protection status provided by the Department of Environmental Protection (DEP).",2015-06-01,2015,[u'Pennsylvania Fish and Boat Commission'],a99dbc57-cd44-4dda-b820-ef75d8f48a8b,,39.72305 -80.24029 41.80306 -80.24029 41.80306 -75.1794 39.72305 -75.1794 39.72305 -80.24029,2015,,a99dbc57-cd44-4dda-b820-ef75d8f48a8b,39.72305 -80.24029 41.80306 -75.1794,"Wilderness Trout Streams: Pennsylvania, 2015",File,"[u'Philadelphia, Pennsylvania, United States', u'Pennsylvania, United States']",Pennsylvania Spatial Data Access (PASDA),a99dbc57-cd44-4dda-b820-ef75d8f48a8b,Dataset,
Mixed,2016-08-01T13:58:34Z,"ENVELOPE(-80.20235, -76.12998, 41.62542, 40.02327)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=987"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/94/ff/18/4bf98e494cbd64cd7de71c28a8/iso19139.xml""}",Public,94ff184b-f98e-494c-bd64-cd7de71c28a8,Penn State,[u'Inland Waters'],Regional Pennsylvania Fish and Boat Commission Bureau of Law Enforcement office locations.,2012-12-01,2012,[u'Pennsylvania Fish and Boat Commission'],94ff184b-f98e-494c-bd64-cd7de71c28a8,,40.02327 -80.20235 41.62542 -80.20235 41.62542 -76.12998 40.02327 -76.12998 40.02327 -80.20235,2012,,94ff184b-f98e-494c-bd64-cd7de71c28a8,40.02327 -80.20235 41.62542 -76.12998,"Regional Headquarters: Pennsylvania, 2012",File,"[u'Pennsylvania, United States']",Pennsylvania Spatial Data Access (PASDA),94ff184b-f98e-494c-bd64-cd7de71c28a8,Dataset,
Polygon,2016-09-02T15:12:15Z,"ENVELOPE(-88.5, -73, 45, 32)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1352"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/c5/57/39/9ee86b49d4b5590497219b5904/iso19139.xml""}",Public,c557399e-e86b-49d4-b559-0497219b5904,Penn State,"[u'Geoscientific Information', u'Natural resources', u'Oil and gas', u'Energy', u'Geology']","The Assessment Unit is the fundamental unit used in the National Assessment Project for the assessment of undiscovered oil and gas resources. The Assessment Unit is defined within the context of the higher-level Total Petroleum System. The Assessment Unit is shown here as a geographic boundary interpreted, defined, and mapped by the geologist responsible for the province and incorporates a set of known or postulated oil and (or) gas accumulations sharing similar geologic, geographic, and temporal properties within the Total Petroleum System, such as source rock, timing, migration pathways, trapping mechanism, and hydrocarbon type. The Assessment Unit boundary is defined geologically as the limits of the geologic elements that define the Assessment Unit, such as limits of reservoir rock, geologic structures, source rock, and seal lithologies. The only exceptions to this are Assessment Units that border the Federal-State water boundary. In these cases, the Federal-State water boundary forms part of the Assessment Unit boundary.",2002-01-01,2002,[u'United States Geological Survey (USGS)'],c557399e-e86b-49d4-b559-0497219b5904,,32 -88.5 45 -88.5 45 -73 32 -73 32 -88.5,2002,"[u'U. S. Geological Survey, Central Energy Resources Team']",c557399e-e86b-49d4-b559-0497219b5904,32 -88.5 45 -73,"Oriskany Sandstone Structural Assessment Unit - National Assessment of Oil and Gas Project: Appalachian Basin Province, 2002",File,"[u'Appalachian Basin, United States']",Pennsylvania Spatial Data Access (PASDA),c557399e-e86b-49d4-b559-0497219b5904,Dataset,
Mixed,2016-08-01T13:58:05Z,"ENVELOPE(-80.519895, -74.689502, 42.516072, 39.719799)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=3100"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/80/d6/22/c49bb846e6b8852a66ce721aa4/iso19139.xml""}",Public,80d622c4-9bb8-46e6-b885-2a66ce721aa4,Penn State,"[u'Boundaries', u'Demographics', u'Census']","The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database. The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts. However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.",2009-01-01,2009,"[u'U.S. Department of Commerce, U.S. Census Bureau, Geography Division']",80d622c4-9bb8-46e6-b885-2a66ce721aa4,,39.719799 -80.519895 42.516072 -80.519895 42.516072 -74.689502 39.719799 -74.689502 39.719799 -80.519895,2009,,80d622c4-9bb8-46e6-b885-2a66ce721aa4,39.719799 -80.519895 42.516072 -74.689502,"TIGER/Line Shapefile, 2000 state, Census 2000 State Legislative District (SLD) Lower Chamber: Pennsylvania, 2009",File,"[u'Pennsylvania, United States']",Pennsylvania Spatial Data Access (PASDA),80d622c4-9bb8-46e6-b885-2a66ce721aa4,Dataset,
Mixed,2016-09-02T15:12:28Z,"ENVELOPE(-80.295455, -74.664895, 42.210218, 39.694794)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=918"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/07/88/b2/a4916943cf9f7c7cffb2f87135/iso19139.xml""}",Public,0788b2a4-9169-43cf-9f7c-7cffb2f87135,Penn State,[u'Health'],These polygons represent 45-minute drive-time polygons to Pennsylvania's trauma hospitals (accredited by the PA Trauma Systems Foundation).,2012-09-02,2012,,0788b2a4-9169-43cf-9f7c-7cffb2f87135,,39.694794 -80.295455 42.210218 -80.295455 42.210218 -74.664895 39.694794 -74.664895 39.694794 -80.295455,2012,,0788b2a4-9169-43cf-9f7c-7cffb2f87135,39.694794 -80.295455 42.210218 -74.664895,"DOH Trauma Hospitals 45Min Drive Time Polygons: Pennsylvania, 2012",File,"[u'Pennsylvania, United States']",Pennsylvania Spatial Data Access (PASDA),0788b2a4-9169-43cf-9f7c-7cffb2f87135,Dataset,
Mixed,2016-08-01T13:59:05Z,"ENVELOPE(-80.276499, -76.257668, 41.469053, 39.963074)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=261"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/06/af/6c/acb18a49c9b22544b483a6e4d0/iso19139.xml""}",Public,06af6cac-b18a-49c9-b225-44b483a6e4d0,Penn State,"[u'Economy', u'Structure', u'Environment', u'Geoscientific Information', u'Mining']",Areas of PA that are unsuitable for mining purposes,2013-06-01,2013,[u'Pennsylvania Department of Environmental Protection'],06af6cac-b18a-49c9-b225-44b483a6e4d0,,39.963074 -80.276499 41.469053 -80.276499 41.469053 -76.257668 39.963074 -76.257668 39.963074 -80.276499,2013,[u'Pennsylvania Department of Environmental Protection'],06af6cac-b18a-49c9-b225-44b483a6e4d0,39.963074 -80.276499 41.469053 -76.257668,"Areas Designated Unsuitable For Mining: Pennsylvania, 2013",File,"[u'Pennsylvania, United States']",Pennsylvania Spatial Data Access (PASDA),06af6cac-b18a-49c9-b225-44b483a6e4d0,Dataset,
Mixed,2016-09-02T15:11:21Z,"ENVELOPE(-79.741651, -76.788612, 41.847213, 39.721158)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1595"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/d1/74/0f/777a564cd79dbc81cfbc4845a0/iso19139.xml""}",Public,d1740f77-7a56-4cd7-9dbc-81cfbc4845a0,Penn State,"[u'Geoscientific Information', u'Environment', u'Planning and Cadastral', u'Ownership', u'Tracts', u'Gas', u'Geoscientific information', u'Minerals', u'Planning and cadastral']","Representation of mineral rights, leased tracts, etc. on lands managed by the Bureau of Forestry as of December 31, 2012. Updates to this dataset are ongoing and this data is not intended to be a legal representation of ownership. This data may contain inaccuracies or incomplete information. This dataset includes ownership information where a NtractN number has been assigned by the Bureau of Forestry (leased tracts and severed rights lands where the ownership of said rights has been verified). This dataset was created from several different datasets of unknown lineage. The boundaries do not exactly match the Bureau of Forestrys state forest boundary data. It is an estimate of the boundaries only and is not intended to be a legal description or depiction of boundaries. This data may contain inaccuracies or incomplete information.Ownership Type Code Values: 1=Leased Tract, 5=All Oil and Gas - No Lease, 6=Other or Unknown, 2=Severed Right, 3=Leased Storage, 7=Fee Simple - Not Leased",2014-09-02,2014,,d1740f77-7a56-4cd7-9dbc-81cfbc4845a0,,39.721158 -79.741651 41.847213 -79.741651 41.847213 -76.788612 39.721158 -76.788612 39.721158 -79.741651,2014,,d1740f77-7a56-4cd7-9dbc-81cfbc4845a0,39.721158 -79.741651 41.847213 -76.788612,"Infrastructure Report Geodatabase - Ownership data as of December 2012: Pennsylvania, 2014",File,"[u'Pennsylvania, United States']",Pennsylvania Spatial Data Access (PASDA),d1740f77-7a56-4cd7-9dbc-81cfbc4845a0,Dataset,
Mixed,2016-08-01T13:59:42Z,"ENVELOPE(-80.519349, -74.689583, 42.269479, 39.71986)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=41"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/03/51/cf/c817174f3aab85a114f78f9935/iso19139.xml""}",Public,0351cfc8-1717-4f3a-ab85-a114f78f9935,Penn State,[u'Boundaries'],"Boundaries of municipalities within Pennsylvania as delineated for the PennDOT Type 10 general highway maps. Additional information comes from the Pennsylvania Bureau of Municipal Services. This layer contains all classifications of municipality including first and second class townships, boroughs, cities and the town. The shape file reflects a name change from Osborne borough to Glen Osborne borough in Allegheny county and a name change from Abington Township to Waverly Township in Lackawanna county. The shape file also reflects various municipal boundary line tweaks that have occurred since the 2011_01 update.",2016-01-01,2016,"[u'Pennsylvania Department of Transportation, Bureau of Planning and Research, Cartographic Information Division']",0351cfc8-1717-4f3a-ab85-a114f78f9935,,39.71986 -80.519349 42.269479 -80.519349 42.269479 -74.689583 39.71986 -74.689583 39.71986 -80.519349,2016,[u'Pennsylvania Department of Transportation'],0351cfc8-1717-4f3a-ab85-a114f78f9935,39.71986 -80.519349 42.269479 -74.689583,"Municipality Boundaries: Pennsylvania, 2016",File,"[u'Pennsylvania, United States']",Pennsylvania Spatial Data Access (PASDA),0351cfc8-1717-4f3a-ab85-a114f78f9935,Dataset,
Point,2016-09-02T15:11:18Z,"ENVELOPE(-80.384538, -75.03949, 42.11649, 40.087835)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=913"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/02/a7/e4/c413c54df9aa935a5701ee1034/iso19139.xml""}",Public,02a7e4c4-13c5-4df9-aa93-5a5701ee1034,Penn State,[u'Health'],PA Portable X-ray from the PA Dept of Health's quality assurance database. Current as of 1/5/2012.,2012-09-02,2012,,02a7e4c4-13c5-4df9-aa93-5a5701ee1034,,40.087835 -80.384538 42.11649 -80.384538 42.11649 -75.03949 40.087835 -75.03949 40.087835 -80.384538,2012,,02a7e4c4-13c5-4df9-aa93-5a5701ee1034,40.087835 -80.384538 42.11649 -75.03949,"Portable Xray: Pennsylvania, 2012",File,"[u'Pennsylvania, United States']",Pennsylvania Spatial Data Access (PASDA),02a7e4c4-13c5-4df9-aa93-5a5701ee1034,Dataset,
