layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Polygon,2017-03-10T15:33:27Z,"ENVELOPE(-89.227867, -88.605021, 44.680936, 44.24202)","{""http://schema.org/url"":""http://www.co.waupaca.wi.us/departments/land_information/index.php"",""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Waupaca_Zoning_2015.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/78/22/c9/2921e649248afb8fbb493d0589/iso19139.xml""}",Public,7822c929-21e6-4924-8afb-8fbb493d0589,Wisconsin,"[u'Planning and Cadastral', u'Zoning']","This polygon data layer represents zoning for Waupaca County, Wisconsin in 2015. It is a feature class within the geodatabase, Waupaca_Zoning_2015.gdb. [Rural zoning districts for townships that fall under Waupaca County Zoning. Zoning data is tax parcel based.]",2015-05-09,2015,[u'Waupaca County Land Information Office'],7822c929-21e6-4924-8afb-8fbb493d0589,,44.24202 -89.227867 44.680936 -89.227867 44.680936 -88.605021 44.24202 -88.605021 44.24202 -89.227867,2015,[u'Waupaca County Land Information Office'],7822c929-21e6-4924-8afb-8fbb493d0589,44.24202 -89.227867 44.680936 -88.605021,"Zoning Waupaca County, Wisconsin, 2015",Geodatabase,"[u'Waupaca County, Wisconsin, United States', u'Wisconsin, United States']",Wisconsin Counties Open Data,7822c929-21e6-4924-8afb-8fbb493d0589,Dataset,
Polygon,2017-03-10T15:33:01Z,"ENVELOPE(-90.046592, -89.04266, 45.901748, 45.464446)","{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Oneida_Municipalities_2015.zip"",""http://schema.org/url"":""http://oneida.ncwrpc.info/"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/51/30/c4/9e3da9469292d1fa6d2524b0e4/iso19139.xml""}",Public,5130c49e-3da9-4692-92d1-fa6d2524b0e4,Wisconsin,"[u'Boundaries', u'Cities and towns', u'Civil divisions']","This polygon data layer represents municipalities for Oneida County, Wisconsin in 2015.",2014-12-28,2015,[u'Oneida County Land Information Office'],5130c49e-3da9-4692-92d1-fa6d2524b0e4,,45.464446 -90.046592 45.901748 -90.046592 45.901748 -89.04266 45.464446 -89.04266 45.464446 -90.046592,2015,[u'Oneida County Land Information Office'],5130c49e-3da9-4692-92d1-fa6d2524b0e4,45.464446 -90.046592 45.901748 -89.04266,"Municipalities Oneida County, Wisconsin, 2015",Shapefile,"[u'Oneida County, Wisconsin, United States', u'Wisconsin, United States']",Wisconsin Counties Open Data,5130c49e-3da9-4692-92d1-fa6d2524b0e4,Dataset,
Line,2017-03-10T15:33:11Z,"ENVELOPE(-90.046576, -89.042748, 45.901748, 45.46542)","{""http://schema.org/url"":""http://oneida.ncwrpc.info/"",""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Oneida_Roads_Local_2015.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/65/66/6f/7d0da54450b09ea2f2a869d42d/iso19139.xml""}",Public,65666f7d-0da5-4450-b09e-a2f2a869d42d,Wisconsin,"[u'Transportation', u'Roads', u'Streets']","This line data layer represents roads for Oneida County, Wisconsin in 2015.",2014-12-29,2015,[u'Oneida County Land Information Office'],65666f7d-0da5-4450-b09e-a2f2a869d42d,,45.46542 -90.046576 45.901748 -90.046576 45.901748 -89.042748 45.46542 -89.042748 45.46542 -90.046576,2015,[u'Oneida County Land Information Office'],65666f7d-0da5-4450-b09e-a2f2a869d42d,45.46542 -90.046576 45.901748 -89.042748,"Roads (Local) Oneida County, Wisconsin, 2015",Shapefile,"[u'Oneida County, Wisconsin, United States', u'Wisconsin, United States']",Wisconsin Counties Open Data,65666f7d-0da5-4450-b09e-a2f2a869d42d,Dataset,
Polygon,2017-03-10T15:33:35Z,"ENVELOPE(-92.964438, -86.666231, 47.083194, 42.45693)","{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/WI_ElectionData_2002.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/17/83/5b/d4b7174b849f4556ca1836b749/iso19139.xml"",""http://schema.org/url"":""http://legis.wisconsin.gov/ltsb/gis/data/""}",Public,17835bd4-b717-4b84-9f45-56ca1836b749,Wisconsin,"[u'Boundaries', u'Voting', u'Wards', u'Election districts', u'Assembly districts']",This polygon data layer represents election data by ward in Wisconsin in 2002.[This is a shapefile of the State of Wisconsin's municipal wards. These wards were created by local governments in the summer and fall of 2001.],2016-03-01,2002,[u'WI Legislative Technology Services Bureau'],17835bd4-b717-4b84-9f45-56ca1836b749,,42.45693 -92.964438 47.083194 -92.964438 47.083194 -86.666231 42.45693 -86.666231 42.45693 -92.964438,2002,[u'WI Legislative Technology Services Bureau'],17835bd4-b717-4b84-9f45-56ca1836b749,42.45693 -92.964438 47.083194 -86.666231,"Election Data, Wisconsin 2002",Shapefile,"[u'Wisconsin, United States']",Wisconsin Legislative Technology Services (LTSB),17835bd4-b717-4b84-9f45-56ca1836b749,Dataset,
Mixed,2017-03-10T15:33:45Z,"ENVELOPE(-92.958007, -86.709145, 47.083061, 42.452347)","{""http://schema.org/url"":""ftp://ftp.datcp.state.wi.us/GIS/"",""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/WI_NM590_2015.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/71/5d/b2/59a48d449dbbc30a8def9119e4/iso19139.xml""}",Public,715db259-a48d-449d-bbc3-0a8def9119e4,Wisconsin,"[u'Environment', u'Soils', u'Soil depth']","This feature dataset contains the following feature classes: NM_590_DEPTH_BEDROCK_LT5FT, NM_590_SHALLOW_SILURIAN, NM_590_WELL_BUFF_1000FT, NM_590_WELL_COMPENSATION. It is a feature dataset within the geodatabase DATCP_NM_590_PROPOSED_RESTRICT.",2015-03-22,2015,"[u'Wisconsin Department of Agriculture, Trade, and Consumer Protection']",715db259-a48d-449d-bbc3-0a8def9119e4,,42.452347 -92.958007 47.083061 -92.958007 47.083061 -86.709145 42.452347 -86.709145 42.452347 -92.958007,2015,"[u'Wisconsin Department of Agriculture, Trade, and Consumer Protection']",715db259-a48d-449d-bbc3-0a8def9119e4,42.452347 -92.958007 47.083061 -86.709145,"Proposed NM590 Restrictions, Wisconsin 2015",Geodatabase,"[u'Wisconsin, United States']","Wisconsin Department of Agriculture, Trade, and Consumer Protection (DATCP)",715db259-a48d-449d-bbc3-0a8def9119e4,Dataset,
Polygon,2017-03-10T15:33:22Z,"ENVELOPE(-92.964215, -86.666063, 47.083097, 42.456926)","{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/WI_Watersheds_2008.zip"",""http://schema.org/url"":""ftp://dnrftp01.wi.gov/geodata/watersheds/"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/27/9d/c6/3748da474da8514bf50cab289a/iso19139.xml""}",Public,279dc637-48da-474d-a851-4bf50cab289a,Wisconsin,"[u'Environment', u'Boundaries', u'Inland Waters', u'Hydrography', u'Drainage', u'River channels']","This data set is a polygon shapefile representing watersheds as delineated by the Wisconsin DNR. The data are compiled from 1:24,000-scale topographic maps. DNR watershed delineations generally indicate areas that drain into a common river system or lake, but may also be based on DNR basin management criteria. The custodian of this data set is the DNR Bureau of Watershed Management (WT).",2007-12-25,2008,[u'Wisconsin Department of Natural Resources'],279dc637-48da-474d-a851-4bf50cab289a,,42.456926 -92.964215 47.083097 -92.964215 47.083097 -86.666063 42.456926 -86.666063 42.456926 -92.964215,2008,[u'Wisconsin Department of Natural Resources'],279dc637-48da-474d-a851-4bf50cab289a,42.456926 -92.964215 47.083097 -86.666063,"Watersheds, Wisconsin 2008",Shapefile,"[u'Wisconsin, United States']",Wisconsin Department of Natural Resources (DNR),279dc637-48da-474d-a851-4bf50cab289a,Dataset,
Mixed,2017-03-10T15:33:08Z,"ENVELOPE(-90.31241, -89.593694, 43.644965, 43.144754)","{""http://schema.org/url"":""http://saukgis.maps.arcgis.com/home/index.html"",""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Sauk_HydroLine_2016.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/7f/15/3a/4457304d79b6b86185472ce968/iso19139.xml""}",Public,7f153a44-5730-4d79-b6b8-6185472ce968,Wisconsin,"[u'Inland Waters', u'Hydrography']","This line data layer represents hydrography for Sauk County, Wisconsin in 2016. It is a feature class within the geodatabase Sauk_HydroLine_2016.gdb. [This feature class is made up of river and stream lines that represent flowlines and cartographic features such as stream centerlines and river banks in Sauk County, WI. The waterlines were digitized off of the Sauk County 2010 1-foot color ortho-imagery at a scale of 1:600. Spatial accuracy is therefore consistent across the entire county. Vertex density varies between streams depending on the sinuosity of that particular stream. Also, vertex density is intentionally higher within city and village boundaries.]",2016-06-16,2016,[u'Sauk County Land Information/GIS Department'],7f153a44-5730-4d79-b6b8-6185472ce968,,43.144754 -90.31241 43.644965 -90.31241 43.644965 -89.593694 43.144754 -89.593694 43.144754 -90.31241,2016,,7f153a44-5730-4d79-b6b8-6185472ce968,43.144754 -90.31241 43.644965 -89.593694,"Hydro (Line) Sauk County, Wisconsin 2016",Geodatabase,"[u'Sauk County, Wisconsin, United States', u'Wisconsin, United States']",Wisconsin Counties Open Data,7f153a44-5730-4d79-b6b8-6185472ce968,Dataset,
Point,2017-03-10T15:33:20Z,"ENVELOPE(-92.92146, -87.037939, 46.866082, 42.466336)","{""http://schema.org/url"":""ftp://ftp.datcp.state.wi.us/GIS/"",""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/WI_Animal_Health_2016.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/dd/c6/14/10ad7f4753b4b77d3429983729/iso19139.xml""}",Public,ddc61410-ad7f-4753-b4b7-7d3429983729,Wisconsin,"[u'Farming', u'Health', u'Livestock', u'Animals']","This feature dataset contains the following feature classes: 'DATCP_ANIMAL_DEALER', 'DATCP_ANIMAL_MARKET', 'DATCP_ANIMAL_TRUCKER', 'DATCP_AQUACULTURE', 'DATCP_DEER_FARM', 'DATCP_IMPORT_FEEDLOT'. It is feature dataset within the geodatabase 'DATCP_Animal_Health.gdb'. The date of all feature classes within this dataset is 1/6/16.",2016-01-22,2016,"[u'Wisconsin Department of Agriculture, Trade, and Consumer Protection']",ddc61410-ad7f-4753-b4b7-7d3429983729,,42.466336 -92.92146 46.866082 -92.92146 46.866082 -87.037939 42.466336 -87.037939 42.466336 -92.92146,2016,"[u'Wisconsin Department of Agriculture, Trade, and Consumer Protection']",ddc61410-ad7f-4753-b4b7-7d3429983729,42.466336 -92.92146 46.866082 -87.037939,"Animal Health, Wisconsin 2016",Geodatabase,"[u'Wisconsin, United States']","Wisconsin Department of Agriculture, Trade, and Consumer Protection (DATCP)",ddc61410-ad7f-4753-b4b7-7d3429983729,Dataset,
Mixed,2017-03-10T15:33:00Z,"ENVELOPE(-92.297611, -91.547276, 46.757784, 46.156632)","{""http://schema.org/url"":""http://www.ci.superior.wi.us/index.aspx?NID=474"",""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Douglas_HydroPoly_2016.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/50/31/09/23d92b4909834fb3e7a1229f79/iso19139.xml""}",Public,50310923-d92b-4909-834f-b3e7a1229f79,Wisconsin,"[u'Inland Waters', u'Hydrography']","This polygon data layer represents hydrography polygons for Douglas County, Wisconsin in 2016. It is a feature dataset within the geodatabase, Douglas_HydroPoly_2016.gdb. This feature dataset includes the feature layers 'ENVIRO_River_Polys.shp' 'DC_WIDNR_Watersheds', 'ENVIRO_COS_WETLAND_DELINEATION', 'ENVIRO_COS_WELAND_MIGRATION_BOUNDARIES' 'T2012_WIDNR_Wetland_polygons, 'WIDNR_DC_WETLANDS' and 'ENVIRO__DC_Lakes.shp'.",2016-06-01,2016,[u'Douglas County Land Records Department'],50310923-d92b-4909-834f-b3e7a1229f79,,46.156632 -92.297611 46.757784 -92.297611 46.757784 -91.547276 46.156632 -91.547276 46.156632 -92.297611,2016,,50310923-d92b-4909-834f-b3e7a1229f79,46.156632 -92.297611 46.757784 -91.547276,"Hydro (Polygon) Douglas County, Wisconsin 2016",Geodatabase,"[u'Wisconsin, United States', u'Douglas County, Wisconsin, United States']",Wisconsin Counties Open Data,50310923-d92b-4909-834f-b3e7a1229f79,Dataset,
Mixed,2017-03-10T15:33:20Z,"ENVELOPE(-89.531229, -88.627712, 44.679773, 44.240457)","{""http://schema.org/url"":""http://data.waupacacounty.opendata.arcgis.com/"",""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Waupaca_Trails_2016.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/89/8a/05/0df1eb434ba3ce19d83800bc46/iso19139.xml""}",Public,898a050d-f1eb-434b-a3ce-19d83800bc46,Wisconsin,"[u'Transportation', u'Society', u'Recreation', u'Trails']","This line data layer represents trails for Waupaca County, Wisconsin in 2016. It is a feature class within the geodatabase, Waupaca_Trails_2016.gdb. The features included in the database are 'Snowmobile_Trails' and 'Trails'.",2016-06-01,2016,[u'Waupaca County Land Information Office'],898a050d-f1eb-434b-a3ce-19d83800bc46,,44.240457 -89.531229 44.679773 -89.531229 44.679773 -88.627712 44.240457 -88.627712 44.240457 -89.531229,2016,,898a050d-f1eb-434b-a3ce-19d83800bc46,44.240457 -89.531229 44.679773 -88.627712,"Trails Waupaca County, Wisconsin 2016",Geodatabase,"[u'Wisconsin, United States', u'Waupaca County, Wisconsin, United States']",Wisconsin Counties Open Data,898a050d-f1eb-434b-a3ce-19d83800bc46,Dataset,
