layer_geom_type_s,layer_modified_dt,solr_geom,dct_references_s,dc_rights_s,uuid,dct_provenance_s,dc_subject_sm,dc_description_s,dct_issued_s,dct_temporal_sm,dc_creator_sm,dc_identifier_s,dc_relation_sm,georss_polygon_s,solr_year_i,dc_publisher_sm,layer_id_s,georss_box_s,dc_title_s,dc_format_s,dct_spatial_sm,dct_isPartOf_sm,layer_slug_s,dc_type_s,dc_source_sm
Polygon,2017-03-10T15:34:03Z,"ENVELOPE(-91.61417, -91.150052, 44.597192, 43.983889)","{""http://schema.org/url"":""http://tremplocounty.com/tchome/landrecords/"",""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Trempealeau_Zoning_2015.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/b6/6a/28/821abc4d428b3c68f5070f6eb5/iso19139.xml""}",Public,b66a2882-1abc-4d42-8b3c-68f5070f6eb5,Wisconsin,"[u'Planning and Cadastral', u'Zoning']","This polygon data layer represents zoning for Trempealeau County, Wisconsin in 2015. It is a feature class within the geodatabase, Trempealeau_Zoning_2015.gdb.",2014-12-28,2015,[u'Trempealeau County Land Records Department'],b66a2882-1abc-4d42-8b3c-68f5070f6eb5,,43.983889 -91.61417 44.597192 -91.61417 44.597192 -91.150052 43.983889 -91.150052 43.983889 -91.61417,2015,[u'Trempealeau County Land Records Department'],b66a2882-1abc-4d42-8b3c-68f5070f6eb5,43.983889 -91.61417 44.597192 -91.150052,"Zoning Trempealeau County, Wisconsin, 2015",Geodatabase,"[u'Trempealeau County, Wisconsin, United States', u'Wisconsin, United States']",Wisconsin Counties Open Data,b66a2882-1abc-4d42-8b3c-68f5070f6eb5,Dataset,
Mixed,2016-11-03T15:25:18Z,"ENVELOPE(-79.75, -76.14, 40.28, 37.78)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=742"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/5a/4a/69/6243bb443580dbee70342841c0/iso19139.xml""}",Public,5a4a6962-43bb-4435-80db-ee70342841c0,Penn State,"[u'Inland Waters', u'Canal', u'Reservoir', u'Rivers', u'Spring', u'Hydrography', u'Swamps', u'Pond', u'Lakes', u'Marsh', u'Seep', u'Ditch', u'Streams']","The National Hydrography Dataset (NHD) is a feature-based database that interconnects and uniquely identifies the stream segments or reaches that make up the nation's surface water drainage system. NHD data was originally developed at 1:100,000-scale and exists at that scale for the whole country. This high-resolution NHD, generally developed at 1:24,000/1:12,000 scale, adds detail to the original 1:100,000-scale NHD. (Data for Alaska, Puerto Rico and the Virgin Islands was developed at high-resolution, not 1:100,000 scale.) Local resolution NHD is being developed where partners and data exist. The NHD contains reach codes for networked features, flow direction, names, and centerline representations for areal water bodies. Reaches are also defined on waterbodies and the approximate shorelines of the Great Lakes, the Atlantic and Pacific Oceans and the Gulf of Mexico. The NHD also incorporates the National Spatial Data Infrastructure framework criteria established by the Federal Geographic Data Committee.",2004-08-29,2003,"[u'U.S. Geological Survey in cooperation with U.S. Environmental Protection Agency, USDA Forest Service, and other Federal, State and local partners (see dataset specific metadata under Data_Set_Credit for details).']",5a4a6962-43bb-4435-80db-ee70342841c0,,37.78 -79.75 40.28 -79.75 40.28 -76.14 37.78 -76.14 37.78 -79.75,2003,[u'U.S. Geological Survey'],5a4a6962-43bb-4435-80db-ee70342841c0,37.78 -79.75 40.28 -76.14,"NHDFlowline - Potomac: Maryland, 2004",File,"[u'Maryland, United States']",Pennsylvania Spatial Data Access (PASDA),5a4a6962-43bb-4435-80db-ee70342841c0,Dataset,
Mixed,2017-03-10T15:33:56Z,"ENVELOPE(-92.964303, -86.70914, 47.083052, 42.457942)","{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/WI_NRCS_Soils_2014.zip"",""http://schema.org/url"":""ftp://ftp.datcp.state.wi.us/GIS/"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/3f/30/66/08d9ab4bce9b727ca3cffc9f83/iso19139.xml""}",Public,3f306608-d9ab-4bce-9b72-7ca3cffc9f83,Wisconsin,"[u'Environment', u'Farming', u'Soils']","This feature dataset includes the following feature classes: NRCS_SOIL, NRCS_SOIL_HYDRIC, NRCS_SOIL_HYDROLOGIC_GROUP, NRCS_SOIL_PI, NRCS_SOIL_PRIMEFARMLAND, NRCS_SOIL_PRIMEFARMLAND_ALLPRIME. It is a feature dataset within the geodatabase, NRCS_SOIL_021814_FGDB_v93.",2015-11-08,2014,"[u'Wisconsin Department of Agriculture, Trade, and Consumer Protection']",3f306608-d9ab-4bce-9b72-7ca3cffc9f83,,42.457942 -92.964303 47.083052 -92.964303 47.083052 -86.70914 42.457942 -86.70914 42.457942 -92.964303,2014,"[u'Wisconsin Department of Agriculture, Trade, and Consumer Protection']",3f306608-d9ab-4bce-9b72-7ca3cffc9f83,42.457942 -92.964303 47.083052 -86.70914,"NRCS Soils, Wisconsin 2014",Geodatabase,"[u'Wisconsin, United States']","Wisconsin Department of Agriculture, Trade, and Consumer Protection (DATCP)",3f306608-d9ab-4bce-9b72-7ca3cffc9f83,Dataset,
Mixed,2016-08-01T13:58:43Z,"ENVELOPE(-77.904203, -76.508191, 42.666529, 41.611)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=506"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/d8/d4/44/16639c4f68b73ce96f63c59be3/iso19139.xml""}",Public,d8d44416-639c-4f68-b73c-e96f63c59be3,Penn State,"[u'Inland Waters', u'Hydrology', u'Watersheds']",Polygon shapefile of the Chemung Subbasin. This file was created from the 2006 subbasin.shp SRBC dataset.,2006-04-17,2006,[u'SRBC'],d8d44416-639c-4f68-b73c-e96f63c59be3,,41.611 -77.904203 42.666529 -77.904203 42.666529 -76.508191 41.611 -76.508191 41.611 -77.904203,2006,[u'SRBC'],d8d44416-639c-4f68-b73c-e96f63c59be3,41.611 -77.904203 42.666529 -76.508191,"Chemung Subbasin: Susquehanna River Basin, 2006",File,"[u'Pennsylvania, United States', u'New York, United States', u'Susquehanna River, United States', u'Chemung Subbasin, United States']",Pennsylvania Spatial Data Access (PASDA),d8d44416-639c-4f68-b73c-e96f63c59be3,Dataset,
Point,2016-09-02T15:11:19Z,"ENVELOPE(-180, 180, 72, -90)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1450"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/d7/66/77/20a7a4460bad5a68464b847dc0/iso19139.xml""}",Public,d7667720-a7a4-460b-ad5a-68464b847dc0,Penn State,"[u'Transportation', u'Location', u'Imagery and Base Maps', u'Structure', u'Environment', u'Society', u'Economy', u'Inland Waters', u'Utilities and Communication']","The Geographic Names Information System (GNIS) is the Federal standard for geographic nomenclature. The U.S. Geological Survey developed the GNIS for the U.S. Board on Geographic Names, a Federal inter-agency body chartered by public law to maintain uniform feature name usage throughout the Government and to promulgate standard names to the public. The GNIS is the official repository of domestic geographic names data; the official vehicle for geographic names use by all departments of the Federal Government; and the source for applying geographic names to Federal electronic and printed products of all types. See http://geonames.usgs.gov for additional information.",1981-05-01,1974,[u'U.S. Geological Survey'],d7667720-a7a4-460b-ad5a-68464b847dc0,,-90 -180 72 -180 72 180 -90 180 -90 -180,1974,[u'U.S. Geological Survey'],d7667720-a7a4-460b-ad5a-68464b847dc0,-90 -180 72 180,"United States Historic Features - Geographic Names Information System (GNIS): United States, 2009",File,[u'United States'],Pennsylvania Spatial Data Access (PASDA),d7667720-a7a4-460b-ad5a-68464b847dc0,Dataset,
Mixed,2017-01-20T18:40:28Z,"ENVELOPE(-94.012, -92.732, 45.415, 44.471)","{""http://schema.org/url"":""https://gisdata.mn.gov/dataset/us-mn-state-metc-trans-transitway-inc-rev-sch2040"",""http://schema.org/downloadUrl"":""ftp://ftp.gisdata.mn.gov/pub/gdrs/data/pub/us_mn_state_metc/trans_transitway_inc_rev_sch2040/shp_trans_transitway_inc_rev_sch2040.zip""}",Public,f4ae7eac-d5eb-4da7-a733-13ceecf2fc61,Minnesota,"[u'Transportation', u'Bus', u'Transportation', u'Commuter traffic', u'Rapid transit train']","The Increased Revenue Scenario Transitways data set was developed as part of the 2040 Transportation Policy Plan, published in Jan 2015. (see http://metrocouncil.org/tpp-update) This data can be seen on maps in the plan Figure 8 and Figure 6-9 More info about how this data were developed can be found in Chapter 6: Transit Investment Direction and Plan. (http://metrocouncil.org/Transportation/Planning-2/Key-Transportation-Planning-Documents/Transportation-Policy-Plan-(1)/The-Adopted-2040-TPP-(1)/Final-2040-Transportation-Policy-Plan/2040-TPP-Chapter-6-Transit-Investment-Direction-an.aspx) This data are for planning purposes and should be used at a regional level. Actual corridor alignment is still being developed. Data subject to any amendments of the TPP. Please use the layer file provided to symbolize this data. The data determinations were made on a subjective basis by managers at Metropolitan Transportation Services and Metro Transit.",2015-01-27,2016,[u'Metropolitan Transportation Services - Metropolitan Council'],f4ae7eac-d5eb-4da7-a733-13ceecf2fc61,,44.471 -94.012 45.415 -94.012 45.415 -92.732 44.471 -92.732 44.471 -94.012,2016,[u'Metropolitan Council'],f4ae7eac-d5eb-4da7-a733-13ceecf2fc61,44.471 -94.012 45.415 -92.732,"Transitways: 2040 Increased Revenue Scenario: Twin Cities Metro, Minnesota, 2016",Shapefile,"[u'Minnesota, United States', u'Minneapolis-St. Paul-Bloomington, United States']",Minnesota Geospatial Commons,f4ae7eac-d5eb-4da7-a733-13ceecf2fc61,,
Mixed,2016-09-02T16:00:32Z,"ENVELOPE(-80.522125, -80.11998, 41.851616, 41.480059)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1529"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/43/0c/da/6463f04be9b7a0ae37b464078c/iso19139.xml""}",Public,430cda64-63f0-4be9-b7a0-ae37b464078c,Penn State,"[u'Geoscientific Information', u'Geoscientific information', u'Unconsolidated', u'Surficial deposits', u'Isopach map']","Digitized sediment thickness map for western Crawford County, Pennsylvania. (The term western applies to all portions of the county west of 80 degrees 07' 30N) The complete citation for the source map is: Map Showing the Thickness of Glacial Deposits and Locations of Wells in Western Crawford County, Pennsylvania by George R. Schiner and John T. Gallaher, 1979, W46, Plate 2. The original map was published at a scale of 1:50,000. The map is a part of the Pennsylvania Geologic Survey Water Resource Report 46, Geology and Groundwater Resources of Western Crawford County, Pennsylvania. This GIS dataset shows the areal distribution of glacial deposits and estimated well yields across the western portion of Crawford County. Water well locations published on the source map have not been included here. All mapping activity and thickness interpretations were made by the original authors of the map (Shiner and Gallaher, 1979); the authors of this electronic geospatial resource (Shaffer et al., 2010) have only transferred the map features, assigned attributes, and documented our process.",2010-08-02,2010,[u'Allegheny College'],430cda64-63f0-4be9-b7a0-ae37b464078c,,41.480059 -80.522125 41.851616 -80.522125 41.851616 -80.11998 41.480059 -80.11998 41.480059 -80.522125,2010,,430cda64-63f0-4be9-b7a0-ae37b464078c,41.480059 -80.522125 41.851616 -80.11998,"Thickness of Glacial Deposits, Western Crawford County, Pennsylvania: Pennsylvania, 2010",File,"[u'Crawford County, Pennsylvania, United States', u'Pennsylvania, United States']",Pennsylvania Spatial Data Access (PASDA),430cda64-63f0-4be9-b7a0-ae37b464078c,Dataset,
Mixed,2017-07-26T20:37:01Z,"ENVELOPE(-89.719, -89.116, 39.0413, 38.2)","{""http://schema.org/url"":""http://clearinghouse.isgs.illinois.edu/data/elevation/illinois-height-modernization-ilhmp-lidar-data"",""http://schema.org/downloadUrl"":""http://isgs.illinois.edu/clearinghouse/lidar/counties/bond/bond_tile_index.zip"",""urn:x-esri:serviceType:ArcGIS#ImageMapLayer"":""https://data.isgs.illinois.edu/arcgis/rest/services/Elevation/IL_Statewide_Lidar_DEM_WGS/ImageServer"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/08/4f/10/df16b147d8aa65059463e6ca31/iso19139.xml""}",Public,084f10df-16b1-47d8-aa65-059463e6ca31,Illinois,"[u'Imagery and Base Maps', u'Elevation']","This Digital Terrain Model (DTM) data was produced all or in part from LiDAR information as of 2015. The LiDAR derived DTM covers Bond County, Illinois and include inland streams, rivers, lakes ponds and tidal features. These data are appropriate for use in local and regional analysis. This data set has a vertical accuracy of 6.24 centimeters RMSEz, horizontal accuracy of 0.6 meters and point spacing of 0.89 meters. Digital Elevation Models (including terrain and surface models) are raster data sets created from whole LiDAR point cloud data sets (LAS files). The LAS files are the standard LiDAR file format which contains the raw point cloud data, these data are normally classified and distinguished between points on the ground, water or elevated features such as buildings, trees, towers, bridges, etc.. These LAS files are processed into elevation models to create gridded rasters. The first returns can be used to map the top reflective surface (Digital Surface Models - DSM), these normally include open terrain areas, as well as the tops of buildings, trees, towers, and other features elevated above the bare earth. The last returns are used to map the bare-earth terrain (Digital Terrain Models - DTM), these are normally produced with irregularly-spaced points rather than the uniform grid structure of a Digital Elevation Model (DEM), Digital Terrain Models will often include breaklines to help define edges of water bodies.",2015-01-02,2015,,084f10df-16b1-47d8-aa65-059463e6ca31,,38.2 -89.719 39.0413 -89.719 39.0413 -89.116 38.2 -89.116 38.2 -89.719,2015,,084f10df-16b1-47d8-aa65-059463e6ca31,38.2 -89.719 39.0413 -89.116,"Height Modernization (ILHMP) LiDAR Data: Bond County, Illinois: 2015",Shapefile,"[u'Bond County, Illinois, United States', u'Illinois, United States']",Illinois Geospatial Data Clearinghouse,084f10df-16b1-47d8-aa65-059463e6ca31,Dataset,
Mixed,2016-09-02T15:11:47Z,"ENVELOPE(-75.559751, -73.893681, 41.357399, 38.928728)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=426"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/3e/02/0e/c80cd04ec0a4ab92094db20c14/iso19139.xml""}",Public,3e020ec8-0cd0-4ec0-a4ab-92094db20c14,Penn State,"[u'Environment', u'Inland Waters']",New Jersey municipal boundaries,2004-01-01,2004,[u'Delaware River Basin Commission (DRBC)'],3e020ec8-0cd0-4ec0-a4ab-92094db20c14,,38.928728 -75.559751 41.357399 -75.559751 41.357399 -73.893681 38.928728 -73.893681 38.928728 -75.559751,2004,,3e020ec8-0cd0-4ec0-a4ab-92094db20c14,38.928728 -75.559751 41.357399 -73.893681,"New Jersey municipal boundaries: Delaware River Basin, 2004",File,"[u'Delaware River, United States']",Pennsylvania Spatial Data Access (PASDA),3e020ec8-0cd0-4ec0-a4ab-92094db20c14,Dataset,
Mixed,2016-08-01T13:58:58Z,"ENVELOPE(-80.519349, -74.689583, 42.269479, 39.71986)","{""http://schema.org/url"":""http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=42"",""http://www.isotc211.org/schemas/2005/gmd/"":""https://opengeometadata.github.io/big-ten/ce/a1/01/d180ab461199d41067a9311927/iso19139.xml""}",Public,cea101d1-80ab-4611-99d4-1067a9311927,Penn State,[u'Boundaries'],The boundary of the Commonwealth as delineated for the PennDOT Type 10 general highway map.,2016-01-01,2016,"[u'Pennsylvania Department of Transportation, Bureau of Planning and Research, Cartographic Information Division']",cea101d1-80ab-4611-99d4-1067a9311927,,39.71986 -80.519349 42.269479 -80.519349 42.269479 -74.689583 39.71986 -74.689583 39.71986 -80.519349,2016,[u'Pennsylvania Department of Transportation'],cea101d1-80ab-4611-99d4-1067a9311927,39.71986 -80.519349 42.269479 -74.689583,"State Boundary: Pennsylvania, 2016",File,"[u'Pennsylvania, United States']",Pennsylvania Spatial Data Access (PASDA),cea101d1-80ab-4611-99d4-1067a9311927,Dataset,
